pooled_cluster,pooled_cluster_label,h,rs,n,prop
1,Cluster 1: Room air / No ARF,0,Invasive ventilation,3431,0.21059415664129635
1,Cluster 1: Room air / No ARF,0,Low-flow oxygen,5750,0.35293395531549226
1,Cluster 1: Room air / No ARF,0,Noninvasive ventilation,2831,0.17376626565185366
1,Cluster 1: Room air / No ARF,0,Other support,244,0.01497667566904002
1,Cluster 1: Room air / No ARF,0,Room air,4036,0.2477289467223177
1,Cluster 1: Room air / No ARF,1,Invasive ventilation,3404,0.20893690154677141
1,Cluster 1: Room air / No ARF,1,Low-flow oxygen,5752,0.35305671495212376
1,Cluster 1: Room air / No ARF,1,Noninvasive ventilation,2654,0.1629020378099681
1,Cluster 1: Room air / No ARF,1,Other support,255,0.015651853670513135
1,Cluster 1: Room air / No ARF,1,Room air,4227,0.2594524920206236
1,Cluster 1: Room air / No ARF,2,Invasive ventilation,3346,0.20537687208445862
1,Cluster 1: Room air / No ARF,2,Low-flow oxygen,5753,0.3531180947704395
1,Cluster 1: Room air / No ARF,2,Noninvasive ventilation,2498,0.153326786152713
1,Cluster 1: Room air / No ARF,2,Other support,235,0.01442425730419838
1,Cluster 1: Room air / No ARF,2,Room air,4460,0.27375398968819054
1,Cluster 1: Room air / No ARF,3,Invasive ventilation,3298,0.2024306408053032
1,Cluster 1: Room air / No ARF,3,Low-flow oxygen,5785,0.3550822489565431
1,Cluster 1: Room air / No ARF,3,Noninvasive ventilation,2320,0.14240117849251166
1,Cluster 1: Room air / No ARF,3,Other support,244,0.01497667566904002
1,Cluster 1: Room air / No ARF,3,Room air,4645,0.28510925607660204
1,Cluster 1: Room air / No ARF,4,Invasive ventilation,3233,0.19844095261478026
1,Cluster 1: Room air / No ARF,4,Low-flow oxygen,5805,0.35630984532285787
1,Cluster 1: Room air / No ARF,4,Noninvasive ventilation,2125,0.13043211392094278
1,Cluster 1: Room air / No ARF,4,Other support,251,0.015406334397250185
1,Cluster 1: Room air / No ARF,4,Room air,4878,0.2994107537441689
1,Cluster 1: Room air / No ARF,5,Invasive ventilation,3158,0.19383746624109993
1,Cluster 1: Room air / No ARF,5,Low-flow oxygen,5826,0.35759882150748834
1,Cluster 1: Room air / No ARF,5,Noninvasive ventilation,1950,0.11969064571568869
1,Cluster 1: Room air / No ARF,5,Other support,233,0.014301497667566904
1,Cluster 1: Room air / No ARF,5,Room air,5125,0.3145715688681561
1,Cluster 1: Room air / No ARF,6,Invasive ventilation,3082,0.18917260004910386
1,Cluster 1: Room air / No ARF,6,Low-flow oxygen,5823,0.3574146820525411
1,Cluster 1: Room air / No ARF,6,Noninvasive ventilation,1780,0.10925607660201325
1,Cluster 1: Room air / No ARF,6,Other support,220,0.013503560029462312
1,Cluster 1: Room air / No ARF,6,Room air,5387,0.3306530812668794
1,Cluster 1: Room air / No ARF,7,Invasive ventilation,2972,0.1824208200343727
1,Cluster 1: Room air / No ARF,7,Low-flow oxygen,5817,0.3570464031426467
1,Cluster 1: Room air / No ARF,7,Noninvasive ventilation,1619,0.09937392585317947
1,Cluster 1: Room air / No ARF,7,Other support,223,0.013687699484409526
1,Cluster 1: Room air / No ARF,7,Room air,5661,0.3474711514853916
1,Cluster 1: Room air / No ARF,8,Invasive ventilation,2871,0.1762214583844832
1,Cluster 1: Room air / No ARF,8,Low-flow oxygen,5791,0.3554505278664375
1,Cluster 1: Room air / No ARF,8,Noninvasive ventilation,1481,0.09090351092560767
1,Cluster 1: Room air / No ARF,8,Other support,219,0.013442180211146576
1,Cluster 1: Room air / No ARF,8,Room air,5930,0.36398232261232505
1,Cluster 1: Room air / No ARF,9,Invasive ventilation,2745,0.16848760127670023
1,Cluster 1: Room air / No ARF,9,Low-flow oxygen,5787,0.35520500859317455
1,Cluster 1: Room air / No ARF,9,Noninvasive ventilation,1363,0.0836606923643506
1,Cluster 1: Room air / No ARF,9,Other support,222,0.013626319666093789
1,Cluster 1: Room air / No ARF,9,Room air,6175,0.3790203780996808
1,Cluster 1: Room air / No ARF,10,Invasive ventilation,2617,0.16063098453228578
1,Cluster 1: Room air / No ARF,10,Low-flow oxygen,5728,0.351583599312546
1,Cluster 1: Room air / No ARF,10,Noninvasive ventilation,1243,0.07629511416646206
1,Cluster 1: Room air / No ARF,10,Other support,209,0.012828382027989197
1,Cluster 1: Room air / No ARF,10,Room air,6495,0.3986619199607169
1,Cluster 1: Room air / No ARF,11,Invasive ventilation,2492,0.15295850724281856
1,Cluster 1: Room air / No ARF,11,Low-flow oxygen,5667,0.34783943039528603
1,Cluster 1: Room air / No ARF,11,Noninvasive ventilation,1117,0.0685612570586791
1,Cluster 1: Room air / No ARF,11,Other support,222,0.013626319666093789
1,Cluster 1: Room air / No ARF,11,Room air,6794,0.4170144856371225
1,Cluster 1: Room air / No ARF,12,Invasive ventilation,2332,0.1431377363123005
1,Cluster 1: Room air / No ARF,12,Low-flow oxygen,5539,0.3399828136508716
1,Cluster 1: Room air / No ARF,12,Noninvasive ventilation,1034,0.06346673213847287
1,Cluster 1: Room air / No ARF,12,Other support,222,0.013626319666093789
1,Cluster 1: Room air / No ARF,12,Room air,7165,0.43978639823226123
1,Cluster 1: Room air / No ARF,13,Invasive ventilation,2186,0.1341762828382028
1,Cluster 1: Room air / No ARF,13,Low-flow oxygen,5429,0.33323103363614043
1,Cluster 1: Room air / No ARF,13,Noninvasive ventilation,946,0.05806530812668795
1,Cluster 1: Room air / No ARF,13,Other support,224,0.013749079302725264
1,Cluster 1: Room air / No ARF,13,Room air,7507,0.46077829609624354
1,Cluster 1: Room air / No ARF,14,Invasive ventilation,2031,0.12466241099926344
