site_name,stratum,pooled_cluster_label,variable,level,summary_type,n,denom,prop,pooled_cluster
pooled,1,Cluster 1: Room air / No ARF,advanced_cancer_any_poa,0,categorical,13822,17262,0.8007183408643263,1
pooled,1,Cluster 1: Room air / No ARF,advanced_cancer_any_poa,1,categorical,3440,17262,0.19928165913567372,1
pooled,1,Cluster 1: Room air / No ARF,any_imv_72h,0,categorical,13183,17262,0.7637006140655775,1
pooled,1,Cluster 1: Room air / No ARF,any_imv_72h,1,categorical,4079,17262,0.23629938593442243,1
pooled,1,Cluster 1: Room air / No ARF,any_imv_icu,0,categorical,12777,17262,0.7401807438303789,1
pooled,1,Cluster 1: Room air / No ARF,any_imv_icu,1,categorical,4485,17262,0.25981925616962115,1
pooled,1,Cluster 1: Room air / No ARF,cachexia_poa,0,categorical,16461,17262,0.9535974973931178,1
pooled,1,Cluster 1: Room air / No ARF,cachexia_poa,1,categorical,801,17262,0.04640250260688217,1
pooled,1,Cluster 1: Room air / No ARF,death_in_hosp,0,categorical,16078,17262,0.9314100335998147,1
pooled,1,Cluster 1: Room air / No ARF,death_in_hosp,1,categorical,1184,17262,0.06858996640018537,1
pooled,1,Cluster 1: Room air / No ARF,death_or_hospice,0,categorical,15371,17262,0.8904530181902445,1
pooled,1,Cluster 1: Room air / No ARF,death_or_hospice,1,categorical,1891,17262,0.10954698180975553,1
pooled,1,Cluster 1: Room air / No ARF,device_t0,CPAP,categorical,48,16292,0.0029462312791554137,1
pooled,1,Cluster 1: Room air / No ARF,device_t0,FACE MASK,categorical,948,17262,0.05491831769204032,1
pooled,1,Cluster 1: Room air / No ARF,device_t0,HIGH FLOW NC,categorical,551,17262,0.03191982389062681,1
pooled,1,Cluster 1: Room air / No ARF,device_t0,IMV,categorical,3015,17262,0.17466110531803963,1
pooled,1,Cluster 1: Room air / No ARF,device_t0,NASAL CANNULA,categorical,4841,17262,0.2804425906615688,1
pooled,1,Cluster 1: Room air / No ARF,device_t0,NIPPV,categorical,1679,17262,0.09726567025837099,1
pooled,1,Cluster 1: Room air / No ARF,device_t0,Other,categorical,192,13215,0.01452894438138479,1
pooled,1,Cluster 1: Room air / No ARF,device_t0,ROOM AIR,categorical,3902,17262,0.22604564940331365,1
pooled,1,Cluster 1: Room air / No ARF,device_t0,TRACH COLLAR,categorical,26,16555,0.001570522500755059,1
pooled,1,Cluster 1: Room air / No ARF,device_t0,Unknown,categorical,1609,17262,0.09321052021781949,1
pooled,1,Cluster 1: Room air / No ARF,device_t0,,categorical,460,17262,0.02664812883790986,1
pooled,1,Cluster 1: Room air / No ARF,ethnicity_category,Hispanic,categorical,899,17262,0.05207971266365427,1
pooled,1,Cluster 1: Room air / No ARF,ethnicity_category,Non-Hispanic,categorical,15969,17262,0.9250955856795273,1
pooled,1,Cluster 1: Room air / No ARF,ethnicity_category,Unknown,categorical,386,14082,0.027410879136486294,1
pooled,1,Cluster 1: Room air / No ARF,ethnicity_category,,categorical,10,970,0.010309278350515464,1
pooled,1,Cluster 1: Room air / No ARF,hospice_discharge,0,categorical,16555,17262,0.9590429845904298,1
pooled,1,Cluster 1: Room air / No ARF,hospice_discharge,1,categorical,707,17262,0.040957015409570155,1
pooled,1,Cluster 1: Room air / No ARF,malignant_pleural_effusion_poa,0,categorical,16817,17262,0.9742208318850655,1
pooled,1,Cluster 1: Room air / No ARF,malignant_pleural_effusion_poa,1,categorical,445,17262,0.02577916811493454,1
pooled,1,Cluster 1: Room air / No ARF,metastatic_cancer_poa,0,categorical,14497,17262,0.8398215733982157,1
pooled,1,Cluster 1: Room air / No ARF,metastatic_cancer_poa,1,categorical,2765,17262,0.16017842660178427,1
pooled,1,Cluster 1: Room air / No ARF,race_category,American Indian or Alaska Native,categorical,109,16292,0.006690400196415419,1
pooled,1,Cluster 1: Room air / No ARF,race_category,Asian,categorical,820,17262,0.04750318618931758,1
pooled,1,Cluster 1: Room air / No ARF,race_category,Black or African American,categorical,5304,17262,0.3072645116440737,1
pooled,1,Cluster 1: Room air / No ARF,race_category,Native Hawaiian or Other Pacific Islander,categorical,50,14443,0.003461884650003462,1
pooled,1,Cluster 1: Room air / No ARF,race_category,Other,categorical,707,17262,0.040957015409570155,1
pooled,1,Cluster 1: Room air / No ARF,race_category,Unknown,categorical,516,16292,0.0316719862509207,1
pooled,1,Cluster 1: Room air / No ARF,race_category,White,categorical,9758,17262,0.5652879156528792,1
pooled,1,Cluster 1: Room air / No ARF,severity_rank,1,categorical,8861,8861,1,1
pooled,1,Cluster 1: Room air / No ARF,severity_rank,2,categorical,7431,7431,1,1
pooled,1,Cluster 1: Room air / No ARF,severity_rank,3,categorical,970,970,1,1
pooled,1,Cluster 1: Room air / No ARF,sex_category,Female,categorical,7778,17262,0.4505851002201367,1
pooled,1,Cluster 1: Room air / No ARF,sex_category,Male,categorical,9483,17262,0.5493569690649983,1
pooled,1,Cluster 1: Room air / No ARF,sex_category,Unknown,categorical,1,465,0.002150537634408602,1
pooled,1,Cluster 1: Room air / No ARF,traj_cluster_ra,1,categorical,2612,2612,1,1
pooled,1,Cluster 1: Room air / No ARF,traj_cluster_ra,2,categorical,1849,1849,1,1
pooled,1,Cluster 1: Room air / No ARF,traj_cluster_ra,3,categorical,4150,4150,1,1
pooled,1,Cluster 1: Room air / No ARF,traj_cluster_ra,4,categorical,4974,4974,1,1
pooled,1,Cluster 1: Room air / No ARF,traj_cluster_ra,5,categorical,3677,3677,1,1
pooled,1,Cluster 1: Room air / No ARF,vaso_any_72h,0,categorical,13679,17262,0.7924342486386282,1
pooled,1,Cluster 1: Room air / No ARF,vaso_any_72h,1,categorical,3583,17262,0.2075657513613718,1
pooled,2,Cluster 2: Low-flow oxygen / No ARF,advanced_cancer_any_poa,0,categorical,18663,23361,0.7988955952228073,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,advanced_cancer_any_poa,1,categorical,4698,23361,0.20110440477719277,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,any_imv_72h,0,categorical,19977,23361,0.8551431873635547,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,any_imv_72h,1,categorical,3384,23361,0.14485681263644537,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,any_imv_icu,0,categorical,18885,23361,0.8083986130730705,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,any_imv_icu,1,categorical,4476,23361,0.1916013869269295,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,cachexia_poa,0,categorical,21991,23361,0.9413552502033303,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,cachexia_poa,1,categorical,1370,23361,0.058644749796669664,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,death_in_hosp,0,categorical,20686,23361,0.885492915542999,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,death_in_hosp,1,categorical,2675,23361,0.11450708445700099,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,death_or_hospice,0,categorical,18971,23361,0.8120799623303797,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,death_or_hospice,1,categorical,4390,23361,0.18792003766962032,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,device_t0,CPAP,categorical,91,21648,0.004203621581670362,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,device_t0,FACE MASK,categorical,2142,23361,0.09169128033902658,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,device_t0,HIGH FLOW NC,categorical,1738,23361,0.07439750010701597,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,device_t0,IMV,categorical,2168,23361,0.09280424639356193,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,device_t0,NASAL CANNULA,categorical,9583,23361,0.41021360386969735,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,device_t0,NIPPV,categorical,3268,23361,0.13989127177774924,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,device_t0,Other,categorical,403,19628,0.02053189321377624,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,device_t0,ROOM AIR,categorical,1166,23361,0.04991224690723856,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,device_t0,TRACH COLLAR,categorical,279,23361,0.01194298189289842,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,device_t0,Unknown,categorical,2118,23361,0.09066392705791704,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,device_t0,,categorical,405,23361,0.017336586618723514,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,ethnicity_category,Hispanic,categorical,1156,23361,0.04948418304010958,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,ethnicity_category,Non-Hispanic,categorical,21703,23361,0.9290270108300158,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,ethnicity_category,Unknown,categorical,499,19162,0.02604112305604843,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,ethnicity_category,,categorical,10,1713,0.005837711617046118,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,hospice_discharge,0,categorical,21646,23361,0.9265870467873807,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,hospice_discharge,1,categorical,1715,23361,0.07341295321261933,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,malignant_pleural_effusion_poa,0,categorical,21924,23361,0.9384872222935662,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,malignant_pleural_effusion_poa,1,categorical,1437,23361,0.0615127777064338,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,metastatic_cancer_poa,0,categorical,20242,23361,0.8664868798424725,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,metastatic_cancer_poa,1,categorical,3119,23361,0.1335131201575275,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,race_category,American Indian or Alaska Native,categorical,113,21648,0.005219881744271988,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,race_category,Asian,categorical,1007,23361,0.04310603141988785,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,race_category,Black or African American,categorical,5947,23361,0.25456958178160183,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,race_category,Native Hawaiian or Other Pacific Islander,categorical,55,21648,0.002540650406504065,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,race_category,Other,categorical,882,23361,0.03775523308077565,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,race_category,Unknown,categorical,648,23361,0.02773853858995762,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,race_category,White,categorical,14718,23361,0.6300243996404263,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,severity_rank,1,categorical,9601,9601,1,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,severity_rank,2,categorical,12980,12980,1,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,severity_rank,3,categorical,780,780,1,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,sex_category,Female,categorical,11370,23361,0.4867086169256453,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,sex_category,Male,categorical,11991,23361,0.5132913830743547,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,traj_cluster_ra,1,categorical,14702,14702,1,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,traj_cluster_ra,2,categorical,1713,1713,1,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,traj_cluster_ra,3,categorical,1877,1877,1,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,traj_cluster_ra,4,categorical,4289,4289,1,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,traj_cluster_ra,5,categorical,780,780,1,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,vaso_any_72h,0,categorical,17726,23361,0.7587860108728223,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,vaso_any_72h,1,categorical,5635,23361,0.24121398912717779,2
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,advanced_cancer_any_poa,0,categorical,9325,11475,0.8126361655773421,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,advanced_cancer_any_poa,1,categorical,2150,11475,0.18736383442265794,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,any_imv_72h,0,categorical,10016,11475,0.8728540305010893,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,any_imv_72h,1,categorical,1459,11475,0.1271459694989107,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,any_imv_icu,0,categorical,8671,11475,0.7556427015250544,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,any_imv_icu,1,categorical,2804,11475,0.24435729847494553,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,cachexia_poa,0,categorical,10816,11475,0.9425708061002178,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,cachexia_poa,1,categorical,659,11475,0.057429193899782134,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,death_in_hosp,0,categorical,8566,11475,0.7464923747276688,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,death_in_hosp,1,categorical,2909,11475,0.25350762527233117,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,death_or_hospice,0,categorical,7751,11475,0.6754684095860567,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,death_or_hospice,1,categorical,3724,11475,0.32453159041394336,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,device_t0,CPAP,categorical,135,10819,0.01247804787873186,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,device_t0,FACE MASK,categorical,1000,11475,0.08714596949891068,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,device_t0,HIGH FLOW NC,categorical,4201,11475,0.36610021786492375,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,device_t0,IMV,categorical,443,11475,0.03860566448801743,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,device_t0,NASAL CANNULA,categorical,1272,11475,0.11084967320261438,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,device_t0,NIPPV,categorical,2359,11475,0.2055773420479303,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,device_t0,Other,categorical,134,10230,0.013098729227761487,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,device_t0,ROOM AIR,categorical,179,11475,0.015599128540305011,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,device_t0,TRACH COLLAR,categorical,9,7452,0.0012077294685990338,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,device_t0,Unknown,categorical,1642,11475,0.14309368191721134,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,device_t0,,categorical,102,10811,0.009434834890389418,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,ethnicity_category,Hispanic,categorical,873,11475,0.07607843137254902,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,ethnicity_category,Non-Hispanic,categorical,10327,11475,0.8999564270152506,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,ethnicity_category,Unknown,categorical,273,9985,0.027341011517275915,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,ethnicity_category,,categorical,10,656,0.01524390243902439,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,hospice_discharge,0,categorical,10660,11475,0.9289760348583878,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,hospice_discharge,1,categorical,815,11475,0.0710239651416122,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,malignant_pleural_effusion_poa,0,categorical,10801,11475,0.9412636165577342,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,malignant_pleural_effusion_poa,1,categorical,674,11475,0.0587363834422658,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,metastatic_cancer_poa,0,categorical,10039,11475,0.8748583877995643,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,metastatic_cancer_poa,1,categorical,1436,11475,0.12514161220043574,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,race_category,American Indian or Alaska Native,categorical,42,10819,0.003882059340049912,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,race_category,Asian,categorical,521,11475,0.04540305010893246,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,race_category,Black or African American,categorical,2929,11475,0.25525054466230934,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,race_category,Native Hawaiian or Other Pacific Islander,categorical,28,9031,0.0031004318458642452,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,race_category,Other,categorical,575,11208,0.05130264097073519,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,race_category,Unknown,categorical,372,10819,0.034383954154727794,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,race_category,White,categorical,7020,11475,0.611764705882353,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,severity_rank,1,categorical,267,267,1,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,severity_rank,2,categorical,656,656,1,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,severity_rank,3,categorical,10552,10552,1,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,sex_category,Female,categorical,5116,11475,0.445838779956427,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,sex_category,Male,categorical,6356,11475,0.5538997821350763,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,sex_category,Unknown,categorical,3,4102,7.313505607020966e-4,3
pooled,3,Cluster 3: Noninvasive ventilation / No ARF,traj_cluster_ra,2,categorical,5247,5247,1,3
