county_fips,county_total,dominant_cluster,dominant_cluster_prop,worst_cluster_prop,mean_severity_rank,pooled_cluster_label,dominant_cluster_phenotype
00000,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
01003,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
01031,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
01033,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
01039,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
01073,2,3,0.5,0.5,4,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
01081,2,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
01089,2,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
01097,2,2,0.5,0.5,2.5,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
01115,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
01129,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
02000,1,3,1,1,3,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
02020,2,2,0.5,0.5,3.5,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
02090,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
02110,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
02130,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
02170,3,4,0.6666666666666666,0.3333333333333333,4.333333333333333,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
04013,43,1,0.5813953488372093,0.09302325581395349,2,Cluster 1: Room air / No ARF,Room air / No ARF
04015,3,3,0.6666666666666666,0.3333333333333333,3.6666666666666665,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
04019,2,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
04021,4,2,0.5,0.25,2.75,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
04025,2,1,0.5,0.5,1.5,Cluster 1: Room air / No ARF,Room air / No ARF
04027,2,1,0.5,0.5,3,Cluster 1: Room air / No ARF,Room air / No ARF
05005,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
05007,3,2,0.6666666666666666,0.3333333333333333,2.6666666666666665,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
05041,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
05049,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
05051,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
05093,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
05115,3,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
05119,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
05123,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
05131,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
05139,2,4,0.5,0.5,4.5,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
05143,4,1,0.5,0.25,2,Cluster 1: Room air / No ARF,Room air / No ARF
06001,184,2,0.28804347826086957,0.14130434782608695,2.9456521739130435,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06007,18,4,0.5555555555555556,0.5555555555555556,2.9444444444444446,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06009,4,3,0.75,0.25,3.5,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
06013,150,4,0.34,0.14,2.98,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06015,8,1,0.5,0.125,2.375,Cluster 1: Room air / No ARF,Room air / No ARF
06017,8,4,0.375,0.125,3.375,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06019,68,4,0.39705882352941174,0.17647058823529413,3.2205882352941178,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06021,4,3,0.5,0.25,3,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
06023,19,4,0.3684210526315789,0.3157894736842105,3.526315789473684,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
