site_name,stratum,pooled_cluster_label,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75,pooled_cluster
pooled,1,Cluster 1: Room air / No ARF,age_years,,continuous,27800,60.39550546906477,17.81668652214894,,,,1
pooled,1,Cluster 1: Room air / No ARF,charlson_score,,continuous,27800,3.9812949640287787,3.403763569698648,,,,1
pooled,1,Cluster 1: Room air / No ARF,deescalations_icu,,continuous,27800,2.2213669064748203,2.8881676846168727,,,,1
pooled,1,Cluster 1: Room air / No ARF,escalations_icu,,continuous,27800,1.1519424460431658,2.876201454573763,,,,1
pooled,1,Cluster 1: Room air / No ARF,icu_los_hours,,continuous,27800,83.83268525179855,149.98786122011813,,,,1
pooled,1,Cluster 1: Room air / No ARF,imv_hours_72h,,continuous,27800,2.3618345323741012,4.513527542467081,,,,1
pooled,1,Cluster 1: Room air / No ARF,imv_hours_icu,,continuous,27800,4.621798561151083,27.329071450358306,,,,1
pooled,1,Cluster 1: Room air / No ARF,no2_1y,,continuous,26819,6.831114913363015,2.839540995966967,,,,1
pooled,1,Cluster 1: Room air / No ARF,no2_3y,,continuous,26819,7.181644116836449,2.959137642578774,,,,1
pooled,1,Cluster 1: Room air / No ARF,no2_5y,,continuous,26819,7.5479172225557845,3.100877359807478,,,,1
pooled,1,Cluster 1: Room air / No ARF,pm25_1y,,continuous,26819,8.264193253245296,1.5785855317040758,,,,1
pooled,1,Cluster 1: Room air / No ARF,pm25_3y,,continuous,26819,7.884671922476259,1.090395746905173,,,,1
pooled,1,Cluster 1: Room air / No ARF,pm25_5y,,continuous,26819,7.783403908339726,0.9328707162578924,,,,1
pooled,1,Cluster 1: Room air / No ARF,sofa_cns,,continuous,27800,1.333345323741005,1.4433420964002195,,,,1
pooled,1,Cluster 1: Room air / No ARF,sofa_coag,,continuous,27800,0.36906474820143886,0.7459712455293178,,,,1
pooled,1,Cluster 1: Room air / No ARF,sofa_cv,,continuous,27800,1.0133093525179862,1.3178193808004472,,,,1
pooled,1,Cluster 1: Room air / No ARF,sofa_liver,,continuous,27800,0.1793525179856115,0.5647966254125479,,,,1
pooled,1,Cluster 1: Room air / No ARF,sofa_renal,,continuous,27800,0.8153597122302157,1.2274842395277714,,,,1
pooled,1,Cluster 1: Room air / No ARF,sofa_resp,,continuous,27800,1.416546762589925,1.4635687452384563,,,,1
pooled,1,Cluster 1: Room air / No ARF,sofa_total,,continuous,27800,5.126978417266187,3.6592405757148994,,,,1
pooled,1,Cluster 1: Room air / No ARF,vaso_hours_72h,,continuous,27800,3.0037769784172665,8.352788644956672,,,,1
pooled,1,Cluster 1: Room air / No ARF,vaso_mean_72h,,continuous,27800,0.23017985611510777,0.42095541827997296,,,,1
pooled,2,Cluster 2: Low-flow oxygen / No ARF,age_years,,continuous,35845,66.0263140581671,16.52544353955595,,,,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,charlson_score,,continuous,35845,4.141079648486539,3.1470913064173205,,,,2
pooled,2,Cluster 2: Low-flow oxygen / No ARF,deescalations_icu,,continuous,35845,3.320937369228623,5.751110227223564,,,,2
