site_name,local_cluster,local_severity_rank,pooled_cluster,pooled_severity_rank,phenotype,n,death_pct,imv72_pct,sofa_total_mean,icu_los_median
Emory,1,1,2,2,Low-flow O2 / No ARF,2359,0.14582450190758797,0.04196693514200932,4.150487494701145,63.11666666666667
Emory,2,2,1,1,Room air / No ARF,1849,0.05949161709031909,0.1719848566792861,4.030286641427799,44.56666666666667
Emory,3,3,3,3,NIV / No ARF,1466,0.1855388813096862,0.06002728512960437,4.871759890859481,90.29166666666669
Emory,5,4,5,5,IMV / Hypoxemic/mixed ARF,1042,0.28982725527831094,1,10.602687140115163,145.20833333333334
Emory,4,5,4,4,IMV / Predom. no ARF,1943,0.43386515697375194,1,10.737519300051469,158.48333333333332
Hopkins,5,1,3,3,NIV / No ARF,1108,0.34287638935668574,0.05658470865611317,4.816099696867632,148.45
Hopkins,3,2,2,2,Low-flow O2 / No ARF,4660,0.15724126882409484,0.3040692085869913,6.31400192246075,77.43333333333334
Hopkins,4,3,1,1,Room air / No ARF,3934,0.09157335357752894,0.4740937559309167,6.148984627063959,53.583333333333336
Hopkins,2,4,5,5,IMV / Hypoxemic/mixed ARF,2738,0.29547313880556314,0.9599127352058904,11.4485955822198,281.93333333333334
Hopkins,1,5,4,4,IMV / Predom. no ARF,4465,0.3966727971911051,0.999916401939475,10.437217856545727,188.05
Michigan,2,1,2,2,Low-flow O2 / No ARF,1713,0.23117338003502627,0.24576765907764156,5.0700525394045535,71.18333333333334
Michigan,5,2,3,3,NIV / No ARF,656,0.3125,0.2698170731707317,4.280487804878049,141
Michigan,3,3,1,1,Room air / No ARF,970,0.18556701030927836,0.3402061855670103,5.409278350515464,48.08333333333333
Michigan,1,4,4,4,IMV / Predom. no ARF,1567,0.4313975749840459,1,10.287172941927247,151.95
Michigan,4,5,5,5,IMV / Hypoxemic/mixed ARF,1521,0.40828402366863903,1,12.354372123602891,283.1666666666667
Minnesota,3,1,1,1,Room air / No ARF,3180,0.08993710691823899,0.2569182389937107,5.215723270440251,42.90833333333333
Minnesota,1,2,2,2,Low-flow O2 / No ARF,4199,0.162181471778995,0.18599666587282687,5.928554417718504,63.88333333333333
