label,Emory,Hopkins,Michigan,Minnesota,NU,OHSU,Penn,RUSH,UCMC,UCSF,Overall
N,"8,820","16,958","6,437","13,383","18,005","3,814","23,412","3,718","7,782","2,368","104,697"
"Age, mean (SD)",63.3 (17.0),59.8 (17.6),60.1 (17.2),63.6 (17.0),65.1 (16.7),59.3 (17.5),64.1 (16.7),60.4 (16.6),58.5 (17.8),61.1 (18.4),62.4 (17.2)
"Charlson score, mean (SD)",4.1 (3.1),3.5 (3.1),3.8 (3.0),3.4 (2.9),4.0 (3.2),3.3 (3.1),3.9 (3.2),4.3 (3.2),3.7 (3.2),3.8 (3.2),3.8 (3.1)
"SOFA total, mean (SD)",6.5 (4.7),8.1 (4.4),8.0 (5.0),7.4 (4.2),7.0 (4.4),6.8 (4.4),6.9 (4.8),5.2 (4.2),8.1 (4.7),7.6 (4.5),7.3 (4.6)
"PM₂.₅ 5-year exposure, mean (SD)",8.4 (0.5),7.7 (0.7),7.1 (0.9),7.1 (0.8),7.9 (0.9),6.5 (1.4),7.8 (0.8),8.5 (0.6),8.4 (0.6),8.6 (1.3),7.8 (0.9)
"NO₂ 5-year exposure, mean (SD)",5.8 (1.5),7.8 (2.7),5.5 (2.5),5.9 (2.4),7.9 (3.1),3.3 (1.5),8.8 (3.1),9.7 (2.3),10.1 (2.4),6.2 (3.4),7.5 (3.1)
"ICU LOS (hours), mean (SD)",157.8 (289.2),217.0 (330.1),244.8 (360.6),150.9 (226.7),160.5 (282.0),179.8 (362.8),212.1 (383.6),163.7 (264.6),201.3 (295.7),201.2 (304.8),189.7 (320.3)
"IMV hours in first 72h, mean (SD)",8.2 (13.4),6.7 (6.8),12.9 (14.4),9.7 (13.0),13.6 (18.9),13.5 (17.9),20.2 (26.8),4.7 (8.1),11.6 (13.4),11.1 (14.9),12.5 (18.3)
"Vasopressor hours in first 72h, mean (SD)",10.9 (18.8),8.1 (13.6),13.7 (20.2),9.4 (17.0),8.1 (15.0),11.3 (18.7),9.6 (17.3),4.2 (9.7),14.2 (21.7),8.4 (12.3),9.6 (16.9)
"Male sex, n (%)","4,591 (52.1%)","9,457 (55.8%)",,"7,276 (54.4%)","9,964 (55.3%)","2,227 (58.4%)","12,761 (54.5%)","1,944 (52.3%)","4,443 (57.1%)","1,311 (55.4%)","53,974 (54.9%)"
"White race, n (%)","2,913 (33.0%)","8,031 (47.4%)",,"10,806 (80.7%)","12,943 (71.9%)","3,150 (82.6%)","11,548 (49.3%)","1,289 (34.7%)","1,600 (20.6%)","1,008 (42.6%)","53,288 (54.2%)"
"Black race, n (%)","4,845 (54.9%)","6,946 (41.0%)",,"1,005 (7.5%)","2,592 (14.4%)",127 (3.3%),"8,678 (37.1%)","1,543 (41.5%)","5,184 (66.6%)",222 (9.4%),"31,142 (31.7%)"
"Hispanic ethnicity, n (%)",298 (3.4%),877 (5.2%),,256 (1.9%),"1,735 (9.6%)",311 (8.2%),808 (3.5%),752 (20.2%),458 (5.9%),375 (15.8%),"5,870 (6.0%)"
"Advanced cancer, n (%)","1,342 (15.2%)","2,542 (15.0%)",,"1,442 (10.8%)","3,098 (17.2%)",535 (14.0%),"4,773 (20.4%)",662 (17.8%),"1,286 (16.5%)",600 (25.3%),"16,280 (16.6%)"
"In-hospital death, n (%)","1,679 (19.0%)","3,384 (20.0%)",,"2,898 (21.7%)","4,192 (23.3%)",765 (20.1%),"5,843 (25.0%)",364 (9.8%),"2,360 (30.3%)",635 (26.8%),"22,120 (22.5%)"
"Hospice discharge, n (%)",307 (3.5%),720 (4.2%),,439 (3.3%),"1,403 (7.8%)",204 (5.3%),"1,506 (6.4%)",152 (4.1%),317 (4.1%),114 (4.8%),"5,162 (5.3%)"
"Death or hospice, n (%)","1,986 (22.5%)","4,103 (24.2%)",,"3,337 (24.9%)","5,595 (31.1%)",969 (25.4%),"7,349 (31.4%)",516 (13.9%),"2,677 (34.4%)",749 (31.6%),"27,281 (27.8%)"
"Any vasopressor in first 72h, n (%)","3,585 (40.6%)","7,604 (44.8%)",,"5,372 (40.1%)","7,350 (40.8%)","1,790 (46.9%)","9,018 (38.5%)",964 (25.9%),"3,562 (45.8%)","1,229 (51.9%)","40,474 (41.2%)"
