Characteristic,Level,Overall
N,,"104,697"
"Age, mean (SD)",,62.4 (17.2)
"Charlson score, mean (SD)",,3.8 (3.1)
"SOFA total, mean (SD)",,7.3 (4.6)
"PM₂.₅ 5-year exposure, mean (SD)",,7.8 (0.9)
"NO₂ 5-year exposure, mean (SD)",,7.5 (3.1)
"ICU LOS (hours), mean (SD)",,189.7 (320.3)
"IMV hours in first 72h, mean (SD)",,12.5 (18.3)
"Vasopressor hours in first 72h, mean (SD)",,9.6 (16.9)
Sex,Female,"44,265 (45.0%)"
Sex,Male,"53,974 (54.9%)"
Race,American Indian or Alaska Native,513 (0.5%)
Race,Asian,"4,499 (4.6%)"
Race,Black or African American,"31,142 (31.7%)"
Race,Native Hawaiian or Other Pacific Islander,216 (0.2%)
Race,Other,"4,855 (4.9%)"
Race,White,"53,288 (54.2%)"
Ethnicity,Hispanic,"5,870 (6.0%)"
Ethnicity,Non-Hispanic,"88,436 (90.0%)"
Advanced cancer present on admission,No,"81,980 (83.4%)"
Advanced cancer present on admission,Yes,"16,280 (16.6%)"
In-hospital death,No,"76,140 (77.5%)"
In-hospital death,Yes,"22,120 (22.5%)"
Hospice discharge,No,"93,098 (94.7%)"
Hospice discharge,Yes,"5,162 (5.3%)"
Death or hospice discharge,No,"70,979 (72.2%)"
Death or hospice discharge,Yes,"27,281 (27.8%)"
Any invasive mechanical ventilation in first 72 hours,No,"48,700 (49.6%)"
Any invasive mechanical ventilation in first 72 hours,Yes,"49,560 (50.4%)"
Any vasopressor in first 72 hours,No,"57,786 (58.8%)"
Any vasopressor in first 72 hours,Yes,"40,474 (41.2%)"
