label,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,P value
N,"21,196","28,021","12,583","24,289","17,358",
"Age, mean (SD)",61.2 (17.8),66.6 (16.3),65.5 (16.1),59.9 (17.6),58.1 (16.5),<0.001
"Charlson score, mean (SD)",4.0 (3.4),4.2 (3.1),3.8 (3.1),3.4 (3.0),3.3 (2.8),<0.001
"SOFA total, mean (SD)",4.8 (3.5),5.1 (3.5),5.1 (3.1),10.4 (3.8),11.2 (4.0),<0.001
"PM₂.₅ 5-year exposure, mean (SD)",7.8 (1.0),7.7 (0.9),7.8 (0.9),7.8 (0.9),7.7 (0.9),<0.001
"NO₂ 5-year exposure, mean (SD)",7.4 (3.2),7.5 (3.1),7.4 (3.1),7.5 (3.1),7.6 (3.3),<0.001
"ICU LOS (hours), mean (SD)",81.2 (148.8),118.3 (214.6),193.3 (266.8),253.1 (340.7),354.6 (482.3),<0.001
"IMV hours in first 72h, mean (SD)",2.3 (4.8),1.6 (4.5),1.1 (4.0),26.5 (18.3),31.8 (20.2),<0.001
"Vasopressor hours in first 72h, mean (SD)",3.0 (8.7),4.4 (11.2),3.2 (9.6),14.9 (18.6),23.8 (22.3),<0.001
"Male sex, n (%)","11,783 (55.6%)","14,496 (51.7%)","6,927 (55.1%)","13,714 (56.5%)","10,154 (58.5%)",<0.001
"White race, n (%)","11,583 (54.6%)","17,173 (61.3%)","7,603 (60.4%)","12,113 (49.9%)","9,382 (54.1%)",<0.001
"Black race, n (%)","7,073 (33.4%)","7,592 (27.1%)","3,254 (25.9%)","8,367 (34.4%)","5,172 (29.8%)",<0.001
"Hispanic ethnicity, n (%)","1,071 (5.1%)","1,361 (4.9%)",928 (7.4%),"1,486 (6.1%)","1,137 (6.6%)",<0.001
"Advanced cancer, n (%)","4,188 (19.8%)","5,532 (19.7%)","2,357 (18.7%)","3,051 (12.6%)","1,820 (10.5%)",<0.001
"In-hospital death, n (%)","1,402 (6.6%)","3,153 (11.3%)","3,232 (25.7%)","9,598 (39.5%)","5,930 (34.2%)",<0.001
"Hospice discharge, n (%)",849 (4.0%),"1,970 (7.0%)",872 (6.9%),"1,166 (4.8%)",524 (3.0%),<0.001
"Death or hospice, n (%)","2,251 (10.6%)","5,123 (18.3%)","4,104 (32.6%)","10,764 (44.3%)","6,454 (37.2%)",<0.001
"Any vasopressor in first 72h, n (%)","4,634 (21.9%)","7,112 (25.4%)","2,401 (19.1%)","15,867 (65.3%)","13,235 (76.2%)",<0.001
