term_group,model,term_clean,effect_type,k,estimate_fixed,std_error_fixed,conf_low_fixed,conf_high_fixed,estimate_random,std_error_random,conf_low_random,conf_high_random,tau2,q,i2,pooled_effect_random,pooled_conf_low_random,pooled_conf_high_random,covariate_label,site_included
ICU LOS,glm_los_quasipoisson,admit_year,RR_like,10,0.029132963249879774,0.003015377064214255,0.023222824204019835,0.03504310229573972,0.02629568725870809,0.01087092802977704,0.004988668320345092,0.04760270619707109,9.551613849980034e-4,90.2528363825921,0.9002801423121156,1.0266444692864032,1.0050011324439905,1.04875390911572,"Admission year, per year",Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
ICU LOS,glm_los_quasipoisson,advanced_cancer_any_poaTRUE,RR_like,10,-0.06067199130127055,0.013154456327555604,-0.08645472570327953,-0.03488925689926157,-0.058964498984666144,0.024863894666583865,-0.10769773253117051,-0.010231265438161767,0.003527929706882979,25.30425096531432,0.6443285354568801,0.9427402367986311,0.8978989610622434,0.9898208959142888,Advanced cancer present on admission,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
ICU LOS,glm_los_quasipoisson,age_years,RR_like,10,-0.007421139023272986,2.3763371498136378e-4,-0.00788690110463646,-0.006955376941909513,-0.007409131799481663,4.952595465447838e-4,-0.00837984051070944,-0.006438423088253887,1.57703609400143e-6,31.508957386615787,0.714366937326115,0.9926182481552348,0.9916551724834225,0.9935822591468795,"Age, per year",Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
ICU LOS,glm_los_quasipoisson,race_categoryAsian,RR_like,9,0.12583097085549788,0.05735265181850967,0.013419773291218934,0.23824216841977683,0.1299917489672773,0.08146389770689774,-0.029677490538242257,0.28966098847279687,0.01792445153716889,12.06672932209359,0.33702001706855295,1.1388189868531309,0.9707585618897858,1.335974500490097,Asian race,Emory; Hopkins; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
ICU LOS,glm_los_quasipoisson,race_categoryBlack or African American,RR_like,10,0.13346330399452247,0.050434607712585795,0.03461147287785431,0.23231513511119062,0.11518093324853144,0.06964243309087124,-0.0213182356095762,0.2516801021066391,0.014293375829915874,13.489786608635153,0.3328285864626745,1.1220764401418428,0.9789073918047652,1.2861845237475729,Black race,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
ICU LOS,glm_los_quasipoisson,charlson_score,RR_like,10,0.01279054079666776,0.001531444823060412,0.009788908943469354,0.015792172649866168,0.00961752473040056,0.003578311464032812,0.002604034260896249,0.01663101519990487,8.876281288802656e-5,39.173349731767644,0.7702519681971071,1.0096639217435575,1.0026074277030195,1.0167700803953565,"Charlson score, per point",Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
ICU LOS,glm_los_quasipoisson,sex_categoryMale,RR_like,10,0.03809315557463745,0.007749922116161758,0.022903308226960406,0.0532830029223145,0.05025517446500035,0.012859645563568866,0.025050269160405373,0.07546007976959533,7.880980010247982e-4,19.538502239754763,0.5393710382934161,1.0515393881447606,1.02536666355019,1.0783801776736168,Male sex,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
ICU LOS,glm_los_quasipoisson,race_categoryNative Hawaiian or Other Pacific Islander,RR_like,10,0.13899861410011455,0.09780050406336695,-0.05269037386408468,0.3306876020643138,0.10502995643831799,0.12321936219334477,-0.13647999346063777,0.3465399063372737,0.038474490832273174,12.387654518462949,0.27347021289735535,1.1107438837879677,0.8724237742656048,1.4141659268867761,Native Hawaiian or Pacific Islander race,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
ICU LOS,glm_los_quasipoisson,race_categoryOther,RR_like,10,0.03221968662166111,0.06432015162879706,-0.09384781057078112,0.15828718381410334,0.027717577632895316,0.06694623664304443,-0.10349704618747177,0.1589322014532624,0.0023158472763287023,9.474780790500429,0.05010994987624956,1.0281052834877002,0.9016786861277214,1.1722584665659959,Other race,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
ICU LOS,glm_los_quasipoisson,race_categoryUnknown,RR_like,10,0.026292387576679715,0.056964255623030785,-0.08535755344446062,0.13794232859782005,-0.03967884069371006,0.09977455024715538,-0.2352369591781346,0.1558792777907145,0.050515273666317514,21.658427100831823,0.5844573588792908,0.9610980551768936,0.7903835388033364,1.1686851083251686,Unknown race,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
ICU LOS,glm_los_quasipoisson,sex_categoryUnknown,RR_like,5,0.1596662734233175,0.2513519214296156,-0.33298349257872906,0.6523160394253641,0.1596662734233175,0.2513519214296156,-0.33298349257872906,0.6523160394253641,0,1.7117091752393205,0,1.1731193045678296,0.716782026280907,1.9199824385808077,Unknown sex,Emory; Hopkins; NU; Penn; UCSF
ICU LOS,glm_los_quasipoisson,race_categoryWhite,RR_like,10,0.030306249621733037,0.04711835133940002,-0.062045719003491,0.12265821824695707,0.02250581712818957,0.0629567806411714,-0.10088947292850636,0.1459011071848855,0.010339599223287914,12.70268978075718,0.29148864096218763,1.0227609836788907,0.9040329474783473,1.1570817553205008,White race,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Mortality,glm_mortality,admit_year,OR,10,0.01736209832334612,0.005394746120298267,0.006788395927561518,0.027935800719130724,0.016443389976391685,0.014193903801323595,-0.011376661474202559,0.04426344142698593,0.0012952268540863678,43.93880109185691,0.7951696501416842,1.0165793265774343,0.9886878080247846,1.0452576827959867,"Admission year, per year",Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
