outcome,race_covariate,pooled_effect,conf_low,conf_high,estimate_ci,k,site_included
ICU LOS,Asian race,1.1388189868531309,0.9707585618897858,1.335974500490097,"1.14 (0.97, 1.34)",9,Emory; Hopkins; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Mortality,Asian race,1.331470582270771,0.9150186355201158,1.9374620828839857,"1.33 (0.92, 1.94)",9,Emory; Hopkins; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Post-72h survival,Asian race,1.341768090787831,0.896033321877316,2.0092351093421974,"1.34 (0.90, 2.01)",9,Emory; Hopkins; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,Asian race,1.1684471114284174,0.9100752247477767,1.500171211213656,"1.17 (0.91, 1.50)",9,Emory; Hopkins; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
ICU LOS,Black race,1.1220764401418428,0.9789073918047652,1.2861845237475729,"1.12 (0.98, 1.29)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Mortality,Black race,0.9354089777935377,0.744740961321599,1.1748916753336833,"0.94 (0.74, 1.17)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Post-72h survival,Black race,0.964684488122405,0.7208933419112623,1.2909207333732595,"0.96 (0.72, 1.29)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,Black race,1.0403622505630787,0.7521725425923013,1.438969852138488,"1.04 (0.75, 1.44)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
ICU LOS,Other race,1.0281052834877002,0.9016786861277214,1.1722584665659959,"1.03 (0.90, 1.17)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Mortality,Other race,1.2000796498901525,0.8697134583049564,1.6559375416442992,"1.20 (0.87, 1.66)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Post-72h survival,Other race,1.1922839625191486,0.8222056858641694,1.7289360457125384,"1.19 (0.82, 1.73)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,Other race,1.1533576252141136,0.9112218571984851,1.4598352762622375,"1.15 (0.91, 1.46)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
ICU LOS,White race,1.0227609836788907,0.9040329474783473,1.1570817553205008,"1.02 (0.90, 1.16)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Mortality,White race,1.158032868945012,0.8758484969019473,1.531132530683725,"1.16 (0.88, 1.53)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Post-72h survival,White race,1.0874342364232183,0.8053400362792295,1.4683402851902227,"1.09 (0.81, 1.47)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Trajectory severity,White race,0.9649819789478765,0.6799472215034204,1.3695036765283346,"0.96 (0.68, 1.37)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
