site_name,stratum,variable,level,summary_type,n,denom,prop
pooled,Overall,advanced_cancer_any_poa,0,categorical,81980,98260,0.8343171178506005
pooled,Overall,advanced_cancer_any_poa,1,categorical,16280,98260,0.16568288214939955
pooled,Overall,any_imv_72h,0,categorical,48700,98260,0.49562385507836354
pooled,Overall,any_imv_72h,1,categorical,49560,98260,0.5043761449216365
pooled,Overall,any_imv_icu,0,categorical,45510,98260,0.4631589660085487
pooled,Overall,any_imv_icu,1,categorical,52750,98260,0.5368410339914512
pooled,Overall,cachexia_poa,0,categorical,92845,98260,0.9448911052310197
pooled,Overall,cachexia_poa,1,categorical,5415,98260,0.05510889476898025
pooled,Overall,death_in_hosp,0,categorical,76140,98260,0.7748829635660492
pooled,Overall,death_in_hosp,1,categorical,22120,98260,0.22511703643395076
pooled,Overall,death_or_hospice,0,categorical,70979,98260,0.7223590474251984
pooled,Overall,death_or_hospice,1,categorical,27281,98260,0.27764095257480154
pooled,Overall,device_t0,CPAP,categorical,320,98260,0.003256665988194586
pooled,Overall,device_t0,FACE MASK,categorical,5703,98260,0.058039894158355386
pooled,Overall,device_t0,HIGH FLOW NC,categorical,8266,98260,0.0841237533075514
pooled,Overall,device_t0,IMV,categorical,30674,98260,0.3121717891308773
pooled,Overall,device_t0,NASAL CANNULA,categorical,18667,98260,0.18997557500508855
pooled,Overall,device_t0,NIPPV,categorical,10194,98260,0.10374516588642377
pooled,Overall,device_t0,Other,categorical,821,77584,0.010582078779129717
pooled,Overall,device_t0,ROOM AIR,categorical,6787,98260,0.06907185019336454
pooled,Overall,device_t0,TRACH COLLAR,categorical,359,98260,0.003653572155505801
pooled,Overall,device_t0,Unknown,categorical,14557,98260,0.14814777121921432
pooled,Overall,device_t0,,categorical,1911,98260,0.019448402198249542
pooled,Overall,ethnicity_category,Hispanic,categorical,5870,98260,0.059739466720944434
pooled,Overall,ethnicity_category,Non-Hispanic,categorical,88436,98260,0.9000203541624262
pooled,Overall,ethnicity_category,Unknown,categorical,3954,84877,0.04658505837859491
pooled,Overall,hospice_discharge,0,categorical,93098,98260,0.9474659067779361
pooled,Overall,hospice_discharge,1,categorical,5162,98260,0.05253409322206391
pooled,Overall,malignant_pleural_effusion_poa,0,categorical,94595,98260,0.9627009973539589
pooled,Overall,malignant_pleural_effusion_poa,1,categorical,3665,98260,0.037299002646041114
pooled,Overall,metastatic_cancer_poa,0,categorical,87580,98260,0.8913087726440057
pooled,Overall,metastatic_cancer_poa,1,categorical,10680,98260,0.1086912273559943
pooled,Overall,pooled_cluster,1,categorical,1849,103447,0.017873887111274373
pooled,Overall,pooled_cluster,1,categorical,3934,103447,0.03802913569267354
pooled,Overall,pooled_cluster,1,categorical,970,103447,0.009376782313648534
pooled,Overall,pooled_cluster,1,categorical,3180,103447,0.03074037913134262
pooled,Overall,pooled_cluster,1,categorical,2970,103447,0.028710354094367164
pooled,Overall,pooled_cluster,1,categorical,1337,103447,0.012924492735410404
pooled,Overall,pooled_cluster,1,categorical,4509,103447,0.04358753757963015
pooled,Overall,pooled_cluster,1,categorical,1275,103447,0.012325152010208127
pooled,Overall,pooled_cluster,1,categorical,707,103447,0.006834417624484035
pooled,Overall,pooled_cluster,1,categorical,465,103447,0.004495055439017081
pooled,Overall,pooled_cluster,2,categorical,2359,103447,0.02280394791535762
pooled,Overall,pooled_cluster,2,categorical,4660,103447,0.045047222249074405
pooled,Overall,pooled_cluster,2,categorical,1713,103447,0.016559204230185507
pooled,Overall,pooled_cluster,2,categorical,4199,103447,0.04059083395361876
pooled,Overall,pooled_cluster,2,categorical,4289,103447,0.0414608446837511
pooled,Overall,pooled_cluster,2,categorical,780,103447,0.0075400929944802655
pooled,Overall,pooled_cluster,2,categorical,6980,103447,0.06747416551470801
pooled,Overall,pooled_cluster,2,categorical,1240,103447,0.01198681450404555
pooled,Overall,pooled_cluster,2,categorical,1164,103447,0.011252138776378241
pooled,Overall,pooled_cluster,2,categorical,637,103447,0.006157742612158883
pooled,Overall,pooled_cluster,3,categorical,1466,103447,0.014171508115266756
pooled,Overall,pooled_cluster,3,categorical,1108,103447,0.01071079876651812
pooled,Overall,pooled_cluster,3,categorical,656,103447,0.006341411544075711
pooled,Overall,pooled_cluster,3,categorical,1490,103447,0.014403510976635378
pooled,Overall,pooled_cluster,3,categorical,3350,103447,0.0323837327327037
pooled,Overall,pooled_cluster,3,categorical,267,103447,0.002581031832725937
pooled,Overall,pooled_cluster,3,categorical,2294,103447,0.022175606832484266
pooled,Overall,pooled_cluster,3,categorical,322,103447,0.0031127050566956992
pooled,Overall,pooled_cluster,3,categorical,1288,103447,0.012450820226782797
pooled,Overall,pooled_cluster,3,categorical,342,103447,0.0033060407745028855
pooled,Overall,pooled_cluster,4,categorical,1943,103447,0.018782564984968147
pooled,Overall,pooled_cluster,4,categorical,4465,103447,0.043162199000454336
pooled,Overall,pooled_cluster,4,categorical,1567,103447,0.015147853490193045
pooled,Overall,pooled_cluster,4,categorical,3128,103447,0.030237706265043934
pooled,Overall,pooled_cluster,4,categorical,3770,103447,0.03644378280665461
pooled,Overall,pooled_cluster,4,categorical,868,103447,0.008390770152831885
pooled,Overall,pooled_cluster,4,categorical,4035,103447,0.03900548106759984
pooled,Overall,pooled_cluster,4,categorical,686,103447,0.00663141512078649
pooled,Overall,pooled_cluster,4,categorical,3247,103447,0.0313880537859967
pooled,Overall,pooled_cluster,4,categorical,580,103447,0.0056067358164084025
pooled,Overall,pooled_cluster,5,categorical,1042,103447,0.010072790897754405
pooled,Overall,pooled_cluster,5,categorical,2738,103447,0.026467659767803804
pooled,Overall,pooled_cluster,5,categorical,1521,103447,0.014703181339236517
pooled,Overall,pooled_cluster,5,categorical,1351,103447,0.013059827737875434
pooled,Overall,pooled_cluster,5,categorical,3503,103447,0.03386275097392868
pooled,Overall,pooled_cluster,5,categorical,393,103447,0.0037990468549112108
pooled,Overall,pooled_cluster,5,categorical,5510,103447,0.05326399025587982
pooled,Overall,pooled_cluster,5,categorical,194,103447,0.001875356462729707
