item,detail
descriptive_pooling_sites,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
model_meta_excluded_sites,
hopkins_denominator_harmonization,"Hopkins consort_flow_counts reported 16,958 lung cancer cases with any ICU segment, whereas Hopkins descriptive and cluster exports reflected a larger cohort. For harmonized pooled descriptives, Hopkins count-based descriptive and cluster outputs were rescaled to the consort-flow ICU cohort size while preserving the returned Hopkins means, proportions, and within-cluster distributions."
cluster_matching_method,Site clusters were matched to 5 consensus prototypes using iterative minimum-distance assignment on exported centroid features with one-to-one matching within site.
continuous_table1_pooling,"Continuous Table 1 summaries were pooled from site means, SDs, and sample sizes. Medians and quartiles are left blank because patient-level pooled quantiles are not available in the federated export."
categorical_table1_pooling,Categorical Table 1 summaries were pooled by summing site counts and denominators.
formal_meta_models,Formal random-effects meta-analysis was limited to model terms that are label-stable across sites.
cluster_specific_exposure_pooling,Cluster-specific exposure summaries use the exported modeled low-vs-high contrast tables after consensus cluster remapping; these are weighted summaries rather than inverse-variance meta-analyses because standard errors were not exported for the contrasts.
known_input_gap,"Michigan is missing cluster_signature_rs_hourly and cluster_signature_arf_hourly, but the files needed for the current pooling workflow were present."
interaction_forest_method,Cluster interaction forest plots and pooled interaction summaries use the site-level interaction coefficients from glm_interaction_no2 and glm_interaction_pm25. Terms were relabeled to the matching pooled trajectory phenotype using the consensus cluster mapping before random-effects pooling.
map_method,CONUS maps aggregate county-level cluster distributions across sites after remapping local clusters to pooled consensus clusters.
