section,label,metric,estimate_ci,k,site_included
Overall pooled associations,NO₂ -> ICU LOS,RR_like,"0.99 (0.93, 1.06)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Overall pooled associations,PM₂.₅ -> ICU LOS,RR_like,"0.95 (0.91, 0.99)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Overall pooled associations,NO₂ -> death or hospice,OR,"1.00 (0.92, 1.09)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Overall pooled associations,PM₂.₅ -> death or hospice,OR,"0.99 (0.92, 1.07)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Overall pooled associations,NO₂ -> post-72h mortality hazard,HR,"0.88 (0.81, 0.95)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Overall pooled associations,PM₂.₅ -> post-72h mortality hazard,HR,"1.12 (1.03, 1.22)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Overall pooled associations,NO₂ -> higher trajectory severity,Ordinal_OR,"0.94 (0.84, 1.05)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Overall pooled associations,PM₂.₅ -> higher trajectory severity,Ordinal_OR,"0.98 (0.87, 1.09)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Exposure-by-cluster interaction terms,NO₂ x Cluster 1: Room air / No ARF,OR,"1.08 (1.02, 1.14)",8,Emory; Hopkins; Michigan; Minnesota; NU; Penn; UCMC; UCSF
Exposure-by-cluster interaction terms,NO₂ x Cluster 2: Low-flow oxygen / No ARF,OR,"0.98 (0.92, 1.05)",6,Hopkins; Michigan; NU; OHSU; RUSH; UCSF
Exposure-by-cluster interaction terms,NO₂ x Cluster 3: Noninvasive ventilation / No ARF,OR,"1.02 (0.93, 1.11)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Exposure-by-cluster interaction terms,NO₂ x Cluster 4: Invasive ventilation / Predominantly no ARF,OR,"1.13 (1.04, 1.23)",7,Emory; Minnesota; NU; OHSU; Penn; RUSH; UCMC
Exposure-by-cluster interaction terms,NO₂ x Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,OR,"1.04 (0.94, 1.15)",9,Emory; Hopkins; Michigan; Minnesota; OHSU; Penn; RUSH; UCMC; UCSF
Exposure-by-cluster interaction terms,PM₂.₅ x Cluster 1: Room air / No ARF,OR,"1.06 (1.00, 1.12)",8,Emory; Hopkins; Michigan; Minnesota; NU; Penn; UCMC; UCSF
Exposure-by-cluster interaction terms,PM₂.₅ x Cluster 2: Low-flow oxygen / No ARF,OR,"1.05 (1.00, 1.11)",6,Hopkins; Michigan; NU; OHSU; RUSH; UCSF
Exposure-by-cluster interaction terms,PM₂.₅ x Cluster 3: Noninvasive ventilation / No ARF,OR,"1.04 (0.96, 1.14)",10,Emory; Hopkins; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Exposure-by-cluster interaction terms,PM₂.₅ x Cluster 4: Invasive ventilation / Predominantly no ARF,OR,"1.14 (1.07, 1.21)",7,Emory; Minnesota; NU; OHSU; Penn; RUSH; UCMC
Exposure-by-cluster interaction terms,PM₂.₅ x Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,OR,"1.05 (0.91, 1.20)",9,Emory; Hopkins; Michigan; Minnesota; OHSU; Penn; RUSH; UCMC; UCSF
