phenotype,marker,prop,n
Room air / No ARF,Advanced cancer,0.19758444989620683,4188
Room air / No ARF,Cachexia,0.04840535950179279,1026
Room air / No ARF,Pleural effusion,0.02311756935270805,490
Room air / No ARF,Metastatic cancer,0.15913379882996792,3373
Low-flow O2 / No ARF,Advanced cancer,0.1974233610506406,5532
Low-flow O2 / No ARF,Cachexia,0.06049034652581992,1695
Low-flow O2 / No ARF,Pleural effusion,0.05849184540166304,1639
Low-flow O2 / No ARF,Metastatic cancer,0.12694050890403627,3557
NIV / No ARF,Advanced cancer,0.1873162202972264,2357
NIV / No ARF,Cachexia,0.05928633871095923,746
NIV / No ARF,Pleural effusion,0.05944528331876341,748
NIV / No ARF,Metastatic cancer,0.1231820710482397,1550
IMV / Predom. no ARF,Advanced cancer,0.12561241714356294,3051
IMV / Predom. no ARF,Cachexia,0.05619827905636296,1365
IMV / Predom. no ARF,Pleural effusion,0.02128535551072502,517
IMV / Predom. no ARF,Metastatic cancer,0.07069043599983532,1717
IMV / Hypoxemic/mixed ARF,Advanced cancer,0.10485078926143564,1820
IMV / Hypoxemic/mixed ARF,Cachexia,0.04274686023735453,742
IMV / Hypoxemic/mixed ARF,Pleural effusion,0.02563659407765871,445
IMV / Hypoxemic/mixed ARF,Metastatic cancer,0.05519069017167876,958
