Characteristic,Level,Emory,Hopkins,Michigan,NU,OHSU,Penn,Rush,UCMC,UCSF,UMN,Overall
N,,754,"1,942",541,"2,037",374,"2,946",457,824,390,"1,023","11,288"
"Age, mean (SD)",,69.3 (9.6),68.6 (10.4),66.5 (9.9),70.2 (10.5),68.4 (10.5),69.4 (10.4),67.1 (10.8),67.7 (10.9),67.4 (12.7),69.5 (10.0),68.9 (10.5)
"Charlson score, mean (SD)",,7.8 (3.2),7.5 (3.3),7.7 (3.1),8.1 (3.3),7.5 (3.3),7.8 (3.2),8.2 (3.3),7.9 (3.4),7.1 (3.3),7.4 (3.3),7.8 (3.3)
"SOFA total, mean (SD)",,3.9 (3.7),4.4 (4.0),4.4 (4.4),4.6 (4.1),3.5 (3.2),4.0 (3.9),3.0 (3.1),5.0 (4.2),4.4 (3.7),5.3 (3.6),4.3 (3.9)
"PM₂.₅ 5-year exposure, mean (SD)",,8.3 (0.6),7.6 (0.7),7.2 (1.0),7.9 (0.9),6.2 (1.3),7.8 (0.8),8.5 (0.7),8.4 (0.6),8.6 (1.2),7.0 (0.8),7.8 (1.0)
"NO₂ 5-year exposure, mean (SD)",,5.5 (1.6),7.3 (2.7),5.5 (2.6),8.1 (3.1),3.1 (1.4),8.8 (3.1),8.9 (2.6),10.5 (2.4),6.3 (3.5),5.8 (2.5),7.6 (3.2)
"ICU LOS (hours), mean (SD)",,135.7 (194.0),120.0 (199.8),130.3 (197.6),109.5 (233.0),112.7 (271.8),126.8 (214.3),115.0 (129.9),121.1 (170.7),109.7 (141.7),94.3 (120.5),118.4 (201.0)
"IMV hours in first 72h, mean (SD)",,3.7 (9.5),2.1 (4.8),4.6 (9.4),5.4 (13.3),2.6 (8.3),7.1 (17.7),2.0 (5.5),5.0 (10.1),4.2 (10.8),4.0 (9.3),4.7 (12.4)
"Vasopressor hours in first 72h, mean (SD)",,5.2 (12.5),4.1 (9.7),6.1 (14.2),4.9 (10.9),4.7 (12.5),4.7 (11.8),2.3 (6.9),6.7 (14.8),4.7 (10.3),5.7 (13.0),4.9 (11.7)
Sex,Female,382 (50.7%),956 (49.2%),242 (44.7%),984 (48.3%),180 (48.1%),"1,515 (51.4%)",230 (50.3%),428 (51.9%),198 (50.8%),527 (51.5%),"5,642 (50.0%)"
Sex,Male,372 (49.3%),986 (50.8%),299 (55.3%),"1,053 (51.7%)",194 (51.9%),"1,431 (48.6%)",227 (49.7%),396 (48.1%),192 (49.2%),496 (48.5%),"5,646 (50.0%)"
Race,American Indian or Alaska Native,1 (0.1%),6 (0.3%),,2 (0.1%),6 (1.6%),4 (0.1%),1 (0.2%),,1 (0.3%),8 (0.8%),29 (0.3%)
Race,Asian,42 (5.6%),105 (5.4%),11 (2.0%),79 (3.9%),15 (4.0%),106 (3.6%),14 (3.1%),19 (2.3%),119 (30.5%),35 (3.4%),545 (4.8%)
Race,Black or African American,370 (49.1%),471 (24.3%),37 (6.8%),272 (13.4%),9 (2.4%),888 (30.1%),169 (37.0%),509 (61.8%),28 (7.2%),36 (3.5%),"2,789 (24.7%)"
Race,Native Hawaiian or Other Pacific Islander,,8 (0.4%),,2 (0.1%),,3 (0.1%),1 (0.2%),,4 (1.0%),2 (0.2%),20 (0.2%)
Race,Other,14 (1.9%),74 (3.8%),5 (0.9%),88 (4.3%),3 (0.8%),70 (2.4%),47 (10.3%),9 (1.1%),37 (9.5%),,347 (3.4%)
Race,White,290 (38.5%),"1,267 (65.2%)",483 (89.3%),"1,548 (76.0%)",327 (87.4%),"1,784 (60.6%)",218 (47.7%),248 (30.1%),192 (49.2%),925 (90.4%),"7,282 (64.5%)"
Ethnicity,Hispanic,14 (1.9%),35 (1.8%),10 (1.8%),78 (3.8%),3 (0.8%),29 (1.0%),34 (7.4%),18 (2.2%),35 (9.0%),8 (0.8%),264 (2.3%)
Ethnicity,Non-Hispanic,684 (90.7%),"1,768 (91.0%)",522 (96.5%),"1,884 (92.5%)",344 (92.0%),"2,867 (97.3%)",419 (91.7%),776 (94.2%),344 (88.2%),"1,015 (99.2%)","10,623 (94.1%)"
Advanced cancer present on admission,No,262 (34.7%),681 (35.1%),170 (31.4%),655 (32.2%),146 (39.0%),905 (30.7%),142 (31.1%),266 (32.3%),129 (33.1%),430 (42.0%),"3,786 (33.5%)"
Advanced cancer present on admission,Yes,492 (65.3%),"1,261 (64.9%)",371 (68.6%),"1,382 (67.8%)",228 (61.0%),"2,041 (69.3%)",315 (68.9%),558 (67.7%),261 (66.9%),593 (58.0%),"7,502 (66.5%)"
