label,Cluster 1,Cluster 2,Cluster 3,Cluster 4,P value
N,"4,247","3,908","1,332","1,615",
"Age, mean (SD)",67.9 (10.6),70.3 (10.3),69.4 (10.2),68.0 (10.7),<0.001
"Charlson score, mean (SD)",7.8 (3.2),7.5 (3.3),7.8 (3.2),8.2 (3.3),<0.001
"SOFA total, mean (SD)",2.5 (2.6),3.9 (3.2),4.8 (3.0),10.2 (3.6),<0.001
"PM₂.₅ 5-year exposure, mean (SD)",7.7 (1.0),7.8 (1.0),7.8 (0.9),7.8 (1.0),<0.001
"NO₂ 5-year exposure, mean (SD)",7.5 (3.2),7.6 (3.3),7.7 (3.1),7.7 (3.2),0.090
"ICU LOS (hours), mean (SD)",73.3 (123.6),107.8 (179.6),174.9 (247.8),222.8 (304.3),<0.001
"IMV hours in first 72h, mean (SD)",0.5 (2.7),1.3 (4.7),1.2 (4.5),27.5 (19.5),<0.001
"Vasopressor hours in first 72h, mean (SD)",1.7 (6.3),3.3 (9.0),2.9 (8.3),19.0 (19.0),<0.001
"Male sex, n (%)","2,115 (49.8%)","1,894 (48.5%)",715 (53.7%),834 (51.6%),0.005
"White race, n (%)","2,811 (66.2%)","2,558 (65.5%)",895 (67.2%),928 (57.5%),<0.001
"Black race, n (%)",968 (22.8%),971 (25.8%),279 (21.3%),493 (31.0%),<0.001
"Hispanic ethnicity, n (%)",101 (2.6%),88 (2.3%),45 (4.0%),35 (2.2%),0.007
"Advanced cancer, n (%)","2,932 (69.0%)","2,394 (61.3%)",913 (68.5%),"1,120 (69.3%)",<0.001
"In-hospital death, n (%)",260 (6.1%),614 (15.7%),550 (41.3%),917 (56.8%),<0.001
"Hospice discharge, n (%)",294 (7.2%),559 (14.3%),247 (19.6%),150 (10.0%),<0.001
"Death or hospice, n (%)",558 (13.1%),"1,173 (30.0%)",801 (60.1%),"1,070 (66.3%)",<0.001
"Any IMV in first 72h, n (%)",273 (6.4%),499 (12.8%),155 (12.5%),"1,614 (99.9%)",<0.001
"Any vasopressor in first 72h, n (%)",618 (14.6%),885 (22.6%),276 (21.9%),"1,241 (76.8%)",<0.001
