pooled_cluster,pooled_cluster_label,h,arf,n,prop
1,Cluster 1: Minimal ARF,0,Hypercapnic ARF,46,0.010820983298047518
1,Cluster 1: Minimal ARF,0,Hypoxemic ARF,27,0.006351446718419196
1,Cluster 1: Minimal ARF,0,Mixed ARF,18,0.004234297812279464
1,Cluster 1: Minimal ARF,0,No ARF,4160,0.9785932721712538
1,Cluster 1: Minimal ARF,1,Hypercapnic ARF,50,0.011761938367442954
1,Cluster 1: Minimal ARF,1,Hypoxemic ARF,41,0.009644789461303222
1,Cluster 1: Minimal ARF,1,Mixed ARF,22,0.0051752528816749
1,Cluster 1: Minimal ARF,1,No ARF,4138,0.9734180192895789
1,Cluster 1: Minimal ARF,2,Hypercapnic ARF,53,0.01247352318192516
1,Cluster 1: Minimal ARF,2,Hypoxemic ARF,47,0.011061426217933632
1,Cluster 1: Minimal ARF,2,Mixed ARF,24,0.00564838785596611
1,Cluster 1: Minimal ARF,2,No ARF,4125,0.9708166627441751
1,Cluster 1: Minimal ARF,3,Hypercapnic ARF,55,0.012950317871438662
1,Cluster 1: Minimal ARF,3,Hypoxemic ARF,50,0.01177301624676242
1,Cluster 1: Minimal ARF,3,Mixed ARF,27,0.0063574287732517075
1,Cluster 1: Minimal ARF,3,No ARF,4115,0.9689192371085472
1,Cluster 1: Minimal ARF,4,Hypercapnic ARF,56,0.01318577819637391
1,Cluster 1: Minimal ARF,4,Hypoxemic ARF,49,0.011537555921827172
1,Cluster 1: Minimal ARF,4,Mixed ARF,33,0.007770190722863198
1,Cluster 1: Minimal ARF,4,No ARF,4109,0.9675064751589357
1,Cluster 1: Minimal ARF,5,Hypercapnic ARF,56,0.01318577819637391
1,Cluster 1: Minimal ARF,5,Hypoxemic ARF,49,0.011537555921827172
1,Cluster 1: Minimal ARF,5,Mixed ARF,35,0.008241111372733695
1,Cluster 1: Minimal ARF,5,No ARF,4107,0.9670355545090652
1,Cluster 1: Minimal ARF,6,Hypercapnic ARF,58,0.013659915214319359
1,Cluster 1: Minimal ARF,6,Hypoxemic ARF,50,0.011775788977861516
1,Cluster 1: Minimal ARF,6,Mixed ARF,37,0.008714083843617522
1,Cluster 1: Minimal ARF,6,No ARF,4101,0.9658502119642016
1,Cluster 1: Minimal ARF,7,Hypercapnic ARF,33,0.007764705882352941
1,Cluster 1: Minimal ARF,7,Hypoxemic ARF,44,0.010352941176470589
1,Cluster 1: Minimal ARF,7,Mixed ARF,25,0.0058823529411764705
1,Cluster 1: Minimal ARF,7,No ARF,4148,0.976
1,Cluster 1: Minimal ARF,8,Hypercapnic ARF,33,0.007766533301953401
1,Cluster 1: Minimal ARF,8,Hypoxemic ARF,36,0.008472581783949164
1,Cluster 1: Minimal ARF,8,Mixed ARF,21,0.004942339373970346
1,Cluster 1: Minimal ARF,8,No ARF,4159,0.978818545540127
1,Cluster 1: Minimal ARF,9,Hypercapnic ARF,31,0.007294117647058823
1,Cluster 1: Minimal ARF,9,Hypoxemic ARF,33,0.007764705882352941
1,Cluster 1: Minimal ARF,9,Mixed ARF,19,0.004470588235294118
1,Cluster 1: Minimal ARF,9,No ARF,4167,0.9804705882352941
1,Cluster 1: Minimal ARF,10,Hypercapnic ARF,29,0.006821924253116914
1,Cluster 1: Minimal ARF,10,Hypoxemic ARF,32,0.007527640555163491
1,Cluster 1: Minimal ARF,10,Mixed ARF,17,0.0039990590449306045
1,Cluster 1: Minimal ARF,10,No ARF,4173,0.981651376146789
1,Cluster 1: Minimal ARF,11,Hypercapnic ARF,24,0.0056457304163726185
1,Cluster 1: Minimal ARF,11,Hypoxemic ARF,32,0.007527640555163491
1,Cluster 1: Minimal ARF,11,Mixed ARF,14,0.003293342742884027
1,Cluster 1: Minimal ARF,11,No ARF,4181,0.9835332862855799
1,Cluster 1: Minimal ARF,12,Hypercapnic ARF,22,0.0051752528816749
1,Cluster 1: Minimal ARF,12,Hypoxemic ARF,31,0.007292401787814632
1,Cluster 1: Minimal ARF,12,Mixed ARF,15,0.0035285815102328866
1,Cluster 1: Minimal ARF,12,No ARF,4183,0.9840037638202775
1,Cluster 1: Minimal ARF,13,Hypercapnic ARF,22,0.005180127148575465
1,Cluster 1: Minimal ARF,13,Hypoxemic ARF,29,0.006828349423122204
1,Cluster 1: Minimal ARF,13,Mixed ARF,8,0.0018836825994819873
1,Cluster 1: Minimal ARF,13,No ARF,4188,0.9861078408288203
1,Cluster 1: Minimal ARF,14,Hypercapnic ARF,22,0.0051813471502590676
1,Cluster 1: Minimal ARF,14,Hypoxemic ARF,25,0.005887894488930758
1,Cluster 1: Minimal ARF,14,Mixed ARF,8,0.0018841262364578427
1,Cluster 1: Minimal ARF,14,No ARF,4191,0.9870466321243523
1,Cluster 1: Minimal ARF,15,Hypercapnic ARF,22,0.005180127148575465
1,Cluster 1: Minimal ARF,15,Hypoxemic ARF,23,0.005415587473510714
1,Cluster 1: Minimal ARF,15,Mixed ARF,7,0.0016482222745467388
1,Cluster 1: Minimal ARF,15,No ARF,4195,0.987756063103367
1,Cluster 1: Minimal ARF,16,Hypercapnic ARF,21,0.0049435028248587575
1,Cluster 1: Minimal ARF,16,Hypoxemic ARF,22,0.005178907721280603
1,Cluster 1: Minimal ARF,16,Mixed ARF,7,0.001647834274952919
1,Cluster 1: Minimal ARF,16,No ARF,4198,0.9882297551789078
1,Cluster 1: Minimal ARF,17,Hypercapnic ARF,18,0.004236290891974582
1,Cluster 1: Minimal ARF,17,Hypoxemic ARF,20,0.004706989879971758
1,Cluster 1: Minimal ARF,17,Mixed ARF,6,0.0014120969639915275
1,Cluster 1: Minimal ARF,17,No ARF,4205,0.9896446222640621
1,Cluster 1: Minimal ARF,18,Hypercapnic ARF,17,0.004000941397975994
1,Cluster 1: Minimal ARF,18,Hypoxemic ARF,18,0.004236290891974582
1,Cluster 1: Minimal ARF,18,Mixed ARF,4,9.413979759943516e-4
1,Cluster 1: Minimal ARF,18,No ARF,4210,0.9908213697340551
1,Cluster 1: Minimal ARF,19,Hypercapnic ARF,15,0.0035244360902255637
1,Cluster 1: Minimal ARF,19,Hypoxemic ARF,20,0.004699248120300752
1,Cluster 1: Minimal ARF,19,Mixed ARF,8,0.0018796992481203006
1,Cluster 1: Minimal ARF,19,No ARF,4213,0.9898966165413534
1,Cluster 1: Minimal ARF,20,Hypercapnic ARF,14,0.003288700963119568
1,Cluster 1: Minimal ARF,20,Hypoxemic ARF,17,0.003993422598073761
1,Cluster 1: Minimal ARF,20,Mixed ARF,8,0.0018792576932111817
1,Cluster 1: Minimal ARF,20,No ARF,4218,0.9908386187455955
1,Cluster 1: Minimal ARF,21,Hypercapnic ARF,12,0.0028188865398167725
1,Cluster 1: Minimal ARF,21,Hypoxemic ARF,16,0.0037585153864223633
1,Cluster 1: Minimal ARF,21,Mixed ARF,8,0.0018792576932111817
1,Cluster 1: Minimal ARF,21,No ARF,4221,0.9915433403805497
1,Cluster 1: Minimal ARF,22,Hypercapnic ARF,8,0.0018810251587114979
1,Cluster 1: Minimal ARF,22,Hypoxemic ARF,11,0.0025864095932283094
1,Cluster 1: Minimal ARF,22,Mixed ARF,7,0.0016458970138725606
1,Cluster 1: Minimal ARF,22,No ARF,4227,0.9938866682341876
1,Cluster 1: Minimal ARF,23,Hypercapnic ARF,6,0.0014111006585136407
1,Cluster 1: Minimal ARF,23,Hypoxemic ARF,11,0.0025870178739416747
1,Cluster 1: Minimal ARF,23,Mixed ARF,8,0.0018814675446848542
1,Cluster 1: Minimal ARF,23,No ARF,4227,0.9941204139228599
1,Cluster 1: Minimal ARF,24,Hypercapnic ARF,5,0.0011759172154280338
1,Cluster 1: Minimal ARF,24,Hypoxemic ARF,12,0.0028222013170272815
1,Cluster 1: Minimal ARF,24,Mixed ARF,7,0.0016462841015992475
1,Cluster 1: Minimal ARF,24,No ARF,4228,0.9943555973659455
1,Cluster 1: Minimal ARF,25,Hypercapnic ARF,6,0.0014107688690336232
1,Cluster 1: Minimal ARF,25,Hypoxemic ARF,10,0.0023512814483893723
1,Cluster 1: Minimal ARF,25,Mixed ARF,9,0.002116153303550435
1,Cluster 1: Minimal ARF,25,No ARF,4228,0.9941217963790265
1,Cluster 1: Minimal ARF,26,Hypercapnic ARF,7,0.0016458970138725606
1,Cluster 1: Minimal ARF,26,Hypoxemic ARF,8,0.0018810251587114979
1,Cluster 1: Minimal ARF,26,Mixed ARF,9,0.002116153303550435
1,Cluster 1: Minimal ARF,26,No ARF,4229,0.9943569245238655
1,Cluster 1: Minimal ARF,27,Hypercapnic ARF,7,0.0016462841015992475
1,Cluster 1: Minimal ARF,27,Hypoxemic ARF,8,0.0018814675446848542
1,Cluster 1: Minimal ARF,27,Mixed ARF,9,0.0021166509877704608
1,Cluster 1: Minimal ARF,27,No ARF,4228,0.9943555973659455
1,Cluster 1: Minimal ARF,28,Hypercapnic ARF,7,0.0016458970138725606
1,Cluster 1: Minimal ARF,28,Hypoxemic ARF,8,0.0018810251587114979
1,Cluster 1: Minimal ARF,28,Mixed ARF,10,0.0023512814483893723
1,Cluster 1: Minimal ARF,28,No ARF,4228,0.9941217963790265
1,Cluster 1: Minimal ARF,29,Hypercapnic ARF,7,0.0016455101081335214
1,Cluster 1: Minimal ARF,29,Hypoxemic ARF,8,0.0018805829807240243
1,Cluster 1: Minimal ARF,29,Mixed ARF,9,0.0021156558533145277
1,Cluster 1: Minimal ARF,29,No ARF,4230,0.9943582510578279
1,Cluster 1: Minimal ARF,30,Hypercapnic ARF,2,4.7058823529411766e-4
1,Cluster 1: Minimal ARF,30,Hypoxemic ARF,7,0.0016470588235294118
1,Cluster 1: Minimal ARF,30,Mixed ARF,8,0.0018823529411764706
1,Cluster 1: Minimal ARF,30,No ARF,4233,0.996
1,Cluster 1: Minimal ARF,31,Hypercapnic ARF,2,4.7058823529411766e-4
1,Cluster 1: Minimal ARF,31,Hypoxemic ARF,6,0.001411764705882353
1,Cluster 1: Minimal ARF,31,Mixed ARF,9,0.0021176470588235292
1,Cluster 1: Minimal ARF,31,No ARF,4233,0.996
1,Cluster 1: Minimal ARF,32,Hypercapnic ARF,3,7.058823529411765e-4
1,Cluster 1: Minimal ARF,32,Hypoxemic ARF,6,0.001411764705882353
1,Cluster 1: Minimal ARF,32,Mixed ARF,8,0.0018823529411764706
1,Cluster 1: Minimal ARF,32,No ARF,4233,0.996
1,Cluster 1: Minimal ARF,33,Hypercapnic ARF,2,4.7058823529411766e-4
1,Cluster 1: Minimal ARF,33,Hypoxemic ARF,7,0.0016470588235294118
1,Cluster 1: Minimal ARF,33,Mixed ARF,8,0.0018823529411764706
1,Cluster 1: Minimal ARF,33,No ARF,4233,0.996
1,Cluster 1: Minimal ARF,34,Hypercapnic ARF,7,0.001645123384253819
1,Cluster 1: Minimal ARF,34,Hypoxemic ARF,7,0.001645123384253819
1,Cluster 1: Minimal ARF,34,Mixed ARF,8,0.0018801410105757932
1,Cluster 1: Minimal ARF,34,No ARF,4233,0.9948296122209166
1,Cluster 1: Minimal ARF,35,Hypercapnic ARF,7,0.001645123384253819
1,Cluster 1: Minimal ARF,35,Hypoxemic ARF,7,0.001645123384253819
1,Cluster 1: Minimal ARF,35,Mixed ARF,8,0.0018801410105757932
1,Cluster 1: Minimal ARF,35,No ARF,4233,0.9948296122209166
1,Cluster 1: Minimal ARF,36,Hypercapnic ARF,8,0.0018801410105757932
1,Cluster 1: Minimal ARF,36,Hypoxemic ARF,6,0.001410105757931845
1,Cluster 1: Minimal ARF,36,Mixed ARF,7,0.001645123384253819
1,Cluster 1: Minimal ARF,36,No ARF,4234,0.9950646298472385
1,Cluster 1: Minimal ARF,37,Hypercapnic ARF,2,4.704775346977182e-4
1,Cluster 1: Minimal ARF,37,Hypoxemic ARF,6,0.0014114326040931546
1,Cluster 1: Minimal ARF,37,Mixed ARF,6,0.0014114326040931546
1,Cluster 1: Minimal ARF,37,No ARF,4237,0.9967066572571159
1,Cluster 1: Minimal ARF,38,Hypercapnic ARF,2,4.704775346977182e-4
1,Cluster 1: Minimal ARF,38,Hypoxemic ARF,6,0.0014114326040931546
1,Cluster 1: Minimal ARF,38,Mixed ARF,5,0.0011761938367442955
1,Cluster 1: Minimal ARF,38,No ARF,4238,0.9969418960244648
1,Cluster 1: Minimal ARF,39,Hypercapnic ARF,1,2.352387673488591e-4
1,Cluster 1: Minimal ARF,39,Hypoxemic ARF,5,0.0011761938367442955
1,Cluster 1: Minimal ARF,39,Mixed ARF,5,0.0011761938367442955
1,Cluster 1: Minimal ARF,39,No ARF,4240,0.9974123735591626
1,Cluster 1: Minimal ARF,40,Hypercapnic ARF,1,2.352387673488591e-4
1,Cluster 1: Minimal ARF,40,Hypoxemic ARF,6,0.0014114326040931546
1,Cluster 1: Minimal ARF,40,Mixed ARF,5,0.0011761938367442955
1,Cluster 1: Minimal ARF,40,No ARF,4239,0.9971771347918137
1,Cluster 1: Minimal ARF,41,Hypercapnic ARF,1,2.352387673488591e-4
1,Cluster 1: Minimal ARF,41,Hypoxemic ARF,6,0.0014114326040931546
1,Cluster 1: Minimal ARF,41,Mixed ARF,5,0.0011761938367442955
1,Cluster 1: Minimal ARF,41,No ARF,4239,0.9971771347918137
1,Cluster 1: Minimal ARF,42,Hypercapnic ARF,2,4.709206498704968e-4
1,Cluster 1: Minimal ARF,42,Hypoxemic ARF,5,0.0011773016246762421
1,Cluster 1: Minimal ARF,42,No ARF,4240,0.9983517777254532
1,Cluster 1: Minimal ARF,43,Hypercapnic ARF,2,4.709206498704968e-4
1,Cluster 1: Minimal ARF,43,Hypoxemic ARF,5,0.0011773016246762421
1,Cluster 1: Minimal ARF,43,No ARF,4240,0.9983517777254532
1,Cluster 1: Minimal ARF,44,Hypercapnic ARF,2,4.709206498704968e-4
1,Cluster 1: Minimal ARF,44,Hypoxemic ARF,3,7.063809748057452e-4
1,Cluster 1: Minimal ARF,44,No ARF,4242,0.9988226983753238
1,Cluster 1: Minimal ARF,45,Hypercapnic ARF,2,4.704775346977182e-4
1,Cluster 1: Minimal ARF,45,Hypoxemic ARF,8,0.0018819101387908728
1,Cluster 1: Minimal ARF,45,No ARF,4241,0.9976476123265114
1,Cluster 1: Minimal ARF,46,Hypercapnic ARF,2,4.704775346977182e-4
1,Cluster 1: Minimal ARF,46,Hypoxemic ARF,10,0.002352387673488591
1,Cluster 1: Minimal ARF,46,No ARF,4239,0.9971771347918137
