site_name,stratum,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75
pooled,Overall,age_years,,continuous,11288,68.94421909895465,10.503299680152011,,,
pooled,Overall,charlson_score,,continuous,11288,7.752037562012756,3.2729815700581724,,,
pooled,Overall,deescalations_icu,,continuous,11288,2.526576895818567,5.533470784406446,,,
pooled,Overall,escalations_icu,,continuous,11288,2.12880935506733,5.522690223893895,,,
pooled,Overall,icu_los_hours,,continuous,11288,118.37029401921416,200.97296378055464,,,
pooled,Overall,imv_hours_72h,,continuous,11288,4.709514528703045,12.391742600463566,,,
pooled,Overall,imv_hours_icu,,continuous,11288,17.07220056697376,81.10345473002295,,,
pooled,Overall,no2_1y,,continuous,11108,6.8428461223375265,2.9663378069986885,,,
pooled,Overall,no2_3y,,continuous,11108,7.223505961518383,3.0991594722759084,,,
pooled,Overall,no2_5y,,continuous,11108,7.597952254430063,3.236438441793147,,,
pooled,Overall,pm25_1y,,continuous,11108,8.130478547359482,1.5570641305053246,,,
pooled,Overall,pm25_3y,,continuous,11108,7.827075247044461,1.1109586286745445,,,
pooled,Overall,pm25_5y,,continuous,11108,7.764662095841221,0.9663012813520716,,,
pooled,Overall,sofa_cns,,continuous,11288,0.9689050318922741,1.3145391816339547,,,
pooled,Overall,sofa_coag,,continuous,11288,0.40166548547129705,0.822560461943702,,,
pooled,Overall,sofa_cv,,continuous,11288,1.0992204110559896,1.384099901203865,,,
pooled,Overall,sofa_liver,,continuous,11288,0.11268603827073008,0.4457514671366449,,,
pooled,Overall,sofa_renal,,continuous,11288,0.43302622253720774,0.8486705358454297,,,
pooled,Overall,sofa_resp,,continuous,11288,1.3328313253012054,1.5298498520301451,,,
pooled,Overall,sofa_total,,continuous,11288,4.3483345145287045,3.9162440158089415,,,
pooled,Overall,vaso_hours_72h,,continuous,11288,4.8652551381998554,11.706497704893696,,,
pooled,Overall,vaso_mean_72h,,continuous,11288,0.2709957476966692,0.44449359442881964,,,
