section,label,metric,estimate_ci,k,site_included
Overall pooled associations,NO₂ -> ICU LOS,RR_like,"0.97 (0.90, 1.05)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Overall pooled associations,PM₂.₅ -> ICU LOS,RR_like,"0.98 (0.93, 1.04)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Overall pooled associations,NO₂ -> death or hospice,OR,"1.15 (1.03, 1.27)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Overall pooled associations,PM₂.₅ -> death or hospice,OR,"0.93 (0.84, 1.02)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Overall pooled associations,NO₂ -> post-72h mortality hazard,HR,"0.91 (0.82, 1.00)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Overall pooled associations,PM₂.₅ -> post-72h mortality hazard,HR,"1.09 (0.98, 1.20)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Overall pooled associations,NO₂ -> higher trajectory severity,Ordinal_OR,"1.10 (0.94, 1.28)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Overall pooled associations,PM₂.₅ -> higher trajectory severity,Ordinal_OR,"0.98 (0.85, 1.13)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Exposure-by-cluster interaction terms,NO₂ x Cluster 2: Resolving ARF,OR,"0.99 (0.88, 1.12)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Exposure-by-cluster interaction terms,NO₂ x Cluster 3: Stable ARF,OR,"0.99 (0.84, 1.17)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Exposure-by-cluster interaction terms,NO₂ x Cluster 4: Persistent ARF,OR,"0.97 (0.80, 1.18)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Exposure-by-cluster interaction terms,PM₂.₅ x Cluster 2: Resolving ARF,OR,"0.96 (0.85, 1.08)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Exposure-by-cluster interaction terms,PM₂.₅ x Cluster 3: Stable ARF,OR,"0.90 (0.77, 1.06)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
Exposure-by-cluster interaction terms,PM₂.₅ x Cluster 4: Persistent ARF,OR,"1.00 (0.79, 1.26)",10,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
