site_name,stratum,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75
emory,Q1,age_years,NA,continuous,189,66.4021164021164,10.166025801826382,66,61,73
emory,Q2,age_years,NA,continuous,189,69.53968253968254,10.27622550049291,70,63,77
emory,Q3,age_years,NA,continuous,188,69.64893617021276,9.185209509234086,70,64,76
emory,Q4,age_years,NA,continuous,188,71.6063829787234,8.124983699013029,71,67,77
emory,Q1,icu_los_hours,NA,continuous,189,144.98342151675485,244.5649478542741,79.48333333333333,41.5,149.86666666666667
emory,Q2,icu_los_hours,NA,continuous,189,113.0179012345679,132.31409895232125,69.75,38.55,149.2
emory,Q3,icu_los_hours,NA,continuous,188,145.1895390070922,197.7943089527455,71.98333333333333,36.45,153.2875
emory,Q4,icu_los_hours,NA,continuous,188,139.5035460992908,184.14086868734202,79.54166666666666,44.770833333333336,166.34166666666664
emory,Q1,imv_hours_icu,NA,continuous,189,12.44973544973545,48.13493735405269,0,0,0
emory,Q2,imv_hours_icu,NA,continuous,189,8.322751322751323,27.500997290360697,0,0,1
emory,Q3,imv_hours_icu,NA,continuous,188,13.430851063829786,45.08518977712894,0,0,0
emory,Q4,imv_hours_icu,NA,continuous,188,14.21808510638298,42.33530899565307,0,0,0
emory,Q1,imv_hours_72h,NA,continuous,189,3.3492063492063493,8.067188726020737,0,0,0
emory,Q2,imv_hours_72h,NA,continuous,189,3.2804232804232805,7.954704738672275,0,0,0
emory,Q3,imv_hours_72h,NA,continuous,188,4.132978723404255,11.172846077677823,0,0,0
emory,Q4,imv_hours_72h,NA,continuous,188,4.207446808510638,10.252144571389127,0,0,0
emory,Q1,escalations_icu,NA,continuous,189,6.2063492063492065,10.44717013015822,2,0,7
emory,Q2,escalations_icu,NA,continuous,189,5.158730158730159,7.39797201050989,2,0,6
emory,Q3,escalations_icu,NA,continuous,188,7.042553191489362,13.143319316071354,3,0,7
emory,Q4,escalations_icu,NA,continuous,188,7.542553191489362,13.509485590983262,3.5,1,8
emory,Q1,deescalations_icu,NA,continuous,189,6.481481481481482,10.075561645605136,3,1,8
emory,Q2,deescalations_icu,NA,continuous,189,5.343915343915344,7.047198591837414,3,1,6
emory,Q3,deescalations_icu,NA,continuous,188,7.377659574468085,13.299146804327822,3,1,7
emory,Q4,deescalations_icu,NA,continuous,188,7.611702127659575,13.500773250843473,4,1,8
emory,Q1,vaso_hours_72h,NA,continuous,189,5.597883597883598,13.081056457725738,0,0,1
emory,Q2,vaso_hours_72h,NA,continuous,189,6.502645502645502,14.363304433196577,0,0,4
emory,Q3,vaso_hours_72h,NA,continuous,188,4.3138297872340425,10.91691618778337,0,0,0
emory,Q4,vaso_hours_72h,NA,continuous,188,4.542553191489362,11.467382148485395,0,0,0
emory,Q1,vaso_mean_72h,NA,continuous,189,0.25396825396825395,0.4364357804719847,0,0,1
emory,Q2,vaso_mean_72h,NA,continuous,189,0.2857142857142857,0.45295383125908056,0,0,1
emory,Q3,vaso_mean_72h,NA,continuous,188,0.2393617021276596,0.42783326381551234,0,0,0
emory,Q4,vaso_mean_72h,NA,continuous,188,0.21808510638297873,0.4140481684131676,0,0,0
emory,Q1,pm25_1y,NA,continuous,189,8.387925475993484,0.63404681006764,8.393568992614746,8.147217750549316,8.807649612426758
emory,Q2,pm25_1y,NA,continuous,189,9.632118722118397,0.39803570007852673,9.7605619430542,9.751018524169922,9.7605619430542
emory,Q3,pm25_1y,NA,continuous,188,9.677721444596635,0.44558574701452136,9.7605619430542,9.698288917541504,9.93530559539795
emory,Q4,pm25_1y,NA,continuous,188,9.720227426670967,0.5450244771760717,9.93530559539795,9.93530559539795,9.93530559539795
emory,Q1,pm25_3y,NA,continuous,189,7.806566549566898,0.5294434660896775,7.8999630610148115,7.550038655598958,8.145734945933023
emory,Q2,pm25_3y,NA,continuous,189,9.00549068484567,0.433404005511931,9.259884198506674,8.761037826538086,9.259884198506674
emory,Q3,pm25_3y,NA,continuous,188,9.00704212222539,0.4393777531145421,8.844751993815104,8.730458895365397,9.443429946899414
emory,Q4,pm25_3y,NA,continuous,188,9.040845989335514,0.4242205476977418,8.937908808390299,8.937908808390299,9.443429946899414
emory,Q1,pm25_5y,NA,continuous,189,7.467709972744896,0.4491972095683823,7.512423324584961,7.266023635864258,7.756280994415283
emory,Q2,pm25_5y,NA,continuous,189,8.533112369012581,0.3042501741430334,8.698888111114503,8.412657356262207,8.698888111114503
emory,Q3,pm25_5y,NA,continuous,188,8.618635088332155,0.2566159262669803,8.555362224578857,8.390524578094482,8.909679317474366
emory,Q4,pm25_5y,NA,continuous,188,8.706490178311125,0.20744750394409345,8.636535358428954,8.636535358428954,8.909679317474366
emory,Q1,no2_1y,NA,continuous,189,2.974860974720546,0.8906931186067399,2.864192485809326,2.2777185440063477,3.705844640731811
emory,Q2,no2_1y,NA,continuous,189,5.7147802322629895,0.34538829142735655,5.892951011657715,5.568450927734375,5.955532550811768
emory,Q3,no2_1y,NA,continuous,188,6.3925641141039256,0.4463155337569359,6.207355499267578,5.892951011657715,6.88238525390625
emory,Q4,no2_1y,NA,continuous,188,6.876777981189972,0.10430754549351606,6.8564982414245605,6.856433391571045,6.88238525390625
emory,Q1,no2_3y,NA,continuous,189,3.012326503136381,0.9012190390768189,2.8780112266540527,2.307398796081543,3.759431441624959
emory,Q2,no2_3y,NA,continuous,189,5.765573106325072,0.33578677331062123,5.9641960461934405,5.576319058736165,5.9641960461934405
emory,Q3,no2_3y,NA,continuous,188,6.47076714630668,0.3736381298970789,6.271989186604817,6.107431411743164,6.865105628967285
emory,Q4,no2_3y,NA,continuous,188,6.968510817128716,0.12635121708756375,6.952220916748047,6.865105628967285,7.055243810017903
emory,Q1,no2_5y,NA,continuous,189,3.013133784677077,0.88093125810733,2.886416530609131,2.2940215110778808,3.739830446243286
emory,Q2,no2_5y,NA,continuous,189,5.746936491212965,0.3357575830341552,5.965571594238281,5.568356513977051,5.965571594238281
emory,Q3,no2_5y,NA,continuous,188,6.469169823232029,0.3974809804012197,6.389433347934283,6.006486892700195,6.919096279144287
emory,Q4,no2_5y,NA,continuous,188,6.973787895914518,0.13759325875119743,6.931934928894043,6.919096279144287,6.931934928894043
emory,Q1,charlson_score,NA,continuous,189,7.64021164021164,3.1953543335086168,8,5,10
