traj_cluster_ra,h,arf,n,prop
1,0,ARF_HYPER,3,0.0035714285714285713
1,0,ARF_HYPOX,7,0.008333333333333333
1,0,ARF_MIXED,1,0.0011904761904761906
1,0,NO_ARF,829,0.986904761904762
1,1,ARF_HYPER,4,0.004761904761904762
1,1,ARF_HYPOX,9,0.010714285714285714
1,1,ARF_MIXED,1,0.0011904761904761906
1,1,NO_ARF,826,0.9833333333333333
1,2,ARF_HYPER,4,0.004761904761904762
1,2,ARF_HYPOX,11,0.013095238095238096
1,2,ARF_MIXED,1,0.0011904761904761906
1,2,NO_ARF,824,0.9809523809523809
1,3,ARF_HYPER,4,0.004761904761904762
1,3,ARF_HYPOX,11,0.013095238095238096
1,3,ARF_MIXED,2,0.002380952380952381
1,3,NO_ARF,823,0.9797619047619047
1,4,ARF_HYPER,3,0.0035714285714285713
1,4,ARF_HYPOX,12,0.014285714285714285
1,4,ARF_MIXED,3,0.0035714285714285713
1,4,NO_ARF,822,0.9785714285714285
1,5,ARF_HYPER,3,0.0035714285714285713
1,5,ARF_HYPOX,13,0.015476190476190477
1,5,ARF_MIXED,3,0.0035714285714285713
1,5,NO_ARF,821,0.9773809523809524
1,6,ARF_HYPER,3,0.0035714285714285713
1,6,ARF_HYPOX,13,0.015476190476190477
1,6,ARF_MIXED,3,0.0035714285714285713
1,6,NO_ARF,821,0.9773809523809524
1,7,ARF_HYPER,2,0.002380952380952381
1,7,ARF_HYPOX,10,0.011904761904761904
1,7,ARF_MIXED,2,0.002380952380952381
1,7,NO_ARF,826,0.9833333333333333
1,8,ARF_HYPER,1,0.0011904761904761906
1,8,ARF_HYPOX,9,0.010714285714285714
1,8,ARF_MIXED,2,0.002380952380952381
1,8,NO_ARF,828,0.9857142857142858
1,9,ARF_HYPER,2,0.002380952380952381
1,9,ARF_HYPOX,8,0.009523809523809525
1,9,ARF_MIXED,2,0.002380952380952381
1,9,NO_ARF,828,0.9857142857142858
1,10,ARF_HYPER,1,0.0011904761904761906
1,10,ARF_HYPOX,8,0.009523809523809525
1,10,ARF_MIXED,2,0.002380952380952381
1,10,NO_ARF,829,0.986904761904762
1,11,ARF_HYPER,1,0.0011904761904761906
1,11,ARF_HYPOX,8,0.009523809523809525
1,11,ARF_MIXED,1,0.0011904761904761906
1,11,NO_ARF,830,0.9880952380952381
1,12,ARF_HYPER,2,0.002380952380952381
1,12,ARF_HYPOX,8,0.009523809523809525
1,12,ARF_MIXED,1,0.0011904761904761906
1,12,NO_ARF,829,0.986904761904762
1,13,ARF_HYPER,2,0.002380952380952381
1,13,ARF_HYPOX,7,0.008333333333333333
1,13,ARF_MIXED,1,0.0011904761904761906
1,13,NO_ARF,830,0.9880952380952381
1,14,ARF_HYPER,3,0.0035714285714285713
1,14,ARF_HYPOX,6,0.007142857142857143
1,14,NO_ARF,831,0.9892857142857143
1,15,ARF_HYPER,3,0.0035714285714285713
1,15,ARF_HYPOX,4,0.004761904761904762
1,15,NO_ARF,833,0.9916666666666667
1,16,ARF_HYPER,3,0.0035714285714285713
1,16,ARF_HYPOX,4,0.004761904761904762
1,16,NO_ARF,833,0.9916666666666667
1,17,ARF_HYPER,2,0.002380952380952381
1,17,ARF_HYPOX,2,0.002380952380952381
1,17,NO_ARF,836,0.9952380952380953
1,18,ARF_HYPER,2,0.002380952380952381
1,18,ARF_HYPOX,1,0.0011904761904761906
1,18,NO_ARF,837,0.9964285714285714
1,19,ARF_HYPOX,3,0.0035714285714285713
1,19,NO_ARF,837,0.9964285714285714
1,20,ARF_HYPOX,3,0.0035714285714285713
1,20,NO_ARF,837,0.9964285714285714
1,21,ARF_HYPOX,3,0.0035714285714285713
1,21,NO_ARF,837,0.9964285714285714
1,22,ARF_HYPOX,3,0.0035714285714285713
1,22,NO_ARF,837,0.9964285714285714
1,23,ARF_HYPOX,5,0.005952380952380952
1,23,NO_ARF,835,0.9940476190476191
1,24,ARF_HYPOX,5,0.005952380952380952
1,24,NO_ARF,835,0.9940476190476191
1,25,ARF_HYPOX,3,0.0035714285714285713
1,25,ARF_MIXED,1,0.0011904761904761906
1,25,NO_ARF,836,0.9952380952380953
1,26,ARF_HYPOX,3,0.0035714285714285713
1,26,ARF_MIXED,1,0.0011904761904761906
1,26,NO_ARF,836,0.9952380952380953
1,27,ARF_HYPOX,3,0.0035714285714285713
1,27,ARF_MIXED,1,0.0011904761904761906
1,27,NO_ARF,836,0.9952380952380953
1,28,ARF_HYPOX,3,0.0035714285714285713
1,28,ARF_MIXED,1,0.0011904761904761906
1,28,NO_ARF,836,0.9952380952380953
1,29,ARF_HYPOX,3,0.0035714285714285713
1,29,ARF_MIXED,1,0.0011904761904761906
1,29,NO_ARF,836,0.9952380952380953
1,30,ARF_HYPOX,1,0.0011904761904761906
1,30,ARF_MIXED,1,0.0011904761904761906
1,30,NO_ARF,838,0.9976190476190476
1,31,ARF_HYPOX,1,0.0011904761904761906
1,31,ARF_MIXED,1,0.0011904761904761906
1,31,NO_ARF,838,0.9976190476190476
1,32,ARF_HYPOX,2,0.002380952380952381
1,32,NO_ARF,838,0.9976190476190476
1,33,ARF_HYPOX,2,0.002380952380952381
1,33,NO_ARF,838,0.9976190476190476
1,34,ARF_HYPOX,2,0.002380952380952381
1,34,NO_ARF,838,0.9976190476190476
1,35,ARF_HYPOX,3,0.0035714285714285713
1,35,NO_ARF,837,0.9964285714285714
1,36,ARF_HYPOX,2,0.002380952380952381
1,36,NO_ARF,838,0.9976190476190476
1,37,ARF_HYPOX,2,0.002380952380952381
1,37,NO_ARF,838,0.9976190476190476
1,38,ARF_HYPOX,2,0.002380952380952381
1,38,NO_ARF,838,0.9976190476190476
1,39,ARF_HYPOX,1,0.0011904761904761906
1,39,NO_ARF,839,0.9988095238095238
1,40,ARF_HYPOX,2,0.002380952380952381
1,40,NO_ARF,838,0.9976190476190476
1,41,ARF_HYPOX,2,0.002380952380952381
1,41,NO_ARF,838,0.9976190476190476
1,42,ARF_HYPOX,1,0.0011904761904761906
1,42,NO_ARF,839,0.9988095238095238
1,43,ARF_HYPOX,1,0.0011904761904761906
1,43,NO_ARF,839,0.9988095238095238
1,44,ARF_HYPOX,1,0.0011904761904761906
1,44,NO_ARF,839,0.9988095238095238
1,45,ARF_HYPOX,1,0.0011904761904761906
1,45,NO_ARF,839,0.9988095238095238
1,46,ARF_HYPOX,2,0.002380952380952381
1,46,NO_ARF,838,0.9976190476190476
1,47,ARF_HYPER,1,0.0011904761904761906
1,47,ARF_HYPOX,2,0.002380952380952381
1,47,NO_ARF,837,0.9964285714285714
1,48,ARF_HYPER,1,0.0011904761904761906
1,48,ARF_HYPOX,2,0.002380952380952381
1,48,NO_ARF,837,0.9964285714285714
1,49,ARF_HYPER,1,0.0011904761904761906
1,49,ARF_HYPOX,2,0.002380952380952381
1,49,NO_ARF,837,0.9964285714285714
1,50,ARF_HYPER,1,0.0011904761904761906
1,50,ARF_HYPOX,1,0.0011904761904761906
1,50,NO_ARF,838,0.9976190476190476
1,51,ARF_HYPER,1,0.0011904761904761906
1,51,ARF_HYPOX,1,0.0011904761904761906
1,51,NO_ARF,838,0.9976190476190476
1,52,ARF_HYPER,1,0.0011904761904761906
1,52,ARF_HYPOX,1,0.0011904761904761906
1,52,NO_ARF,838,0.9976190476190476
1,53,ARF_HYPER,1,0.0011904761904761906
1,53,NO_ARF,839,0.9988095238095238
1,54,NO_ARF,840,1
1,55,NO_ARF,840,1
1,56,NO_ARF,840,1
1,57,NO_ARF,840,1
1,58,NO_ARF,840,1
1,59,NO_ARF,840,1
1,60,NO_ARF,840,1
1,61,NO_ARF,840,1
1,62,NO_ARF,840,1
1,63,ARF_HYPOX,1,0.0011904761904761906
1,63,NO_ARF,839,0.9988095238095238
1,64,ARF_HYPOX,1,0.0011904761904761906
1,64,NO_ARF,839,0.9988095238095238
1,65,ARF_HYPOX,1,0.0011904761904761906
1,65,NO_ARF,839,0.9988095238095238
1,66,ARF_HYPOX,1,0.0011904761904761906
1,66,NO_ARF,839,0.9988095238095238
1,67,ARF_HYPOX,1,0.0011904761904761906
1,67,NO_ARF,839,0.9988095238095238
1,68,ARF_HYPOX,1,0.0011904761904761906
1,68,NO_ARF,839,0.9988095238095238
1,69,ARF_HYPOX,1,0.0011904761904761906
1,69,NO_ARF,839,0.9988095238095238
1,70,NO_ARF,840,1
1,71,ARF_HYPER,1,0.0011904761904761906
1,71,NO_ARF,839,0.9988095238095238
1,72,ARF_HYPER,1,0.0011904761904761906
1,72,NO_ARF,839,0.9988095238095238
2,0,ARF_HYPER,18,0.02727272727272727
2,0,ARF_HYPOX,10,0.015151515151515152
2,0,ARF_MIXED,10,0.015151515151515152
2,0,NO_ARF,622,0.9424242424242424
2,1,ARF_HYPER,20,0.030303030303030304
2,1,ARF_HYPOX,19,0.02878787878787879
2,1,ARF_MIXED,16,0.024242424242424242
