traj_cluster_ra,h,rs,n,prop
1,0,IMV,51,0.060714285714285714
1,0,LOW_O2,435,0.5178571428571429
1,0,NIV,22,0.02619047619047619
1,0,ROOM AIR,332,0.3952380952380952
1,1,IMV,49,0.058333333333333334
1,1,LOW_O2,402,0.4785714285714286
1,1,NIV,21,0.025
1,1,ROOM AIR,368,0.4380952380952381
1,2,IMV,46,0.05476190476190476
1,2,LOW_O2,371,0.44166666666666665
1,2,NIV,23,0.02738095238095238
1,2,ROOM AIR,400,0.47619047619047616
1,3,IMV,42,0.05
1,3,LOW_O2,359,0.42738095238095236
1,3,NIV,20,0.023809523809523808
1,3,ROOM AIR,419,0.4988095238095238
1,4,IMV,42,0.05
1,4,LOW_O2,348,0.4142857142857143
1,4,NIV,18,0.02142857142857143
1,4,ROOM AIR,432,0.5142857142857142
1,5,IMV,41,0.04880952380952381
1,5,LOW_O2,321,0.3821428571428571
1,5,NIV,18,0.02142857142857143
1,5,ROOM AIR,460,0.5476190476190477
1,6,IMV,41,0.04880952380952381
1,6,LOW_O2,315,0.375
1,6,NIV,17,0.02023809523809524
1,6,ROOM AIR,467,0.555952380952381
1,7,IMV,40,0.047619047619047616
1,7,LOW_O2,302,0.3595238095238095
1,7,NIV,16,0.01904761904761905
1,7,ROOM AIR,482,0.5738095238095238
1,8,IMV,39,0.04642857142857143
1,8,LOW_O2,285,0.3392857142857143
1,8,NIV,19,0.02261904761904762
1,8,ROOM AIR,497,0.5916666666666667
1,9,IMV,37,0.04404761904761905
1,9,LOW_O2,275,0.3273809523809524
1,9,NIV,18,0.02142857142857143
1,9,ROOM AIR,510,0.6071428571428571
1,10,IMV,35,0.041666666666666664
1,10,LOW_O2,276,0.32857142857142857
1,10,NIV,16,0.01904761904761905
1,10,ROOM AIR,513,0.6107142857142858
1,11,IMV,33,0.039285714285714285
1,11,LOW_O2,272,0.3238095238095238
1,11,NIV,16,0.01904761904761905
1,11,ROOM AIR,519,0.6178571428571429
1,12,IMV,31,0.036904761904761905
1,12,LOW_O2,264,0.3142857142857143
1,12,NIV,16,0.01904761904761905
1,12,ROOM AIR,529,0.6297619047619047
1,13,IMV,29,0.034523809523809526
1,13,LOW_O2,260,0.30952380952380953
1,13,NIV,11,0.013095238095238096
1,13,ROOM AIR,540,0.6428571428571429
1,14,IMV,28,0.03333333333333333
1,14,LOW_O2,238,0.2833333333333333
1,14,NIV,9,0.010714285714285714
1,14,ROOM AIR,565,0.6726190476190477
1,15,IMV,25,0.02976190476190476
1,15,LOW_O2,216,0.2571428571428571
1,15,NIV,8,0.009523809523809525
1,15,ROOM AIR,591,0.7035714285714286
1,16,IMV,25,0.02976190476190476
1,16,LOW_O2,204,0.24285714285714285
1,16,NIV,8,0.009523809523809525
1,16,ROOM AIR,603,0.7178571428571429
1,17,IMV,24,0.02857142857142857
1,17,LOW_O2,192,0.22857142857142856
1,17,NIV,6,0.007142857142857143
1,17,ROOM AIR,618,0.7357142857142858
1,18,IMV,24,0.02857142857142857
1,18,LOW_O2,175,0.20833333333333334
1,18,NIV,7,0.008333333333333333
1,18,ROOM AIR,634,0.7547619047619047
1,19,IMV,25,0.02976190476190476
1,19,LOW_O2,166,0.1976190476190476
1,19,NIV,5,0.005952380952380952
1,19,ROOM AIR,644,0.7666666666666667
1,20,IMV,22,0.02619047619047619
1,20,LOW_O2,162,0.19285714285714287
1,20,NIV,5,0.005952380952380952
1,20,ROOM AIR,651,0.775
1,21,IMV,22,0.02619047619047619
1,21,LOW_O2,153,0.18214285714285713
1,21,NIV,4,0.004761904761904762
1,21,ROOM AIR,661,0.7869047619047619
1,22,IMV,20,0.023809523809523808
1,22,LOW_O2,144,0.17142857142857143
1,22,NIV,5,0.005952380952380952
1,22,ROOM AIR,671,0.7988095238095239
1,23,IMV,18,0.02142857142857143
1,23,LOW_O2,138,0.16428571428571428
1,23,NIV,4,0.004761904761904762
1,23,ROOM AIR,680,0.8095238095238095
1,24,IMV,16,0.01904761904761905
1,24,LOW_O2,131,0.15595238095238095
1,24,NIV,4,0.004761904761904762
1,24,ROOM AIR,689,0.8202380952380952
1,25,IMV,16,0.01904761904761905
1,25,LOW_O2,127,0.15119047619047618
1,25,NIV,3,0.0035714285714285713
1,25,ROOM AIR,694,0.8261904761904761
1,26,IMV,17,0.02023809523809524
1,26,LOW_O2,113,0.13452380952380952
1,26,NIV,4,0.004761904761904762
1,26,ROOM AIR,706,0.8404761904761905
1,27,IMV,17,0.02023809523809524
1,27,LOW_O2,105,0.125
1,27,NIV,4,0.004761904761904762
1,27,ROOM AIR,714,0.85
1,28,IMV,14,0.016666666666666666
1,28,LOW_O2,110,0.13095238095238096
1,28,NIV,3,0.0035714285714285713
1,28,ROOM AIR,713,0.8488095238095238
1,29,IMV,13,0.015476190476190477
1,29,LOW_O2,106,0.1261904761904762
1,29,NIV,2,0.002380952380952381
1,29,ROOM AIR,719,0.8559523809523809
1,30,IMV,13,0.015476190476190477
1,30,LOW_O2,100,0.11904761904761904
1,30,NIV,3,0.0035714285714285713
1,30,ROOM AIR,724,0.861904761904762
1,31,IMV,13,0.015476190476190477
1,31,LOW_O2,100,0.11904761904761904
1,31,NIV,3,0.0035714285714285713
1,31,ROOM AIR,724,0.861904761904762
1,32,IMV,12,0.014285714285714285
1,32,LOW_O2,90,0.10714285714285714
1,32,NIV,6,0.007142857142857143
1,32,ROOM AIR,732,0.8714285714285714
1,33,IMV,10,0.011904761904761904
1,33,LOW_O2,89,0.10595238095238095
1,33,NIV,8,0.009523809523809525
1,33,ROOM AIR,733,0.8726190476190476
1,34,IMV,10,0.011904761904761904
1,34,LOW_O2,89,0.10595238095238095
1,34,NIV,8,0.009523809523809525
1,34,ROOM AIR,733,0.8726190476190476
1,35,IMV,9,0.010714285714285714
1,35,LOW_O2,89,0.10595238095238095
1,35,NIV,7,0.008333333333333333
1,35,ROOM AIR,735,0.875
1,36,IMV,6,0.007142857142857143
1,36,LOW_O2,81,0.09642857142857143
1,36,NIV,6,0.007142857142857143
1,36,ROOM AIR,747,0.8892857142857142
1,37,IMV,6,0.007142857142857143
1,37,LOW_O2,81,0.09642857142857143
1,37,NIV,5,0.005952380952380952
1,37,ROOM AIR,748,0.8904761904761904
1,38,IMV,6,0.007142857142857143
1,38,LOW_O2,70,0.08333333333333333
1,38,NIV,5,0.005952380952380952
1,38,ROOM AIR,759,0.9035714285714286
1,39,IMV,5,0.005952380952380952
1,39,LOW_O2,64,0.0761904761904762
1,39,NIV,2,0.002380952380952381
1,39,ROOM AIR,769,0.9154761904761904
1,40,IMV,5,0.005952380952380952
1,40,LOW_O2,56,0.06666666666666667
1,40,NIV,1,0.0011904761904761906
1,40,ROOM AIR,778,0.9261904761904762
1,41,IMV,5,0.005952380952380952
1,41,LOW_O2,50,0.05952380952380952
1,41,ROOM AIR,785,0.9345238095238095
1,42,IMV,5,0.005952380952380952
1,42,LOW_O2,49,0.058333333333333334
1,42,ROOM AIR,786,0.9357142857142857
1,43,IMV,5,0.005952380952380952
1,43,LOW_O2,43,0.05119047619047619
1,43,ROOM AIR,792,0.9428571428571428
1,44,IMV,4,0.004761904761904762
1,44,LOW_O2,41,0.04880952380952381
1,44,NIV,1,0.0011904761904761906
1,44,ROOM AIR,794,0.9452380952380952
1,45,IMV,3,0.0035714285714285713
1,45,LOW_O2,34,0.04047619047619048
1,45,NIV,2,0.002380952380952381
1,45,ROOM AIR,801,0.9535714285714286
1,46,IMV,3,0.0035714285714285713
1,46,LOW_O2,25,0.02976190476190476
1,46,NIV,3,0.0035714285714285713
1,46,ROOM AIR,809,0.9630952380952381
1,47,IMV,3,0.0035714285714285713
1,47,LOW_O2,25,0.02976190476190476
1,47,NIV,2,0.002380952380952381
1,47,ROOM AIR,810,0.9642857142857143
1,48,IMV,2,0.002380952380952381
1,48,LOW_O2,20,0.023809523809523808
1,48,NIV,3,0.0035714285714285713
1,48,ROOM AIR,815,0.9702380952380952
1,49,IMV,1,0.0011904761904761906
1,49,LOW_O2,22,0.02619047619047619
1,49,NIV,3,0.0035714285714285713
1,49,ROOM AIR,814,0.969047619047619
1,50,IMV,1,0.0011904761904761906
1,50,LOW_O2,19,0.02261904761904762
1,50,NIV,3,0.0035714285714285713
1,50,ROOM AIR,817,0.9726190476190476
1,51,LOW_O2,18,0.02142857142857143
1,51,NIV,3,0.0035714285714285713
1,51,ROOM AIR,819,0.975
1,52,LOW_O2,18,0.02142857142857143
1,52,NIV,2,0.002380952380952381
1,52,ROOM AIR,820,0.9761904761904762
1,53,LOW_O2,17,0.02023809523809524
1,53,NIV,2,0.002380952380952381
1,53,ROOM AIR,821,0.9773809523809524
1,54,LOW_O2,17,0.02023809523809524
1,54,NIV,4,0.004761904761904762
1,54,ROOM AIR,819,0.975
1,55,LOW_O2,19,0.02261904761904762
1,55,NIV,5,0.005952380952380952
1,55,ROOM AIR,816,0.9714285714285714
1,56,LOW_O2,19,0.02261904761904762
1,56,NIV,5,0.005952380952380952
1,56,ROOM AIR,816,0.9714285714285714
1,57,LOW_O2,19,0.02261904761904762
1,57,NIV,4,0.004761904761904762
1,57,ROOM AIR,817,0.9726190476190476
1,58,LOW_O2,19,0.02261904761904762
1,58,NIV,4,0.004761904761904762
1,58,ROOM AIR,817,0.9726190476190476
1,59,LOW_O2,20,0.023809523809523808
1,59,NIV,4,0.004761904761904762
1,59,ROOM AIR,816,0.9714285714285714
1,60,LOW_O2,22,0.02619047619047619
1,60,NIV,3,0.0035714285714285713
1,60,ROOM AIR,815,0.9702380952380952
1,61,IMV,1,0.0011904761904761906
1,61,LOW_O2,22,0.02619047619047619
1,61,NIV,3,0.0035714285714285713
1,61,ROOM AIR,814,0.969047619047619
1,62,IMV,1,0.0011904761904761906
1,62,LOW_O2,26,0.030952380952380953
1,62,NIV,3,0.0035714285714285713
1,62,ROOM AIR,810,0.9642857142857143
1,63,IMV,1,0.0011904761904761906
1,63,LOW_O2,27,0.03214285714285714
1,63,NIV,3,0.0035714285714285713
1,63,ROOM AIR,809,0.9630952380952381
1,64,IMV,1,0.0011904761904761906
1,64,LOW_O2,23,0.02738095238095238
1,64,NIV,2,0.002380952380952381
1,64,ROOM AIR,814,0.969047619047619
1,65,IMV,1,0.0011904761904761906
1,65,LOW_O2,19,0.02261904761904762
1,65,NIV,2,0.002380952380952381
1,65,ROOM AIR,818,0.9738095238095238
1,66,IMV,1,0.0011904761904761906
1,66,LOW_O2,19,0.02261904761904762
1,66,NIV,2,0.002380952380952381
1,66,ROOM AIR,818,0.9738095238095238
1,67,IMV,1,0.0011904761904761906
1,67,LOW_O2,18,0.02142857142857143
1,67,NIV,2,0.002380952380952381
1,67,ROOM AIR,819,0.975
1,68,IMV,1,0.0011904761904761906
1,68,LOW_O2,17,0.02023809523809524
1,68,NIV,3,0.0035714285714285713
1,68,ROOM AIR,819,0.975
1,69,IMV,1,0.0011904761904761906
1,69,LOW_O2,18,0.02142857142857143
1,69,NIV,3,0.0035714285714285713
1,69,ROOM AIR,818,0.9738095238095238
1,70,IMV,1,0.0011904761904761906
1,70,LOW_O2,18,0.02142857142857143
1,70,NIV,4,0.004761904761904762
1,70,ROOM AIR,817,0.9726190476190476
1,71,IMV,1,0.0011904761904761906
1,71,LOW_O2,20,0.023809523809523808
1,71,NIV,5,0.005952380952380952
1,71,ROOM AIR,814,0.969047619047619
1,72,IMV,1,0.0011904761904761906
1,72,LOW_O2,25,0.02976190476190476
1,72,NIV,4,0.004761904761904762
1,72,ROOM AIR,810,0.9642857142857143
2,0,IMV,85,0.12878787878787878
2,0,LOW_O2,410,0.6212121212121212
2,0,NIV,113,0.1712121212121212
2,0,ROOM AIR,52,0.07878787878787878
2,1,IMV,85,0.12878787878787878
2,1,LOW_O2,412,0.6242424242424243
2,1,NIV,110,0.16666666666666666
2,1,ROOM AIR,53,0.0803030303030303
2,2,IMV,82,0.12424242424242424
2,2,LOW_O2,417,0.6318181818181818
2,2,NIV,109,0.16515151515151516
2,2,ROOM AIR,52,0.07878787878787878
2,3,IMV,77,0.11666666666666667
2,3,LOW_O2,423,0.6409090909090909
2,3,NIV,105,0.1590909090909091
2,3,ROOM AIR,55,0.08333333333333333
2,4,IMV,72,0.10909090909090909
2,4,LOW_O2,430,0.6515151515151515
2,4,NIV,107,0.1621212121212121
2,4,ROOM AIR,51,0.07727272727272727
2,5,IMV,70,0.10606060606060606
2,5,LOW_O2,440,0.6666666666666666
2,5,NIV,101,0.15303030303030302
2,5,ROOM AIR,49,0.07424242424242425
2,6,IMV,71,0.10757575757575757
2,6,LOW_O2,446,0.6757575757575758
2,6,NIV,92,0.1393939393939394
2,6,ROOM AIR,51,0.07727272727272727
2,7,IMV,71,0.10757575757575757
2,7,LOW_O2,452,0.6848484848484848
2,7,NIV,87,0.1318181818181818
2,7,ROOM AIR,50,0.07575757575757576
2,8,IMV,72,0.10909090909090909
2,8,LOW_O2,450,0.6818181818181818
2,8,NIV,85,0.12878787878787878
2,8,ROOM AIR,53,0.0803030303030303
2,9,IMV,68,0.10303030303030303
2,9,LOW_O2,448,0.6787878787878788
2,9,NIV,84,0.12727272727272726
2,9,ROOM AIR,60,0.09090909090909091
2,10,IMV,66,0.1
2,10,LOW_O2,451,0.6833333333333333
2,10,NIV,82,0.12424242424242424
2,10,ROOM AIR,61,0.09242424242424242
2,11,IMV,65,0.09848484848484848
2,11,LOW_O2,455,0.6893939393939394
2,11,NIV,81,0.12272727272727273
