traj_cluster_ra,no2_5y_z,pm25_5y_z,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,pred_prob
1,-2,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.029047941912904177
1,-1.9,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.02991557935917318
1,-1.8,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.030808310099910554
1,-1.7,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.03172681012822922
1,-1.6,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.03267177064204427
1,-1.5,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.033643898200361566
1,-1.4,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.03464391486829533
1,-1.2999999999999998,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.035672558349733756
1,-1.2,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.03673058210654153
1,-1.1,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.03781875546313491
1,-1,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.03893786369518005
1,-0.8999999999999999,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.04008870810114232
1,-0.7999999999999998,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.04127210605532734
1,-0.7,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.04248889104102503
1,-0.5999999999999999,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.04373991266226914
1,-0.5,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.04502603663270344
1,-0.3999999999999999,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.04634814473995422
1,-0.2999999999999998,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.04770713478388154
1,-0.19999999999999996,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.04910392048697829
