site_name,stratum,variable,level,summary_type,n,denom,prop
Hopkins,Q1,sex_category,Female,categorical,211,471,0.44798301486199577
Hopkins,Q1,sex_category,Male,categorical,260,471,0.5520169851380042
Hopkins,Q2,sex_category,Female,categorical,233,471,0.49469214437367304
Hopkins,Q2,sex_category,Male,categorical,238,471,0.505307855626327
Hopkins,Q3,sex_category,Female,categorical,238,470,0.5063829787234042
Hopkins,Q3,sex_category,Male,categorical,232,470,0.49361702127659574
Hopkins,Q4,sex_category,Female,categorical,247,470,0.5255319148936171
Hopkins,Q4,sex_category,Male,categorical,223,470,0.474468085106383
Hopkins,NA,sex_category,Female,categorical,27,60,0.45
Hopkins,NA,sex_category,Male,categorical,33,60,0.55
Hopkins,Q1,race_category,Asian,categorical,32,471,0.06794055201698514
Hopkins,Q1,race_category,Black or African American,categorical,52,471,0.11040339702760085
Hopkins,Q1,race_category,Native Hawaiian or Other Pacific Islander,categorical,2,471,0.004246284501061571
Hopkins,Q1,race_category,Other,categorical,17,471,0.036093418259023353
Hopkins,Q1,race_category,Unknown,categorical,1,471,0.0021231422505307855
Hopkins,Q1,race_category,White,categorical,367,471,0.7791932059447984
Hopkins,Q2,race_category,Asian,categorical,24,471,0.050955414012738856
Hopkins,Q2,race_category,Black or African American,categorical,66,471,0.14012738853503184
Hopkins,Q2,race_category,Native Hawaiian or Other Pacific Islander,categorical,2,471,0.004246284501061571
Hopkins,Q2,race_category,Other,categorical,17,471,0.036093418259023353
Hopkins,Q2,race_category,Unknown,categorical,2,471,0.004246284501061571
Hopkins,Q2,race_category,White,categorical,360,471,0.7643312101910829
Hopkins,Q3,race_category,American Indian or Alaska Native,categorical,3,470,0.006382978723404255
Hopkins,Q3,race_category,Asian,categorical,42,470,0.08936170212765958
Hopkins,Q3,race_category,Black or African American,categorical,80,470,0.1702127659574468
Hopkins,Q3,race_category,Native Hawaiian or Other Pacific Islander,categorical,1,470,0.002127659574468085
Hopkins,Q3,race_category,Other,categorical,17,470,0.036170212765957444
Hopkins,Q3,race_category,Unknown,categorical,2,470,0.00425531914893617
Hopkins,Q3,race_category,White,categorical,325,470,0.6914893617021277
Hopkins,Q4,race_category,American Indian or Alaska Native,categorical,3,470,0.006382978723404255
Hopkins,Q4,race_category,Asian,categorical,5,470,0.010638297872340425
Hopkins,Q4,race_category,Black or African American,categorical,258,470,0.548936170212766
Hopkins,Q4,race_category,Native Hawaiian or Other Pacific Islander,categorical,3,470,0.006382978723404255
Hopkins,Q4,race_category,Other,categorical,21,470,0.04468085106382979
Hopkins,Q4,race_category,Unknown,categorical,6,470,0.01276595744680851
Hopkins,Q4,race_category,White,categorical,174,470,0.3702127659574468
Hopkins,NA,race_category,Asian,categorical,2,60,0.03333333333333333
