site_name,stratum,variable,level,summary_type,n,denom,prop
U_Michigan,Q1,device_t0,UNK,categorical,10,136,0.073529412
U_Michigan,Q1,severity_rank,3,categorical,10,136,0.073529412
U_Michigan,Q1,traj_cluster_ra,3,categorical,10,136,0.073529412
U_Michigan,Q4,device_t0,UNK,categorical,11,135,0.081481481
U_Michigan,Q2,hospice_discharge,1,categorical,11,135,0.081481481
U_Michigan,Q2,device_t0,FACE MASK,categorical,12,135,0.088888889
U_Michigan,Q2,device_t0,UNK,categorical,12,135,0.088888889
U_Michigan,Q4,device_t0,IMV,categorical,12,135,0.088888889
U_Michigan,Q3,hospice_discharge,1,categorical,12,135,0.088888889
U_Michigan,Q3,race_category,Black or African American,categorical,12,,
U_Michigan,Q4,hospice_discharge,1,categorical,13,135,0.096296296
U_Michigan,Q2,cachexia_poa,1,categorical,14,135,0.103703704
U_Michigan,Q3,malignant_pleural_effusion_poa,1,categorical,14,135,0.103703704
U_Michigan,Q4,race_category,Black or African American,categorical,14,135,0.103703704
U_Michigan,Q1,device_t0,HIGH FLOW NC,categorical,15,136,0.110294118
U_Michigan,Q3,device_t0,IMV,categorical,15,135,0.111111111
U_Michigan,Q3,device_t0,UNK,categorical,15,135,0.111111111
U_Michigan,Q2,device_t0,ROOM AIR,categorical,16,135,0.118518519
U_Michigan,Q2,severity_rank,3,categorical,17,135,0.125925926
U_Michigan,Q2,traj_cluster_ra,3,categorical,17,135,0.125925926
U_Michigan,Q2,malignant_pleural_effusion_poa,1,categorical,18,135,0.133333333
U_Michigan,Q4,malignant_pleural_effusion_poa,1,categorical,18,135,0.133333333
U_Michigan,Q1,malignant_pleural_effusion_poa,1,categorical,19,136,0.139705882
U_Michigan,Q3,severity_rank,3,categorical,19,135,0.140740741
U_Michigan,Q3,traj_cluster_ra,3,categorical,19,135,0.140740741
U_Michigan,Q2,device_t0,IMV,categorical,20,135,0.148148148
U_Michigan,Q1,device_t0,ROOM AIR,categorical,21,136,0.154411765
U_Michigan,Q2,device_t0,HIGH FLOW NC,categorical,21,135,0.155555556
U_Michigan,Q3,device_t0,HIGH FLOW NC,categorical,21,135,0.155555556
U_Michigan,Q3,severity_rank,4,categorical,22,135,0.162962963
U_Michigan,Q3,traj_cluster_ra,4,categorical,22,135,0.162962963
U_Michigan,Q1,device_t0,IMV,categorical,23,136,0.169117647
U_Michigan,Q4,severity_rank,3,categorical,23,,
U_Michigan,Q4,traj_cluster_ra,3,categorical,23,,
U_Michigan,Q4,severity_rank,4,categorical,24,,
U_Michigan,Q4,traj_cluster_ra,4,categorical,24,,
U_Michigan,Q4,device_t0,HIGH FLOW NC,categorical,26,135,0.192592593
U_Michigan,Q3,device_t0,ROOM AIR,categorical,28,135,0.207407407
U_Michigan,Q3,vaso_any_72h,1,categorical,29,135,0.214814815
U_Michigan,Q2,severity_rank,4,categorical,31,135,0.22962963
U_Michigan,Q2,traj_cluster_ra,4,categorical,31,135,0.22962963
U_Michigan,Q4,device_t0,ROOM AIR,categorical,32,135,0.237037037
U_Michigan,Q1,severity_rank,4,categorical,32,136,0.235294118
U_Michigan,Q1,traj_cluster_ra,4,categorical,32,136,0.235294118
U_Michigan,Q4,any_imv_72h,1,categorical,33,135,0.244444444
U_Michigan,Q3,death_in_hosp,1,categorical,34,135,0.251851852
U_Michigan,Q4,vaso_any_72h,1,categorical,34,135,0.251851852
U_Michigan,Q4,severity_rank,2,categorical,35,,
U_Michigan,Q4,traj_cluster_ra,2,categorical,35,,
U_Michigan,Q4,device_t0,NASAL CANNULA,categorical,36,135,0.266666667
U_Michigan,Q2,vaso_any_72h,1,categorical,36,135,0.266666667
U_Michigan,Q2,advanced_cancer_any_poa,0,categorical,37,135,0.274074074
U_Michigan,Q1,death_in_hosp,1,categorical,37,136,0.272058824
U_Michigan,Q4,death_in_hosp,1,categorical,37,135,0.274074074
U_Michigan,Q2,severity_rank,1,categorical,37,135,0.274074074
U_Michigan,Q2,traj_cluster_ra,1,categorical,37,135,0.274074074
U_Michigan,Q4,advanced_cancer_any_poa,0,categorical,39,135,0.288888889
U_Michigan,Q3,severity_rank,1,categorical,40,135,0.296296296
U_Michigan,Q3,traj_cluster_ra,1,categorical,40,135,0.296296296
U_Michigan,Q2,any_imv_72h,1,categorical,41,135,0.303703704
U_Michigan,Q3,any_imv_72h,1,categorical,41,135,0.303703704
U_Michigan,Q4,any_imv_icu,1,categorical,41,135,0.303703704
U_Michigan,Q3,device_t0,NASAL CANNULA,categorical,41,135,0.303703704
U_Michigan,Q4,metastatic_cancer_poa,0,categorical,41,135,0.303703704
U_Michigan,Q3,any_imv_icu,1,categorical,42,135,0.311111111
U_Michigan,Q2,metastatic_cancer_poa,0,categorical,42,135,0.311111111
U_Michigan,Q1,advanced_cancer_any_poa,0,categorical,43,136,0.316176471
U_Michigan,Q2,death_in_hosp,1,categorical,44,135,0.325925926
U_Michigan,Q2,device_t0,NASAL CANNULA,categorical,44,135,0.325925926
U_Michigan,Q1,any_imv_72h,1,categorical,45,136,0.330882353
