traj_cluster_ra,h,rs,n,prop
1,0,IMV,43,0.05224787363304982
1,0,LOW_O2,295,0.35844471445929527
1,0,NIV,40,0.04860267314702309
1,0,OTHER,2,0.002430133657351154
1,0,ROOM AIR,443,0.5382746051032807
1,1,IMV,42,0.05103280680437424
1,1,LOW_O2,289,0.3511543134872418
1,1,NIV,41,0.04981773997569866
1,1,OTHER,1,0.001215066828675577
1,1,ROOM AIR,450,0.5467800729040098
1,2,IMV,41,0.04981773997569866
1,2,LOW_O2,273,0.33171324422843257
1,2,NIV,38,0.046172539489671933
1,2,OTHER,1,0.001215066828675577
1,2,ROOM AIR,470,0.5710814094775213
1,3,IMV,43,0.05224787363304982
1,3,LOW_O2,269,0.3268529769137303
1,3,NIV,37,0.04495747266099635
1,3,OTHER,1,0.001215066828675577
1,3,ROOM AIR,473,0.574726609963548
1,4,IMV,45,0.054678007290400975
1,4,LOW_O2,263,0.3195625759416768
1,4,NIV,32,0.038882138517618466
1,4,OTHER,1,0.001215066828675577
1,4,ROOM AIR,482,0.5856622114216282
1,5,IMV,41,0.04981773997569866
1,5,LOW_O2,259,0.31470230862697446
1,5,NIV,34,0.041312272174969626
1,5,OTHER,1,0.001215066828675577
1,5,ROOM AIR,488,0.5929526123936817
1,6,IMV,40,0.04860267314702309
1,6,LOW_O2,252,0.30619684082624543
1,6,NIV,33,0.040097205346294046
1,6,OTHER,1,0.001215066828675577
1,6,ROOM AIR,497,0.6038882138517618
1,7,IMV,39,0.04738760631834751
1,7,LOW_O2,250,0.3037667071688943
1,7,NIV,33,0.040097205346294046
1,7,OTHER,1,0.001215066828675577
1,7,ROOM AIR,500,0.6075334143377886
1,8,IMV,40,0.04860267314702309
1,8,LOW_O2,238,0.2891859052247874
1,8,NIV,33,0.040097205346294046
1,8,OTHER,1,0.001215066828675577
1,8,ROOM AIR,511,0.6208991494532199
1,9,IMV,39,0.04738760631834751
1,9,LOW_O2,233,0.28311057108140947
1,9,NIV,31,0.03766707168894289
1,9,OTHER,1,0.001215066828675577
1,9,ROOM AIR,519,0.6306196840826246
1,10,IMV,38,0.046172539489671933
1,10,LOW_O2,229,0.2782503037667072
1,10,NIV,31,0.03766707168894289
1,10,OTHER,2,0.002430133657351154
1,10,ROOM AIR,523,0.6354799513973268
1,11,IMV,37,0.04495747266099635
1,11,LOW_O2,217,0.26366950182260024
1,11,NIV,30,0.03645200486026731
1,11,OTHER,1,0.001215066828675577
1,11,ROOM AIR,538,0.6537059538274606
1,12,IMV,34,0.041312272174969626
1,12,LOW_O2,214,0.2600243013365735
1,12,NIV,30,0.03645200486026731
1,12,OTHER,1,0.001215066828675577
1,12,ROOM AIR,544,0.660996354799514
1,13,IMV,31,0.03766707168894289
1,13,LOW_O2,211,0.25637910085054677
1,13,NIV,28,0.03402187120291616
1,13,OTHER,1,0.001215066828675577
1,13,ROOM AIR,552,0.6707168894289186
1,14,IMV,28,0.03402187120291616
1,14,LOW_O2,204,0.24787363304981774
1,14,NIV,26,0.031591737545565005
1,14,OTHER,1,0.001215066828675577
1,14,ROOM AIR,564,0.6852976913730255
1,15,IMV,28,0.03402187120291616
1,15,LOW_O2,188,0.22843256379100851
1,15,NIV,22,0.026731470230862697
1,15,OTHER,1,0.001215066828675577
1,15,ROOM AIR,584,0.7095990279465371
1,16,IMV,26,0.031591737545565005
1,16,LOW_O2,176,0.21385176184690158
1,16,NIV,19,0.023086269744835967
1,16,ROOM AIR,602,0.7314702308626975
1,17,IMV,25,0.030376670716889428
1,17,LOW_O2,164,0.19927095990279464
1,17,NIV,19,0.023086269744835967
1,17,ROOM AIR,615,0.74726609963548
1,18,IMV,22,0.026731470230862697
1,18,LOW_O2,162,0.1968408262454435
1,18,NIV,18,0.02187120291616039
1,18,ROOM AIR,621,0.7545565006075334
1,19,IMV,19,0.023086269744835967
1,19,LOW_O2,156,0.18955042527339003
1,19,NIV,16,0.019441069258809233
1,19,ROOM AIR,632,0.7679222357229648
1,20,IMV,17,0.020656136087484813
1,20,LOW_O2,153,0.1859052247873633
1,20,NIV,15,0.018226002430133656
1,20,ROOM AIR,638,0.7752126366950183
1,21,IMV,13,0.015795868772782502
1,21,LOW_O2,150,0.1822600243013366
1,21,NIV,14,0.01701093560145808
1,21,ROOM AIR,646,0.7849331713244229
1,22,IMV,13,0.015795868772782502
1,22,LOW_O2,154,0.18712029161603888
1,22,NIV,12,0.014580801944106925
1,22,ROOM AIR,644,0.7825030376670717
1,23,IMV,14,0.01701093560145808
1,23,LOW_O2,144,0.17496962332928312
1,23,NIV,14,0.01701093560145808
1,23,ROOM AIR,651,0.7910085054678008
1,24,IMV,13,0.015795868772782502
1,24,LOW_O2,142,0.17253948967193194
1,24,NIV,14,0.01701093560145808
1,24,ROOM AIR,654,0.7946537059538274
1,25,IMV,13,0.015795868772782502
1,25,LOW_O2,147,0.17861482381530985
1,25,NIV,14,0.01701093560145808
1,25,ROOM AIR,649,0.7885783718104495
1,26,IMV,13,0.015795868772782502
1,26,LOW_O2,146,0.17739975698663427
1,26,NIV,14,0.01701093560145808
1,26,OTHER,1,0.001215066828675577
1,26,ROOM AIR,649,0.7885783718104495
1,27,IMV,12,0.014580801944106925
1,27,LOW_O2,146,0.17739975698663427
1,27,NIV,15,0.018226002430133656
1,27,ROOM AIR,650,0.7897934386391251
1,28,IMV,12,0.014580801944106925
1,28,LOW_O2,144,0.17496962332928312
1,28,NIV,14,0.01701093560145808
1,28,ROOM AIR,653,0.7934386391251519
1,29,IMV,12,0.014580801944106925
1,29,LOW_O2,140,0.1701093560145808
1,29,NIV,13,0.015795868772782502
1,29,ROOM AIR,658,0.7995139732685298
1,30,IMV,12,0.014580801944106925
1,30,LOW_O2,135,0.16403402187120292
1,30,NIV,14,0.01701093560145808
1,30,ROOM AIR,662,0.804374240583232
1,31,IMV,12,0.014580801944106925
1,31,LOW_O2,134,0.16281895504252733
1,31,NIV,14,0.01701093560145808
1,31,ROOM AIR,663,0.8055893074119077
1,32,IMV,12,0.014580801944106925
1,32,LOW_O2,135,0.16403402187120292
1,32,NIV,13,0.015795868772782502
1,32,ROOM AIR,663,0.8055893074119077
1,33,IMV,11,0.013365735115431349
1,33,LOW_O2,137,0.16646415552855406
1,33,NIV,11,0.013365735115431349
1,33,ROOM AIR,664,0.8068043742405833
1,34,IMV,10,0.012150668286755772
1,34,LOW_O2,136,0.1652490886998785
1,34,NIV,10,0.012150668286755772
1,34,ROOM AIR,667,0.81044957472661
1,35,IMV,10,0.012150668286755772
1,35,LOW_O2,131,0.1591737545565006
1,35,NIV,9,0.010935601458080195
1,35,ROOM AIR,673,0.8177399756986634
1,36,IMV,10,0.012150668286755772
1,36,LOW_O2,129,0.15674362089914945
1,36,NIV,8,0.009720534629404616
1,36,ROOM AIR,676,0.8213851761846902
1,37,IMV,9,0.010935601458080195
1,37,LOW_O2,118,0.1433778857837181
1,37,NIV,6,0.007290400972053463
1,37,ROOM AIR,690,0.8383961117861483
1,38,IMV,9,0.010935601458080195
1,38,LOW_O2,117,0.1421628189550425
1,38,NIV,7,0.00850546780072904
1,38,ROOM AIR,690,0.8383961117861483
1,39,IMV,6,0.007290400972053463
1,39,LOW_O2,112,0.13608748481166463
1,39,NIV,6,0.007290400972053463
1,39,ROOM AIR,699,0.8493317132442284
1,40,IMV,6,0.007290400972053463
1,40,LOW_O2,103,0.12515188335358446
1,40,NIV,6,0.007290400972053463
1,40,ROOM AIR,708,0.8602673147023087
1,41,IMV,4,0.004860267314702308
1,41,LOW_O2,106,0.12879708383961117
1,41,NIV,5,0.006075334143377886
1,41,ROOM AIR,708,0.8602673147023087
1,42,IMV,3,0.0036452004860267314
1,42,LOW_O2,106,0.12879708383961117
1,42,NIV,8,0.009720534629404616
1,42,ROOM AIR,706,0.8578371810449574
1,43,IMV,2,0.002430133657351154
1,43,LOW_O2,101,0.1227217496962333
1,43,NIV,7,0.00850546780072904
1,43,ROOM AIR,713,0.8663426488456865
1,44,IMV,2,0.002430133657351154
1,44,LOW_O2,99,0.12029161603888214
1,44,NIV,4,0.004860267314702308
1,44,ROOM AIR,718,0.8724179829890644
1,45,IMV,2,0.002430133657351154
1,45,LOW_O2,89,0.10814094775212636
1,45,NIV,5,0.006075334143377886
1,45,ROOM AIR,727,0.8833535844471446
1,46,IMV,2,0.002430133657351154
1,46,LOW_O2,76,0.09234507897934387
1,46,NIV,3,0.0036452004860267314
1,46,ROOM AIR,742,0.9015795868772782
1,47,IMV,2,0.002430133657351154
1,47,LOW_O2,70,0.0850546780072904
1,47,NIV,1,0.001215066828675577
1,47,ROOM AIR,750,0.9113001215066828
1,48,IMV,2,0.002430133657351154
