traj_cluster_ra,h,arf,n,prop
1,0,ARF_HYPER,2,0.011299435028248588
1,0,ARF_HYPOX,1,0.005649717514124294
1,0,NO_ARF,174,0.9830508474576272
1,1,ARF_HYPER,2,0.011299435028248588
1,1,ARF_HYPOX,2,0.011299435028248588
1,1,NO_ARF,173,0.9774011299435028
1,2,ARF_HYPER,2,0.011299435028248588
1,2,ARF_HYPOX,2,0.011299435028248588
1,2,NO_ARF,173,0.9774011299435028
1,3,ARF_HYPER,2,0.011299435028248588
1,3,ARF_HYPOX,3,0.01694915254237288
1,3,NO_ARF,172,0.9717514124293786
1,4,ARF_HYPER,2,0.011299435028248588
1,4,ARF_HYPOX,3,0.01694915254237288
1,4,NO_ARF,172,0.9717514124293786
1,5,ARF_HYPER,2,0.011299435028248588
1,5,ARF_HYPOX,3,0.01694915254237288
1,5,NO_ARF,172,0.9717514124293786
1,6,ARF_HYPER,2,0.011299435028248588
1,6,ARF_HYPOX,3,0.01694915254237288
1,6,NO_ARF,172,0.9717514124293786
1,7,ARF_HYPER,2,0.011299435028248588
1,7,ARF_HYPOX,3,0.01694915254237288
1,7,NO_ARF,172,0.9717514124293786
1,8,ARF_HYPER,2,0.011299435028248588
1,8,ARF_HYPOX,1,0.005649717514124294
1,8,NO_ARF,174,0.9830508474576272
1,9,ARF_HYPER,2,0.011299435028248588
1,9,ARF_HYPOX,1,0.005649717514124294
1,9,NO_ARF,174,0.9830508474576272
1,10,ARF_HYPER,3,0.01694915254237288
1,10,NO_ARF,174,0.9830508474576272
1,11,ARF_HYPER,3,0.01694915254237288
1,11,NO_ARF,174,0.9830508474576272
1,12,ARF_HYPER,3,0.01694915254237288
1,12,ARF_MIXED,1,0.005649717514124294
1,12,NO_ARF,173,0.9774011299435028
1,13,ARF_HYPER,2,0.011299435028248588
1,13,ARF_HYPOX,1,0.005649717514124294
1,13,ARF_MIXED,1,0.005649717514124294
1,13,NO_ARF,173,0.9774011299435028
1,14,ARF_HYPER,3,0.01694915254237288
1,14,ARF_HYPOX,1,0.005649717514124294
1,14,ARF_MIXED,1,0.005649717514124294
1,14,NO_ARF,172,0.9717514124293786
1,15,ARF_HYPER,3,0.01694915254237288
1,15,ARF_HYPOX,1,0.005649717514124294
1,15,ARF_MIXED,1,0.005649717514124294
1,15,NO_ARF,172,0.9717514124293786
1,16,ARF_HYPER,3,0.01694915254237288
1,16,ARF_HYPOX,2,0.011299435028248588
