site_name,device_t0,traj_cluster_ra,n,device_total
ohsu,CPAP,1,2,3
ohsu,CPAP,2,1,3
ohsu,FACE MASK,1,4,15
ohsu,FACE MASK,2,10,15
ohsu,FACE MASK,4,1,15
ohsu,HIGH FLOW NC,1,4,23
ohsu,HIGH FLOW NC,2,6,23
ohsu,HIGH FLOW NC,3,9,23
ohsu,HIGH FLOW NC,4,4,23
ohsu,IMV,1,6,28
ohsu,IMV,2,10,28
ohsu,IMV,3,3,28
ohsu,IMV,4,9,28
ohsu,NASAL CANNULA,1,46,129
ohsu,NASAL CANNULA,2,79,129
ohsu,NASAL CANNULA,3,3,129
ohsu,NASAL CANNULA,4,1,129
ohsu,NIPPV,2,6,8
ohsu,NIPPV,3,2,8
ohsu,ROOM AIR,1,103,116
ohsu,ROOM AIR,2,12,116
ohsu,ROOM AIR,4,1,116
ohsu,TRACH COLLAR,1,1,4
ohsu,TRACH COLLAR,2,3,4
ohsu,UNK,1,1,22
ohsu,UNK,2,7,22
ohsu,UNK,3,3,22
ohsu,UNK,4,11,22
ohsu,Unknown / missing,1,10,17
ohsu,Unknown / missing,2,7,17
