site_name,stratum,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75
ohsu,1,age_years,NA,continuous,177,67.31638418079096,11.327832398635076,68,60,75
ohsu,2,age_years,NA,continuous,141,69.1063829787234,9.873269922703692,69,63,76
ohsu,3,age_years,NA,continuous,20,69.5,8.319286406645073,68.5,64.25,76
ohsu,4,age_years,NA,continuous,27,69.55555555555556,11.178046249176013,73,64,77
ohsu,NA,age_years,NA,continuous,9,70.88888888888889,3.8224483137265715,72,69,74
ohsu,1,icu_los_hours,NA,continuous,177,80.2093220338983,221.0981023891732,43.15,22.483333333333334,77.25
ohsu,2,icu_los_hours,NA,continuous,141,132.14125295508273,339.7117686455328,56.86666666666667,30.05,99.13333333333334
ohsu,3,icu_los_hours,NA,continuous,20,124.79333333333334,126.58553327263795,80.07499999999999,43.67083333333333,162.27916666666667
ohsu,4,icu_los_hours,NA,continuous,27,249.87716049382715,250.88955772232873,163.6,61.349999999999994,314.89166666666665
ohsu,NA,icu_los_hours,NA,continuous,9,10.225925925925926,10.248570737448897,8.033333333333333,3.716666666666667,14
ohsu,1,imv_hours_icu,NA,continuous,177,0.7966101694915254,4.555639590674757,0,0,0
ohsu,2,imv_hours_icu,NA,continuous,141,8.390070921985815,66.87566000204573,0,0,0
ohsu,3,imv_hours_icu,NA,continuous,20,13.9,36.088925258530345,0,0,4
ohsu,4,imv_hours_icu,NA,continuous,27,68.37037037037037,75.83288719695948,43,24,91
ohsu,NA,imv_hours_icu,NA,continuous,9,0,0,0,0,0
ohsu,1,imv_hours_72h,NA,continuous,177,0.327683615819209,1.7336809733956602,0,0,0
ohsu,2,imv_hours_72h,NA,continuous,141,0.5602836879432624,1.9433725998386016,0,0,0
ohsu,3,imv_hours_72h,NA,continuous,20,3.45,6.43571449433795,0,0,4
ohsu,4,imv_hours_72h,NA,continuous,27,28.555555555555557,12.81625570345763,33,18.5,39.5
ohsu,NA,imv_hours_72h,NA,continuous,9,0,0,0,0,0
ohsu,1,escalations_icu,NA,continuous,177,1.0225988700564972,2.8622837398655494,0,0,1
ohsu,2,escalations_icu,NA,continuous,141,2.368794326241135,4.873267234204131,1,0,2
ohsu,3,escalations_icu,NA,continuous,20,1.65,2.3004576203785834,1,0,2.25
ohsu,4,escalations_icu,NA,continuous,27,2.037037037037037,2.5940980570026126,1,0,2.5
ohsu,NA,escalations_icu,NA,continuous,9,0,0,0,0,0
ohsu,1,deescalations_icu,NA,continuous,177,1.3502824858757063,2.56094186095719,1,0,2
ohsu,2,deescalations_icu,NA,continuous,141,2.5673758865248226,4.764908880164607,1,0,3
ohsu,3,deescalations_icu,NA,continuous,20,2.15,2.4553914898486253,1,0,2.75
ohsu,4,deescalations_icu,NA,continuous,27,2.4074074074074074,2.7069605330767805,2,0,3.5
ohsu,NA,deescalations_icu,NA,continuous,9,0,0,0,0,0
ohsu,1,vaso_hours_72h,NA,continuous,177,2.92090395480226,10.406753886344683,0,0,0
ohsu,2,vaso_hours_72h,NA,continuous,141,2.0354609929078014,5.40953040940277,0,0,0
ohsu,3,vaso_hours_72h,NA,continuous,20,6.35,13.573484213134465,0,0,2.5
ohsu,4,vaso_hours_72h,NA,continuous,27,29.74074074074074,22.018510731082944,26,12,43
ohsu,NA,vaso_hours_72h,NA,continuous,9,1.3333333333333333,3.0413812651491097,0,0,0
ohsu,1,vaso_mean_72h,NA,continuous,177,0.2033898305084746,0.4036619739511955,0,0,0
ohsu,2,vaso_mean_72h,NA,continuous,141,0.23404255319148937,0.4249083577219988,0,0,0
ohsu,3,vaso_mean_72h,NA,continuous,20,0.3,0.47016234598162726,0,0,1
ohsu,4,vaso_mean_72h,NA,continuous,27,0.8148148148148148,0.3958473906635696,1,1,1
ohsu,NA,vaso_mean_72h,NA,continuous,9,0.2222222222222222,0.44095855184409843,0,0,0
ohsu,1,pm25_1y,NA,continuous,176,6.762466455047781,3.170083900427262,6.052175760269165,5.292544603347778,7.046810626983643
ohsu,2,pm25_1y,NA,continuous,141,6.213524786293084,2.2895384873118987,5.791390895843506,5.094876289367676,6.655899524688721
ohsu,3,pm25_1y,NA,continuous,20,7.4056285381317135,6.028055518542743,5.714118480682373,5.2166982889175415,6.655899524688721
ohsu,4,pm25_1y,NA,continuous,27,6.375729702137135,1.6394738720102346,6.493312835693359,4.9833409786224365,7.013259410858154
ohsu,NA,pm25_1y,NA,continuous,9,6.357340918646918,2.624743303009466,5.398346424102783,5.398346424102783,6.177045822143555
ohsu,1,pm25_3y,NA,continuous,176,6.438910015360926,1.6162564014719416,6.045353730519612,5.491575783127991,6.862686207018161
ohsu,2,pm25_3y,NA,continuous,141,6.063688798910689,1.4681206819904644,5.861225932390438,5.275628964106242,6.472276210784912
ohsu,3,pm25_3y,NA,continuous,20,6.7785360728301125,2.188460734066325,6.454138777190497,5.396295477177536,7.398980935414632
ohsu,4,pm25_3y,NA,continuous,27,6.342915366299622,1.9283490577677411,6.013559977213542,5.090868592262268,6.945697448879955
ohsu,NA,pm25_3y,NA,continuous,9,6.097245691950101,0.9893529439468911,5.829994518241003,5.351332823435466,6.371623155757638
ohsu,1,pm25_5y,NA,continuous,176,6.297021398858399,1.2992580281426398,5.954529515286951,5.368302156310315,7.179930591583252
