site_name,stratum,variable,level,summary_type,n,denom,prop
ohsu,Q1,sex_category,Female,categorical,47,94,0.5
ohsu,Q1,sex_category,Male,categorical,47,94,0.5
ohsu,Q2,sex_category,Female,categorical,46,93,0.4946236559139785
ohsu,Q2,sex_category,Male,categorical,47,93,0.5053763440860215
ohsu,Q3,sex_category,Female,categorical,46,93,0.4946236559139785
ohsu,Q3,sex_category,Male,categorical,47,93,0.5053763440860215
ohsu,Q4,sex_category,Female,categorical,40,93,0.43010752688172044
ohsu,Q4,sex_category,Male,categorical,53,93,0.5698924731182796
ohsu,NA,sex_category,Female,categorical,1,1,1
ohsu,Q1,race_category,American Indian or Alaska Native,categorical,2,94,0.02127659574468085
ohsu,Q1,race_category,Asian,categorical,1,94,0.010638297872340425
ohsu,Q1,race_category,Black or African American,categorical,1,94,0.010638297872340425
ohsu,Q1,race_category,Other,categorical,1,94,0.010638297872340425
ohsu,Q1,race_category,Unknown,categorical,4,94,0.0425531914893617
ohsu,Q1,race_category,White,categorical,85,94,0.9042553191489362
ohsu,Q2,race_category,American Indian or Alaska Native,categorical,2,93,0.021505376344086023
ohsu,Q2,race_category,Other,categorical,1,93,0.010752688172043012
ohsu,Q2,race_category,Unknown,categorical,2,93,0.021505376344086023
ohsu,Q2,race_category,White,categorical,88,93,0.946236559139785
ohsu,Q3,race_category,American Indian or Alaska Native,categorical,2,93,0.021505376344086023
ohsu,Q3,race_category,Asian,categorical,6,93,0.06451612903225806
ohsu,Q3,race_category,Black or African American,categorical,4,93,0.043010752688172046
ohsu,Q3,race_category,Unknown,categorical,5,93,0.053763440860215055
ohsu,Q3,race_category,White,categorical,76,93,0.8172043010752689
ohsu,Q4,race_category,Asian,categorical,7,93,0.07526881720430108
ohsu,Q4,race_category,Black or African American,categorical,4,93,0.043010752688172046
ohsu,Q4,race_category,Other,categorical,1,93,0.010752688172043012
ohsu,Q4,race_category,Unknown,categorical,3,93,0.03225806451612903
ohsu,Q4,race_category,White,categorical,78,93,0.8387096774193549
ohsu,NA,race_category,Asian,categorical,1,1,1
ohsu,Q1,ethnicity_category,Non-Hispanic,categorical,89,94,0.9468085106382979
ohsu,Q1,ethnicity_category,Unknown,categorical,5,94,0.05319148936170213
ohsu,Q2,ethnicity_category,Hispanic,categorical,1,93,0.010752688172043012
