site_name,stratum,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75
ohsu,Q1,age_years,NA,continuous,94,68.82978723404256,9.795366797978115,70,62,75.75
ohsu,Q2,age_years,NA,continuous,93,70.61290322580645,8.853925999809247,71,65,76
ohsu,Q3,age_years,NA,continuous,93,68.13978494623656,10.767898545384051,69,63,75
ohsu,Q4,age_years,NA,continuous,93,65.66666666666667,11.92670854894988,65,59,75
ohsu,NA,age_years,NA,continuous,1,84,NA,84,84,84
ohsu,Q1,icu_los_hours,NA,continuous,94,107.4258865248227,126.66293806097299,63.56666666666666,33.795833333333334,111.69583333333334
ohsu,Q2,icu_los_hours,NA,continuous,93,105.42204301075269,160.3152574658329,53.13333333333333,23.733333333333334,111.15
ohsu,Q3,icu_los_hours,NA,continuous,93,146.62401433691755,492.04498558663954,45.88333333333333,22.283333333333335,70.2
ohsu,Q4,icu_los_hours,NA,continuous,93,92.5163082437276,116.862472796785,46.25,21.883333333333333,115.75
ohsu,NA,icu_los_hours,NA,continuous,1,21.216666666666665,NA,21.216666666666665,21.216666666666665,21.216666666666665
ohsu,Q1,imv_hours_icu,NA,continuous,94,10.074468085106384,29.669592472023602,0,0,0
ohsu,Q2,imv_hours_icu,NA,continuous,93,8.946236559139784,41.35013947492324,0,0,0
ohsu,Q3,imv_hours_icu,NA,continuous,93,11.591397849462366,82.28915568038109,0,0,0
ohsu,Q4,imv_hours_icu,NA,continuous,93,6.354838709677419,23.02486612399843,0,0,0
ohsu,NA,imv_hours_icu,NA,continuous,1,0,NA,0,0,0
ohsu,Q1,imv_hours_72h,NA,continuous,94,4.0212765957446805,10.577902228565017,0,0,0
ohsu,Q2,imv_hours_72h,NA,continuous,93,3.10752688172043,8.880195803745348,0,0,0
ohsu,Q3,imv_hours_72h,NA,continuous,93,0.7741935483870968,4.240408697125028,0,0,0
ohsu,Q4,imv_hours_72h,NA,continuous,93,2.5591397849462365,8.099197981753445,0,0,0
ohsu,NA,imv_hours_72h,NA,continuous,1,0,NA,0,0,0
ohsu,Q1,escalations_icu,NA,continuous,94,1.4148936170212767,2.78015074422305,0,0,2
ohsu,Q2,escalations_icu,NA,continuous,93,1.6129032258064515,2.5282416043760882,1,0,2
ohsu,Q3,escalations_icu,NA,continuous,93,1.8064516129032258,5.576070894448514,0,0,1
ohsu,Q4,escalations_icu,NA,continuous,93,1.6344086021505377,3.3550252582362865,0,0,2
ohsu,NA,escalations_icu,NA,continuous,1,0,NA,0,0,0
ohsu,Q1,deescalations_icu,NA,continuous,94,1.797872340425532,2.9056111352948286,1,0,2
ohsu,Q2,deescalations_icu,NA,continuous,93,1.913978494623656,2.539496329634706,1,0,2
ohsu,Q3,deescalations_icu,NA,continuous,93,2,5.094754335503374,1,0,2
ohsu,Q4,deescalations_icu,NA,continuous,93,1.881720430107527,3.3389970583655395,1,0,2
ohsu,NA,deescalations_icu,NA,continuous,1,1,NA,1,1,1
ohsu,Q1,vaso_hours_72h,NA,continuous,94,5.48936170212766,11.931475209020205,0,0,2
ohsu,Q2,vaso_hours_72h,NA,continuous,93,6.505376344086022,15.941894257580216,0,0,2
ohsu,Q3,vaso_hours_72h,NA,continuous,93,2.5806451612903225,9.108432047386165,0,0,0
ohsu,Q4,vaso_hours_72h,NA,continuous,93,4.139784946236559,11.841885313552742,0,0,1
ohsu,NA,vaso_hours_72h,NA,continuous,1,0,NA,0,0,0
ohsu,Q1,vaso_mean_72h,NA,continuous,94,0.2872340425531915,0.4548978480516001,0,0,1
ohsu,Q2,vaso_mean_72h,NA,continuous,93,0.3118279569892473,0.4657507876176195,0,0,1
ohsu,Q3,vaso_mean_72h,NA,continuous,93,0.20430107526881722,0.40537529002111217,0,0,0
ohsu,Q4,vaso_mean_72h,NA,continuous,93,0.25806451612903225,0.43994134506405985,0,0,1
ohsu,NA,vaso_mean_72h,NA,continuous,1,0,NA,0,0,0
ohsu,Q1,pm25_1y,NA,continuous,94,5.951379717664516,2.1598990081958895,5.482874870300293,4.479381084442139,7.223108410835266
ohsu,Q2,pm25_1y,NA,continuous,93,7.5715942485358125,5.22712058693671,5.946847915649414,5.012332916259766,6.52778434753418
ohsu,Q3,pm25_1y,NA,continuous,93,5.856061284260083,1.031903998758776,5.398346424102783,5.094876289367676,6.13651704788208
ohsu,Q4,pm25_1y,NA,continuous,93,6.834115848746351,1.1377277491309807,6.655899524688721,6.636440277099609,6.805980682373047
ohsu,NA,pm25_1y,NA,continuous,0,NA,NA,NA,NA,NA
ohsu,Q1,pm25_3y,NA,continuous,94,5.9011289984682165,1.5854319385707543,5.883064502728707,4.473909365780213,6.595262050628662
ohsu,Q2,pm25_3y,NA,continuous,93,6.660742364777426,2.562988990845621,5.830410448681925,5.189032304784371,6.671984990437825
ohsu,Q3,pm25_3y,NA,continuous,93,5.812520066175279,0.43459140027399656,5.8328544182681,5.351332823435466,6.045353730519612
ohsu,Q4,pm25_3y,NA,continuous,93,6.8302516020382695,0.658521360003422,6.786203225453694,6.4360013435960814,7.398980935414632
ohsu,NA,pm25_3y,NA,continuous,0,NA,NA,NA,NA,NA
ohsu,Q1,pm25_5y,NA,continuous,94,5.800223580115951,1.3682045099565485,5.314354519685404,4.7364819049835205,7.095083236694336
ohsu,Q2,pm25_5y,NA,continuous,93,6.578339867346244,2.0073219324696243,5.692834377288818,5.24731969833374,7.532514141138375
ohsu,Q3,pm25_5y,NA,continuous,93,5.724651381294186,0.31453942053992756,5.725856781005859,5.368302156310315,5.954529515286951
ohsu,Q4,pm25_5y,NA,continuous,93,6.766075092981965,0.686395095481763,7.179930591583252,6.4547381295776365,7.183822441101074
ohsu,NA,pm25_5y,NA,continuous,0,NA,NA,NA,NA,NA
ohsu,Q1,no2_1y,NA,continuous,94,1.380552109264245,0.24516928711643257,1.443779468536377,1.1719035756398588,1.5543643236160278
ohsu,Q2,no2_1y,NA,continuous,93,2.218757784960778,0.39399582183655796,2.2893693447113037,2.0347763355950614,2.425139904022217
ohsu,Q3,no2_1y,NA,continuous,93,3.3089738240610167,0.21743517979760818,3.330648122334857,3.1445605754852295,3.488668918609619
ohsu,Q4,no2_1y,NA,continuous,93,4.814247111801029,0.3680764438395984,4.817537307739258,4.653800964355469,5.094664096832275
ohsu,NA,no2_1y,NA,continuous,0,NA,NA,NA,NA,NA
ohsu,Q1,no2_3y,NA,continuous,94,1.3826611665805066,0.2543557027259394,1.4345781405766804,1.1491230522293496,1.5887709458669026
ohsu,Q2,no2_3y,NA,continuous,93,2.3038180383647457,0.3628225001912367,2.388016582645615,2.134662598539915,2.461852550506592
ohsu,Q3,no2_3y,NA,continuous,93,3.473076966000405,0.2332281929922791,3.409647843313004,3.2639783223470054,3.748076024833635
ohsu,Q4,no2_3y,NA,continuous,93,4.958028860075769,0.38374634317937095,4.928042570749919,4.859439531962077,5.061285180810437
ohsu,NA,no2_3y,NA,continuous,0,NA,NA,NA,NA,NA
ohsu,Q1,no2_5y,NA,continuous,94,1.3943105145535784,0.27339044739052676,1.4768949031829834,1.1339731646781515,1.6214273227312463
ohsu,Q2,no2_5y,NA,continuous,93,2.3534429109890778,0.32345490247446884,2.4168988705158294,2.2374003465647796,2.440424357206915
ohsu,Q3,no2_5y,NA,continuous,93,3.5884571670909997,0.27394271024352507,3.5695552825927734,3.2863760471343992,3.8368302277667246
ohsu,Q4,no2_5y,NA,continuous,93,5.078458457008759,0.43042369452790163,5.052870752193537,4.851093196868897,5.30783500883711
ohsu,NA,no2_5y,NA,continuous,0,NA,NA,NA,NA,NA
ohsu,Q1,charlson_score,NA,continuous,94,7.670212765957447,3.187301072425837,8.5,4,10
ohsu,Q2,charlson_score,NA,continuous,93,7.559139784946237,2.9944236782777396,8,5,10
ohsu,Q3,charlson_score,NA,continuous,93,6.78494623655914,3.109765342627721,8,3,9
ohsu,Q4,charlson_score,NA,continuous,93,7.881720430107527,3.900528008754465,8,4,10
ohsu,NA,charlson_score,NA,continuous,1,8,NA,8,8,8
ohsu,Q1,sofa_total,NA,continuous,94,3.6914893617021276,3.26607388437022,3,1.25,5
ohsu,Q2,sofa_total,NA,continuous,93,3.774193548387097,3.4519340270852843,3,1,5
ohsu,Q3,sofa_total,NA,continuous,93,2.78494623655914,2.5785463648679516,2,1,4
ohsu,Q4,sofa_total,NA,continuous,93,3.817204301075269,3.4005953332984014,3,1,5
ohsu,NA,sofa_total,NA,continuous,1,1,NA,1,1,1
ohsu,Q1,sofa_resp,NA,continuous,94,1.148936170212766,1.3674986725908962,0,0,2
ohsu,Q2,sofa_resp,NA,continuous,93,0.9354838709677419,1.249403784879736,0,0,2
ohsu,Q3,sofa_resp,NA,continuous,93,0.7526881720430108,1.1670840100391289,0,0,2
ohsu,Q4,sofa_resp,NA,continuous,93,1.2580645161290323,1.34247683006847,1,0,2
ohsu,NA,sofa_resp,NA,continuous,1,0,NA,0,0,0
ohsu,Q1,sofa_cv,NA,continuous,94,1.148936170212766,1.2525882606509846,1,0,1
ohsu,Q2,sofa_cv,NA,continuous,93,1.10752688172043,1.2808146659484536,1,0,1
ohsu,Q3,sofa_cv,NA,continuous,93,0.989247311827957,1.1467783195801182,1,0,1
ohsu,Q4,sofa_cv,NA,continuous,93,1.064516129032258,1.2921708361690114,1,0,1
ohsu,NA,sofa_cv,NA,continuous,1,1,NA,1,1,1
ohsu,Q1,sofa_renal,NA,continuous,94,0.3723404255319149,0.8162864054776111,0,0,0
ohsu,Q2,sofa_renal,NA,continuous,93,0.44086021505376344,0.8529025326775501,0,0,1
ohsu,Q3,sofa_renal,NA,continuous,93,0.3010752688172043,0.6390370853455516,0,0,0
ohsu,Q4,sofa_renal,NA,continuous,93,0.2903225806451613,0.6849412091764158,0,0,0
ohsu,NA,sofa_renal,NA,continuous,1,0,NA,0,0,0
ohsu,Q1,sofa_liver,NA,continuous,94,0.0851063829787234,0.3165531591051725,0,0,0
ohsu,Q2,sofa_liver,NA,continuous,93,0.0967741935483871,0.36309407479725575,0,0,0
ohsu,Q3,sofa_liver,NA,continuous,93,0.06451612903225806,0.43754382669682923,0,0,0
ohsu,Q4,sofa_liver,NA,continuous,93,0.12903225806451613,0.5753223378475474,0,0,0
ohsu,NA,sofa_liver,NA,continuous,1,0,NA,0,0,0
ohsu,Q1,sofa_coag,NA,continuous,94,0.26595744680851063,0.6251972921276401,0,0,0
ohsu,Q2,sofa_coag,NA,continuous,93,0.3333333333333333,0.6967835003620648,0,0,0
ohsu,Q3,sofa_coag,NA,continuous,93,0.16129032258064516,0.51689546880022,0,0,0
ohsu,Q4,sofa_coag,NA,continuous,93,0.22580645161290322,0.4918693768379647,0,0,0
ohsu,NA,sofa_coag,NA,continuous,1,0,NA,0,0,0
ohsu,Q1,sofa_cns,NA,continuous,94,0.6702127659574468,1.0614283121204002,0,0,1
ohsu,Q2,sofa_cns,NA,continuous,93,0.8602150537634409,1.2299823067785618,0,0,1
ohsu,Q3,sofa_cns,NA,continuous,93,0.5161290322580645,1.0066399471358691,0,0,1
ohsu,Q4,sofa_cns,NA,continuous,93,0.8494623655913979,1.2592806483408088,0,0,1
ohsu,NA,sofa_cns,NA,continuous,1,0,NA,0,0,0
