traj_cluster_ra,h,arf,n,prop
1,0,ARF_HYPER,14,0.011864406779661017
1,0,ARF_HYPOX,7,0.005932203389830509
1,0,ARF_MIXED,4,0.003389830508474576
1,0,NO_ARF,1155,0.9788135593220338
1,1,ARF_HYPER,16,0.013559322033898305
1,1,ARF_HYPOX,13,0.011016949152542373
1,1,ARF_MIXED,6,0.005084745762711864
1,1,NO_ARF,1145,0.9703389830508474
1,2,ARF_HYPER,17,0.01440677966101695
1,2,ARF_HYPOX,13,0.011016949152542373
1,2,ARF_MIXED,7,0.005932203389830509
1,2,NO_ARF,1143,0.9686440677966102
1,3,ARF_HYPER,17,0.01440677966101695
1,3,ARF_HYPOX,14,0.011864406779661017
1,3,ARF_MIXED,8,0.006779661016949152
1,3,NO_ARF,1141,0.9669491525423729
1,4,ARF_HYPER,18,0.015254237288135594
1,4,ARF_HYPOX,12,0.010169491525423728
1,4,ARF_MIXED,11,0.009322033898305085
1,4,NO_ARF,1139,0.9652542372881356
1,5,ARF_HYPER,17,0.01440677966101695
1,5,ARF_HYPOX,12,0.010169491525423728
1,5,ARF_MIXED,12,0.010169491525423728
1,5,NO_ARF,1139,0.9652542372881356
1,6,ARF_HYPER,18,0.015254237288135594
1,6,ARF_HYPOX,12,0.010169491525423728
1,6,ARF_MIXED,12,0.010169491525423728
1,6,NO_ARF,1138,0.964406779661017
1,7,ARF_HYPER,8,0.006779661016949152
1,7,ARF_HYPOX,10,0.00847457627118644
1,7,ARF_MIXED,8,0.006779661016949152
1,7,NO_ARF,1154,0.9779661016949153
1,8,ARF_HYPER,8,0.006779661016949152
1,8,ARF_HYPOX,7,0.005932203389830509
1,8,ARF_MIXED,7,0.005932203389830509
1,8,NO_ARF,1158,0.9813559322033898
1,9,ARF_HYPER,8,0.006779661016949152
1,9,ARF_HYPOX,7,0.005932203389830509
1,9,ARF_MIXED,6,0.005084745762711864
1,9,NO_ARF,1159,0.9822033898305085
1,10,ARF_HYPER,7,0.005932203389830509
1,10,ARF_HYPOX,7,0.005932203389830509
1,10,ARF_MIXED,5,0.00423728813559322
1,10,NO_ARF,1161,0.9838983050847457
1,11,ARF_HYPER,4,0.003389830508474576
1,11,ARF_HYPOX,9,0.007627118644067797
1,11,ARF_MIXED,3,0.002542372881355932
1,11,NO_ARF,1164,0.9864406779661017
1,12,ARF_HYPER,4,0.003389830508474576
1,12,ARF_HYPOX,6,0.005084745762711864
1,12,ARF_MIXED,3,0.002542372881355932
1,12,NO_ARF,1167,0.9889830508474576
1,13,ARF_HYPER,4,0.003389830508474576
1,13,ARF_HYPOX,5,0.00423728813559322
1,13,ARF_MIXED,3,0.002542372881355932
1,13,NO_ARF,1168,0.9898305084745763
1,14,ARF_HYPER,4,0.003389830508474576
1,14,ARF_HYPOX,3,0.002542372881355932
1,14,ARF_MIXED,3,0.002542372881355932
1,14,NO_ARF,1170,0.9915254237288136
1,15,ARF_HYPER,3,0.002542372881355932
1,15,ARF_HYPOX,4,0.003389830508474576
1,15,ARF_MIXED,2,0.001694915254237288
1,15,NO_ARF,1171,0.9923728813559322
1,16,ARF_HYPER,2,0.001694915254237288
1,16,ARF_HYPOX,3,0.002542372881355932
1,16,ARF_MIXED,2,0.001694915254237288
1,16,NO_ARF,1173,0.9940677966101695
1,17,ARF_HYPER,1,8.47457627118644e-4
1,17,ARF_HYPOX,3,0.002542372881355932
1,17,ARF_MIXED,1,8.47457627118644e-4
1,17,NO_ARF,1175,0.9957627118644068
1,18,ARF_HYPER,1,8.47457627118644e-4
1,18,ARF_HYPOX,4,0.003389830508474576
1,18,ARF_MIXED,1,8.47457627118644e-4
1,18,NO_ARF,1174,0.9949152542372881
1,19,ARF_HYPER,1,8.47457627118644e-4
1,19,ARF_HYPOX,4,0.003389830508474576
1,19,ARF_MIXED,1,8.47457627118644e-4
1,19,NO_ARF,1174,0.9949152542372881
1,20,ARF_HYPER,1,8.47457627118644e-4
1,20,ARF_HYPOX,4,0.003389830508474576
1,20,ARF_MIXED,1,8.47457627118644e-4
1,20,NO_ARF,1174,0.9949152542372881
1,21,ARF_HYPER,2,0.001694915254237288
1,21,ARF_HYPOX,4,0.003389830508474576
1,21,ARF_MIXED,1,8.47457627118644e-4
1,21,NO_ARF,1173,0.9940677966101695
1,22,ARF_HYPER,2,0.001694915254237288
1,22,ARF_HYPOX,3,0.002542372881355932
1,22,ARF_MIXED,1,8.47457627118644e-4
1,22,NO_ARF,1174,0.9949152542372881
1,23,ARF_HYPOX,3,0.002542372881355932
1,23,ARF_MIXED,2,0.001694915254237288
1,23,NO_ARF,1175,0.9957627118644068
1,24,ARF_HYPOX,3,0.002542372881355932
1,24,ARF_MIXED,1,8.47457627118644e-4
1,24,NO_ARF,1176,0.9966101694915255
