traj_cluster_ra,h,arf,n,prop
1,0,ARF_HYPER,1,0.004098360655737705
1,0,ARF_MIXED,1,0.004098360655737705
1,0,NO_ARF,242,0.9918032786885246
1,1,ARF_HYPER,1,0.004098360655737705
1,1,ARF_MIXED,1,0.004098360655737705
1,1,NO_ARF,242,0.9918032786885246
1,2,ARF_HYPER,1,0.004098360655737705
1,2,ARF_MIXED,1,0.004098360655737705
1,2,NO_ARF,242,0.9918032786885246
1,3,ARF_HYPER,1,0.004098360655737705
1,3,ARF_MIXED,1,0.004098360655737705
1,3,NO_ARF,242,0.9918032786885246
1,4,ARF_HYPER,2,0.00819672131147541
1,4,ARF_MIXED,1,0.004098360655737705
1,4,NO_ARF,241,0.9877049180327869
1,5,ARF_HYPER,2,0.00819672131147541
1,5,ARF_MIXED,1,0.004098360655737705
1,5,NO_ARF,241,0.9877049180327869
1,6,ARF_HYPER,2,0.00819672131147541
1,6,ARF_MIXED,1,0.004098360655737705
1,6,NO_ARF,241,0.9877049180327869
1,7,ARF_HYPER,1,0.004098360655737705
1,7,NO_ARF,243,0.9959016393442623
1,8,ARF_HYPER,1,0.004098360655737705
1,8,NO_ARF,243,0.9959016393442623
1,9,ARF_HYPER,1,0.004098360655737705
1,9,NO_ARF,243,0.9959016393442623
1,10,ARF_HYPER,2,0.00819672131147541
1,10,NO_ARF,242,0.9918032786885246
1,11,ARF_HYPER,1,0.004098360655737705
1,11,NO_ARF,243,0.9959016393442623
1,12,ARF_HYPER,1,0.004098360655737705
1,12,NO_ARF,243,0.9959016393442623
1,13,ARF_HYPER,2,0.00819672131147541
1,13,NO_ARF,242,0.9918032786885246
1,14,ARF_HYPER,2,0.00819672131147541
1,14,NO_ARF,242,0.9918032786885246
1,15,ARF_HYPER,2,0.00819672131147541
1,15,NO_ARF,242,0.9918032786885246
1,16,ARF_HYPER,2,0.00819672131147541
1,16,NO_ARF,242,0.9918032786885246
1,17,ARF_HYPER,1,0.004098360655737705
1,17,NO_ARF,243,0.9959016393442623
1,18,ARF_HYPER,1,0.004098360655737705
1,18,NO_ARF,243,0.9959016393442623
1,19,ARF_HYPER,1,0.004098360655737705
1,19,NO_ARF,243,0.9959016393442623
1,20,NO_ARF,244,1
1,21,NO_ARF,244,1
1,22,NO_ARF,244,1
1,23,NO_ARF,244,1
1,24,NO_ARF,244,1
1,25,NO_ARF,244,1
1,26,NO_ARF,244,1
1,27,NO_ARF,244,1
1,28,NO_ARF,244,1
1,29,NO_ARF,244,1
1,30,NO_ARF,244,1
1,31,NO_ARF,244,1
1,32,NO_ARF,244,1
1,33,NO_ARF,244,1
1,34,NO_ARF,244,1
1,35,NO_ARF,244,1
1,36,NO_ARF,244,1
1,37,NO_ARF,244,1
1,38,NO_ARF,244,1
1,39,NO_ARF,244,1
1,40,NO_ARF,244,1
1,41,NO_ARF,244,1
1,42,NO_ARF,244,1
1,43,NO_ARF,244,1
1,44,NO_ARF,244,1
1,45,NO_ARF,244,1
1,46,NO_ARF,244,1
1,47,NO_ARF,244,1
1,48,NO_ARF,244,1
1,49,NO_ARF,244,1
1,50,NO_ARF,244,1
1,51,NO_ARF,244,1
1,52,NO_ARF,244,1
1,53,NO_ARF,244,1
1,54,NO_ARF,244,1
1,55,NO_ARF,244,1
1,56,NO_ARF,244,1
1,57,NO_ARF,244,1
1,58,NO_ARF,244,1
1,59,NO_ARF,244,1
1,60,NO_ARF,244,1
1,61,NO_ARF,244,1
1,62,NO_ARF,244,1
1,63,NO_ARF,244,1
1,64,NO_ARF,244,1
1,65,NO_ARF,244,1
1,66,NO_ARF,244,1
1,67,NO_ARF,244,1
1,68,NO_ARF,244,1
1,69,NO_ARF,244,1
1,70,NO_ARF,244,1
1,71,NO_ARF,244,1
1,72,NO_ARF,244,1
2,0,ARF_HYPER,3,0.023076923076923078
2,0,NO_ARF,127,0.9769230769230769
2,1,ARF_HYPER,8,0.06153846153846154
2,1,ARF_HYPOX,1,0.007692307692307693
2,1,ARF_MIXED,1,0.007692307692307693
2,1,NO_ARF,120,0.9230769230769231
2,2,ARF_HYPER,8,0.06153846153846154
2,2,ARF_HYPOX,1,0.007692307692307693
2,2,ARF_MIXED,1,0.007692307692307693
2,2,NO_ARF,120,0.9230769230769231
2,3,ARF_HYPER,9,0.06923076923076923
2,3,ARF_HYPOX,1,0.007692307692307693
2,3,ARF_MIXED,1,0.007692307692307693
2,3,NO_ARF,119,0.9153846153846154
2,4,ARF_HYPER,9,0.06923076923076923
2,4,ARF_HYPOX,1,0.007692307692307693
2,4,ARF_MIXED,2,0.015384615384615385
2,4,NO_ARF,118,0.9076923076923077
2,5,ARF_HYPER,10,0.07692307692307693
2,5,ARF_HYPOX,1,0.007692307692307693
2,5,ARF_MIXED,2,0.015384615384615385
2,5,NO_ARF,117,0.9
2,6,ARF_HYPER,10,0.07692307692307693
2,6,ARF_HYPOX,1,0.007692307692307693
2,6,ARF_MIXED,2,0.015384615384615385
2,6,NO_ARF,117,0.9
2,7,ARF_HYPER,8,0.06153846153846154
2,7,ARF_HYPOX,1,0.007692307692307693
2,7,ARF_MIXED,2,0.015384615384615385
2,7,NO_ARF,119,0.9153846153846154
2,8,ARF_HYPER,4,0.03076923076923077
2,8,ARF_MIXED,2,0.015384615384615385
2,8,NO_ARF,124,0.9538461538461539
2,9,ARF_HYPER,4,0.03076923076923077
2,9,ARF_HYPOX,1,0.007692307692307693
