site_name,stratum,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75
RUSH,Overall,age_years,NA,continuous,457,67.07439824945295,10.758867258774353,68,61,74
RUSH,Overall,icu_los_hours,NA,continuous,457,114.96790663749088,129.94899073164265,68.71666666666667,37.38333333333333,144.81666666666666
RUSH,Overall,imv_hours_icu,NA,continuous,457,5.179431072210066,18.539507758331272,0,0,0
RUSH,Overall,imv_hours_72h,NA,continuous,457,1.9715536105032823,5.473747192428165,0,0,0
RUSH,Overall,escalations_icu,NA,continuous,457,1.7024070021881839,3.236147045856693,1,0,2
RUSH,Overall,deescalations_icu,NA,continuous,457,1.9956236323851204,3.2131825670064207,1,0,2
RUSH,Overall,vaso_hours_72h,NA,continuous,457,2.3304157549234135,6.873402082405619,0,0,0
RUSH,Overall,vaso_mean_72h,NA,continuous,457,0.19912472647702406,0.399779681349261,0,0,0
RUSH,Overall,pm25_1y,NA,continuous,457,9.604445753786184,1.064576391065992,10.45326328277588,8.911922454833984,10.45326328277588
RUSH,Overall,pm25_3y,NA,continuous,457,8.932771494558793,0.8400333520201435,9.374867757161459,8.372029060430444,9.888648033142092
RUSH,Overall,pm25_5y,NA,continuous,457,8.506959173648896,0.6663192787365841,8.735817337036133,8.134114118997523,9.239969730377197
RUSH,Overall,no2_1y,NA,continuous,457,8.492617538406105,2.4476151003369297,9.507168769836426,6.401771545410156,9.894152641296388
RUSH,Overall,no2_3y,NA,continuous,457,8.740945404741495,2.5122477260292935,9.79650592803955,6.458690484364827,10.020097414652506
RUSH,Overall,no2_5y,NA,continuous,457,8.938266475989371,2.603103945022247,9.848906898498536,7.007839513167975,9.99095458984375
RUSH,Overall,charlson_score,NA,continuous,457,8.24945295404814,3.282583747558252,9,6,10
RUSH,Overall,sofa_total,NA,continuous,457,3.0043763676148796,3.095692836626162,2,1,5
RUSH,Overall,sofa_resp,NA,continuous,457,0.8446389496717724,1.3716820937398773,0,0,2
RUSH,Overall,sofa_cv,NA,continuous,457,0.949671772428884,1.2459077318328715,1,0,1
RUSH,Overall,sofa_renal,NA,continuous,457,0.34573304157549234,0.7424682925344476,0,0,0
RUSH,Overall,sofa_liver,NA,continuous,457,0.08096280087527352,0.37464713330063465,0,0,0
RUSH,Overall,sofa_coag,NA,continuous,457,0.3172866520787746,0.7359702920095111,0,0,0
RUSH,Overall,sofa_cns,NA,continuous,457,0.4660831509846827,1.0235433475426536,0,0,0
