site_name,device_t0,traj_cluster_ra,n,device_total
UCMC,CPAP,2,3,5
UCMC,CPAP,3,2,5
UCMC,FACE MASK,1,2,48
UCMC,FACE MASK,2,38,48
UCMC,FACE MASK,3,7,48
UCMC,FACE MASK,4,1,48
UCMC,HIGH FLOW NC,1,1,19
UCMC,HIGH FLOW NC,2,4,19
UCMC,HIGH FLOW NC,3,12,19
UCMC,HIGH FLOW NC,4,2,19
UCMC,IMV,1,15,138
UCMC,IMV,2,40,138
UCMC,IMV,3,2,138
UCMC,IMV,4,81,138
UCMC,NASAL CANNULA,1,50,109
UCMC,NASAL CANNULA,2,56,109
UCMC,NASAL CANNULA,3,1,109
UCMC,NASAL CANNULA,4,2,109
UCMC,NIPPV,1,2,97
UCMC,NIPPV,2,56,97
UCMC,NIPPV,3,29,97
UCMC,NIPPV,4,10,97
UCMC,OTHER,2,1,1
UCMC,ROOM AIR,1,30,33
UCMC,ROOM AIR,2,3,33
UCMC,TRACH COLLAR,4,1,1
UCMC,UNK,1,11,233
UCMC,UNK,2,121,233
UCMC,UNK,3,45,233
UCMC,UNK,4,56,233
UCMC,Unknown / missing,1,5,18
UCMC,Unknown / missing,2,7,18
UCMC,Unknown / missing,3,1,18
UCMC,Unknown / missing,4,5,18
