site_name,stratum,variable,level,summary_type,n,denom,prop
UCMC,Q1,sex_category,Female,categorical,98,206,0.47572815533980584
UCMC,Q1,sex_category,Male,categorical,108,206,0.5242718446601942
UCMC,Q2,sex_category,Female,categorical,109,206,0.529126213592233
UCMC,Q2,sex_category,Male,categorical,97,206,0.470873786407767
UCMC,Q3,sex_category,Female,categorical,105,206,0.5097087378640777
UCMC,Q3,sex_category,Male,categorical,101,206,0.49029126213592233
UCMC,Q4,sex_category,Female,categorical,116,206,0.5631067961165048
UCMC,Q4,sex_category,Male,categorical,90,206,0.4368932038834951
UCMC,Q1,race_category,Asian,categorical,4,206,0.019417475728155338
UCMC,Q1,race_category,Black or African American,categorical,61,206,0.2961165048543689
UCMC,Q1,race_category,Other,categorical,4,206,0.019417475728155338
UCMC,Q1,race_category,Unknown,categorical,12,206,0.05825242718446602
UCMC,Q1,race_category,White,categorical,125,206,0.6067961165048543
UCMC,Q2,race_category,Asian,categorical,6,206,0.02912621359223301
UCMC,Q2,race_category,Black or African American,categorical,142,206,0.6893203883495146
UCMC,Q2,race_category,Other,categorical,2,206,0.009708737864077669
UCMC,Q2,race_category,Unknown,categorical,18,206,0.08737864077669903
UCMC,Q2,race_category,White,categorical,38,206,0.18446601941747573
UCMC,Q3,race_category,Asian,categorical,4,206,0.019417475728155338
UCMC,Q3,race_category,Black or African American,categorical,163,206,0.7912621359223301
UCMC,Q3,race_category,Other,categorical,3,206,0.014563106796116505
UCMC,Q3,race_category,Unknown,categorical,2,206,0.009708737864077669
UCMC,Q3,race_category,White,categorical,34,206,0.1650485436893204
UCMC,Q4,race_category,Asian,categorical,5,206,0.024271844660194174
UCMC,Q4,race_category,Black or African American,categorical,143,206,0.6941747572815534
UCMC,Q4,race_category,Unknown,categorical,7,206,0.03398058252427184
UCMC,Q4,race_category,White,categorical,51,206,0.24757281553398058
UCMC,Q1,ethnicity_category,Hispanic,categorical,7,206,0.03398058252427184
UCMC,Q1,ethnicity_category,Non-Hispanic,categorical,185,206,0.8980582524271845
UCMC,Q1,ethnicity_category,Unknown,categorical,14,206,0.06796116504854369
UCMC,Q2,ethnicity_category,Hispanic,categorical,6,206,0.02912621359223301
UCMC,Q2,ethnicity_category,Non-Hispanic,categorical,188,206,0.912621359223301
UCMC,Q2,ethnicity_category,Unknown,categorical,12,206,0.05825242718446602
UCMC,Q3,ethnicity_category,Hispanic,categorical,3,206,0.014563106796116505
UCMC,Q3,ethnicity_category,Non-Hispanic,categorical,201,206,0.9757281553398058
UCMC,Q3,ethnicity_category,Unknown,categorical,2,206,0.009708737864077669
UCMC,Q4,ethnicity_category,Hispanic,categorical,2,206,0.009708737864077669
UCMC,Q4,ethnicity_category,Non-Hispanic,categorical,202,206,0.9805825242718447
UCMC,Q4,ethnicity_category,Unknown,categorical,2,206,0.009708737864077669
UCMC,Q1,device_t0,FACE MASK,categorical,9,206,0.043689320388349516
UCMC,Q1,device_t0,HIGH FLOW NC,categorical,2,206,0.009708737864077669
UCMC,Q1,device_t0,IMV,categorical,27,206,0.13106796116504854
UCMC,Q1,device_t0,NASAL CANNULA,categorical,26,206,0.1262135922330097
UCMC,Q1,device_t0,NIPPV,categorical,21,206,0.10194174757281553
UCMC,Q1,device_t0,ROOM AIR,categorical,8,206,0.038834951456310676
UCMC,Q1,device_t0,TRACH COLLAR,categorical,1,206,0.0048543689320388345
UCMC,Q1,device_t0,UNK,categorical,93,206,0.45145631067961167
UCMC,Q1,device_t0,NA,categorical,19,206,0.09223300970873786
UCMC,Q2,device_t0,CPAP,categorical,1,206,0.0048543689320388345
UCMC,Q2,device_t0,HIGH FLOW NC,categorical,3,206,0.014563106796116505
UCMC,Q2,device_t0,IMV,categorical,43,206,0.2087378640776699
UCMC,Q2,device_t0,NASAL CANNULA,categorical,1,206,0.0048543689320388345
UCMC,Q2,device_t0,NIPPV,categorical,29,206,0.1407766990291262
UCMC,Q2,device_t0,ROOM AIR,categorical,1,206,0.0048543689320388345
UCMC,Q2,device_t0,UNK,categorical,97,206,0.470873786407767
UCMC,Q2,device_t0,NA,categorical,31,206,0.15048543689320387
UCMC,Q3,device_t0,CPAP,categorical,3,206,0.014563106796116505
UCMC,Q3,device_t0,FACE MASK,categorical,1,206,0.0048543689320388345
UCMC,Q3,device_t0,HIGH FLOW NC,categorical,6,206,0.02912621359223301
UCMC,Q3,device_t0,IMV,categorical,34,206,0.1650485436893204
UCMC,Q3,device_t0,NASAL CANNULA,categorical,7,206,0.03398058252427184
UCMC,Q3,device_t0,NIPPV,categorical,24,206,0.11650485436893204
UCMC,Q3,device_t0,ROOM AIR,categorical,3,206,0.014563106796116505
UCMC,Q3,device_t0,UNK,categorical,107,206,0.5194174757281553
UCMC,Q3,device_t0,NA,categorical,21,206,0.10194174757281553
UCMC,Q4,device_t0,CPAP,categorical,1,206,0.0048543689320388345
UCMC,Q4,device_t0,FACE MASK,categorical,38,206,0.18446601941747573
UCMC,Q4,device_t0,HIGH FLOW NC,categorical,8,206,0.038834951456310676
UCMC,Q4,device_t0,IMV,categorical,34,206,0.1650485436893204
UCMC,Q4,device_t0,NASAL CANNULA,categorical,75,206,0.3640776699029126
UCMC,Q4,device_t0,NIPPV,categorical,23,206,0.11165048543689321
UCMC,Q4,device_t0,OTHER,categorical,1,206,0.0048543689320388345
UCMC,Q4,device_t0,ROOM AIR,categorical,21,206,0.10194174757281553
UCMC,Q4,device_t0,UNK,categorical,2,206,0.009708737864077669
UCMC,Q4,device_t0,NA,categorical,3,206,0.014563106796116505
UCMC,Q1,traj_cluster_ra,1,categorical,37,206,0.1796116504854369
UCMC,Q1,traj_cluster_ra,2,categorical,65,206,0.3155339805825243
UCMC,Q1,traj_cluster_ra,3,categorical,22,206,0.10679611650485436
UCMC,Q1,traj_cluster_ra,4,categorical,42,206,0.20388349514563106
UCMC,Q1,traj_cluster_ra,NA,categorical,40,206,0.1941747572815534
UCMC,Q2,traj_cluster_ra,1,categorical,8,206,0.038834951456310676
UCMC,Q2,traj_cluster_ra,2,categorical,58,206,0.2815533980582524
UCMC,Q2,traj_cluster_ra,3,categorical,28,206,0.13592233009708737
UCMC,Q2,traj_cluster_ra,4,categorical,60,206,0.2912621359223301
