site_name,stratum,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75
UCMC,Overall,age_years,NA,continuous,824,67.67597087378641,10.852959808357527,68,61,76
UCMC,Overall,icu_los_hours,NA,continuous,824,121.10538025889967,170.72002276017216,52.28333333333333,25.737500000000004,141.4375
UCMC,Overall,imv_hours_icu,NA,continuous,824,16.91262135922331,46.060419256002675,0,0,8
UCMC,Overall,imv_hours_72h,NA,continuous,824,4.975728155339805,10.103805964753969,0,0,5
UCMC,Overall,escalations_icu,NA,continuous,824,1.1553398058252462,2.556795083587758,0,0,1
UCMC,Overall,deescalations_icu,NA,continuous,824,1.492718446601942,2.5940291077320965,1,0,2
UCMC,Overall,vaso_hours_72h,NA,continuous,824,6.652912621359217,14.789028025906402,0,0,3
UCMC,Overall,vaso_mean_72h,NA,continuous,824,0.2864077669902915,0.4523568186301915,0,0,1
UCMC,Overall,pm25_1y,NA,continuous,824,8.850931054758792,1.1511491027426672,8.911922454833984,7.932501316070557,9.626898765563965
UCMC,Overall,pm25_3y,NA,continuous,824,8.47480624542707,0.8094485979819517,8.372029060430444,8.155468622843424,8.94191042582194
UCMC,Overall,pm25_5y,NA,continuous,824,8.42236864385993,0.597823152339481,8.445646562719165,8.157451005458162,8.860523390002019
UCMC,Overall,no2_1y,NA,continuous,824,9.508085798534662,2.3427004193080476,9.894152641296388,9.507168769836426,10.2174072265625
UCMC,Overall,no2_3y,NA,continuous,824,9.987984622950728,2.37277486875535,10.020097414652506,9.79650592803955,12.08834632795895
UCMC,Overall,no2_5y,NA,continuous,824,10.45657121649433,2.43981447438202,10.586837331753856,9.848906898498536,12.637901972374825
UCMC,Overall,charlson_score,NA,continuous,824,7.915048543689319,3.4011029227591396,9,5,10
UCMC,Overall,sofa_total,NA,continuous,824,4.9696601941747565,4.179194185476456,4,2,8
UCMC,Overall,sofa_resp,NA,continuous,824,1.7475728155339811,1.5726610033273152,2,0,3
UCMC,Overall,sofa_cv,NA,continuous,824,1.0109223300970869,1.4988459306987427,0,0,1
UCMC,Overall,sofa_renal,NA,continuous,824,0.5012135922330099,0.9143109446644102,0,0,1
UCMC,Overall,sofa_liver,NA,continuous,824,0.10436893203883518,0.42837434918926837,0,0,0
UCMC,Overall,sofa_coag,NA,continuous,824,0.375,0.8212879965447747,0,0,0
UCMC,Overall,sofa_cns,NA,continuous,824,1.230582524271844,1.4499295329541366,1,0,3
