traj_cluster_ra,h,arf,n,prop
1,0,ARF_HYPER,1,0.009345794392523364
1,0,NO_ARF,106,0.9906542056074766
1,1,ARF_HYPER,1,0.009345794392523364
1,1,ARF_HYPOX,1,0.009345794392523364
1,1,NO_ARF,105,0.9813084112149533
1,2,ARF_HYPER,1,0.009345794392523364
1,2,ARF_HYPOX,1,0.009345794392523364
1,2,NO_ARF,105,0.9813084112149533
1,3,ARF_HYPER,1,0.009345794392523364
1,3,ARF_HYPOX,1,0.009345794392523364
1,3,NO_ARF,105,0.9813084112149533
1,4,ARF_HYPER,1,0.009345794392523364
1,4,ARF_HYPOX,1,0.009345794392523364
1,4,NO_ARF,105,0.9813084112149533
1,5,ARF_HYPER,1,0.009345794392523364
1,5,ARF_HYPOX,1,0.009345794392523364
1,5,NO_ARF,105,0.9813084112149533
1,6,ARF_HYPER,1,0.009345794392523364
1,6,ARF_HYPOX,1,0.009345794392523364
1,6,NO_ARF,105,0.9813084112149533
1,7,ARF_HYPOX,1,0.009345794392523364
1,7,NO_ARF,106,0.9906542056074766
1,8,ARF_HYPOX,2,0.018691588785046728
1,8,NO_ARF,105,0.9813084112149533
1,9,ARF_HYPOX,2,0.018691588785046728
1,9,NO_ARF,105,0.9813084112149533
1,10,ARF_HYPOX,2,0.018691588785046728
1,10,NO_ARF,105,0.9813084112149533
1,11,ARF_HYPOX,2,0.018691588785046728
1,11,NO_ARF,105,0.9813084112149533
1,12,ARF_HYPOX,2,0.018691588785046728
1,12,NO_ARF,105,0.9813084112149533
1,13,ARF_HYPOX,2,0.018691588785046728
1,13,NO_ARF,105,0.9813084112149533
1,14,ARF_HYPOX,2,0.018691588785046728
1,14,NO_ARF,105,0.9813084112149533
1,15,ARF_HYPOX,1,0.009345794392523364
1,15,NO_ARF,106,0.9906542056074766
1,16,ARF_HYPOX,1,0.009345794392523364
1,16,NO_ARF,106,0.9906542056074766
1,17,ARF_HYPOX,1,0.009345794392523364
1,17,NO_ARF,106,0.9906542056074766
1,18,ARF_HYPOX,1,0.009345794392523364
1,18,NO_ARF,106,0.9906542056074766
1,19,ARF_HYPOX,1,0.009345794392523364
1,19,NO_ARF,106,0.9906542056074766
1,20,NO_ARF,107,1
1,21,NO_ARF,107,1
1,22,NO_ARF,107,1
1,23,NO_ARF,107,1
1,24,NO_ARF,107,1
1,25,ARF_HYPOX,1,0.009345794392523364
1,25,NO_ARF,106,0.9906542056074766
1,26,ARF_HYPOX,1,0.009345794392523364
1,26,NO_ARF,106,0.9906542056074766
1,27,ARF_HYPOX,1,0.009345794392523364
1,27,NO_ARF,106,0.9906542056074766
1,28,ARF_HYPOX,1,0.009345794392523364
1,28,NO_ARF,106,0.9906542056074766
1,29,ARF_HYPOX,1,0.009345794392523364
1,29,NO_ARF,106,0.9906542056074766
1,30,ARF_HYPOX,1,0.009345794392523364
1,30,NO_ARF,106,0.9906542056074766
1,31,ARF_HYPOX,1,0.009345794392523364
1,31,NO_ARF,106,0.9906542056074766
1,32,NO_ARF,107,1
1,33,NO_ARF,107,1
1,34,NO_ARF,107,1
1,35,NO_ARF,107,1
1,36,NO_ARF,107,1
1,37,NO_ARF,107,1
1,38,NO_ARF,107,1
1,39,NO_ARF,107,1
1,40,NO_ARF,107,1
1,41,NO_ARF,107,1
1,42,NO_ARF,107,1
1,43,NO_ARF,107,1
1,44,NO_ARF,107,1
1,45,NO_ARF,107,1
1,46,NO_ARF,107,1
1,47,NO_ARF,107,1
1,48,NO_ARF,107,1
1,49,NO_ARF,107,1
1,50,NO_ARF,107,1
1,51,NO_ARF,107,1
1,52,NO_ARF,107,1
1,53,NO_ARF,107,1
1,54,NO_ARF,107,1
1,55,NO_ARF,107,1
1,56,NO_ARF,107,1
1,57,NO_ARF,107,1
1,58,NO_ARF,107,1
1,59,NO_ARF,107,1
1,60,NO_ARF,107,1
1,61,NO_ARF,107,1
1,62,NO_ARF,107,1
1,63,NO_ARF,107,1
1,64,NO_ARF,107,1
1,65,NO_ARF,107,1
1,66,NO_ARF,107,1
1,67,NO_ARF,107,1
1,68,NO_ARF,107,1
1,69,NO_ARF,107,1
1,70,NO_ARF,107,1
1,71,NO_ARF,107,1
1,72,NO_ARF,107,1
2,0,ARF_HYPER,2,0.012121212121212121
2,0,ARF_HYPOX,4,0.024242424242424242
2,0,ARF_MIXED,2,0.012121212121212121
2,0,NO_ARF,157,0.9515151515151515
2,1,ARF_HYPER,4,0.024242424242424242
2,1,ARF_HYPOX,6,0.03636363636363636
2,1,ARF_MIXED,2,0.012121212121212121
2,1,NO_ARF,153,0.9272727272727272
2,2,ARF_HYPER,4,0.024242424242424242
2,2,ARF_HYPOX,6,0.03636363636363636
2,2,ARF_MIXED,2,0.012121212121212121
2,2,NO_ARF,153,0.9272727272727272
2,3,ARF_HYPER,4,0.024242424242424242
2,3,ARF_HYPOX,6,0.03636363636363636
2,3,ARF_MIXED,2,0.012121212121212121
2,3,NO_ARF,153,0.9272727272727272
2,4,ARF_HYPER,4,0.024242424242424242
2,4,ARF_HYPOX,6,0.03636363636363636
2,4,ARF_MIXED,2,0.012121212121212121
2,4,NO_ARF,153,0.9272727272727272
2,5,ARF_HYPER,4,0.024242424242424242
2,5,ARF_HYPOX,7,0.04242424242424243
2,5,ARF_MIXED,2,0.012121212121212121
2,5,NO_ARF,152,0.9212121212121213
2,6,ARF_HYPER,4,0.024242424242424242
2,6,ARF_HYPOX,9,0.05454545454545454
2,6,ARF_MIXED,2,0.012121212121212121
2,6,NO_ARF,150,0.9090909090909091
2,7,ARF_HYPER,3,0.01818181818181818
2,7,ARF_HYPOX,8,0.048484848484848485
2,7,ARF_MIXED,1,0.006060606060606061
2,7,NO_ARF,153,0.9272727272727272
2,8,ARF_HYPER,1,0.006060606060606061
2,8,ARF_HYPOX,7,0.04242424242424243
2,8,ARF_MIXED,1,0.006060606060606061
2,8,NO_ARF,156,0.9454545454545454
2,9,ARF_HYPER,1,0.006060606060606061
2,9,ARF_HYPOX,6,0.03636363636363636
2,9,ARF_MIXED,2,0.012121212121212121
2,9,NO_ARF,156,0.9454545454545454
2,10,ARF_HYPOX,5,0.030303030303030304
2,10,ARF_MIXED,2,0.012121212121212121
2,10,NO_ARF,158,0.9575757575757575
2,11,ARF_HYPOX,5,0.030303030303030304
2,11,ARF_MIXED,2,0.012121212121212121
2,11,NO_ARF,158,0.9575757575757575
2,12,ARF_HYPOX,6,0.03636363636363636
2,12,ARF_MIXED,1,0.006060606060606061
2,12,NO_ARF,158,0.9575757575757575
2,13,ARF_HYPOX,5,0.030303030303030304
2,13,ARF_MIXED,1,0.006060606060606061
2,13,NO_ARF,159,0.9636363636363636
2,14,ARF_HYPOX,3,0.01818181818181818
2,14,ARF_MIXED,2,0.012121212121212121
2,14,NO_ARF,160,0.9696969696969697
2,15,ARF_HYPOX,3,0.01818181818181818
2,15,ARF_MIXED,2,0.012121212121212121
2,15,NO_ARF,160,0.9696969696969697
2,16,ARF_HYPOX,3,0.01818181818181818
2,16,ARF_MIXED,1,0.006060606060606061
2,16,NO_ARF,161,0.9757575757575757
2,17,ARF_HYPOX,3,0.01818181818181818
2,17,ARF_MIXED,2,0.012121212121212121
2,17,NO_ARF,160,0.9696969696969697
2,18,ARF_HYPER,1,0.006060606060606061
2,18,ARF_HYPOX,3,0.01818181818181818
2,18,ARF_MIXED,2,0.012121212121212121
2,18,NO_ARF,159,0.9636363636363636
2,19,ARF_HYPER,2,0.012121212121212121
2,19,ARF_HYPOX,1,0.006060606060606061
2,19,ARF_MIXED,2,0.012121212121212121
2,19,NO_ARF,160,0.9696969696969697
2,20,ARF_HYPER,2,0.012121212121212121
2,20,ARF_HYPOX,1,0.006060606060606061
2,20,ARF_MIXED,2,0.012121212121212121
2,20,NO_ARF,160,0.9696969696969697
2,21,ARF_HYPER,3,0.01818181818181818
2,21,ARF_MIXED,1,0.006060606060606061
2,21,NO_ARF,161,0.9757575757575757
2,22,ARF_HYPER,3,0.01818181818181818
2,22,ARF_MIXED,1,0.006060606060606061
2,22,NO_ARF,161,0.9757575757575757
2,23,ARF_HYPER,2,0.012121212121212121
2,23,ARF_MIXED,1,0.006060606060606061
2,23,NO_ARF,162,0.9818181818181818
2,24,ARF_HYPER,2,0.012121212121212121
2,24,ARF_HYPOX,1,0.006060606060606061
2,24,NO_ARF,162,0.9818181818181818
2,25,ARF_HYPER,2,0.012121212121212121
2,25,ARF_HYPOX,1,0.006060606060606061
2,25,NO_ARF,162,0.9818181818181818
2,26,ARF_HYPER,2,0.012121212121212121
2,26,ARF_HYPOX,1,0.006060606060606061
2,26,NO_ARF,162,0.9818181818181818
2,27,ARF_HYPER,2,0.012121212121212121
2,27,ARF_HYPOX,1,0.006060606060606061
2,27,NO_ARF,162,0.9818181818181818
2,28,ARF_HYPER,2,0.012121212121212121
2,28,ARF_HYPOX,1,0.006060606060606061
2,28,NO_ARF,162,0.9818181818181818
2,29,ARF_HYPER,2,0.012121212121212121
2,29,ARF_HYPOX,1,0.006060606060606061
2,29,NO_ARF,162,0.9818181818181818
2,30,ARF_HYPER,1,0.006060606060606061
2,30,ARF_HYPOX,1,0.006060606060606061
2,30,NO_ARF,163,0.9878787878787879
2,31,ARF_HYPOX,2,0.012121212121212121
2,31,NO_ARF,163,0.9878787878787879
2,32,ARF_HYPER,1,0.006060606060606061
2,32,ARF_HYPOX,2,0.012121212121212121
2,32,NO_ARF,162,0.9818181818181818
2,33,ARF_HYPER,1,0.006060606060606061
2,33,ARF_HYPOX,3,0.01818181818181818
2,33,NO_ARF,161,0.9757575757575757
2,34,ARF_HYPER,1,0.006060606060606061
2,34,ARF_HYPOX,3,0.01818181818181818
2,34,NO_ARF,161,0.9757575757575757
2,35,ARF_HYPER,1,0.006060606060606061
2,35,ARF_HYPOX,3,0.01818181818181818
2,35,NO_ARF,161,0.9757575757575757
2,36,ARF_HYPER,1,0.006060606060606061
2,36,ARF_HYPOX,3,0.01818181818181818
2,36,NO_ARF,161,0.9757575757575757
2,37,ARF_HYPER,1,0.006060606060606061
2,37,ARF_HYPOX,3,0.01818181818181818
2,37,NO_ARF,161,0.9757575757575757
2,38,ARF_HYPER,1,0.006060606060606061
2,38,ARF_HYPOX,2,0.012121212121212121
2,38,NO_ARF,162,0.9818181818181818
2,39,ARF_HYPOX,2,0.012121212121212121
2,39,NO_ARF,163,0.9878787878787879
2,40,ARF_HYPOX,1,0.006060606060606061
2,40,NO_ARF,164,0.9939393939393939
2,41,NO_ARF,165,1
2,42,NO_ARF,165,1
2,43,NO_ARF,165,1
2,44,NO_ARF,165,1
2,45,NO_ARF,165,1
2,46,NO_ARF,165,1
2,47,NO_ARF,165,1
2,48,NO_ARF,165,1
2,49,NO_ARF,165,1
2,50,NO_ARF,165,1
2,51,NO_ARF,165,1
2,52,NO_ARF,165,1
2,53,NO_ARF,165,1
2,54,NO_ARF,165,1
2,55,NO_ARF,165,1
2,56,NO_ARF,165,1
2,57,NO_ARF,165,1
2,58,NO_ARF,165,1
2,59,NO_ARF,165,1
2,60,NO_ARF,165,1
2,61,ARF_HYPER,1,0.006060606060606061
2,61,NO_ARF,164,0.9939393939393939
2,62,ARF_HYPER,1,0.006060606060606061
2,62,NO_ARF,164,0.9939393939393939
2,63,ARF_HYPER,1,0.006060606060606061
2,63,NO_ARF,164,0.9939393939393939
2,64,ARF_HYPER,2,0.012121212121212121
2,64,NO_ARF,163,0.9878787878787879
2,65,ARF_HYPER,2,0.012121212121212121
2,65,NO_ARF,163,0.9878787878787879
2,66,ARF_HYPER,2,0.012121212121212121
2,66,NO_ARF,163,0.9878787878787879
2,67,ARF_HYPER,2,0.012121212121212121
2,67,NO_ARF,163,0.9878787878787879
2,68,ARF_HYPER,2,0.012121212121212121
2,68,NO_ARF,163,0.9878787878787879
2,69,ARF_HYPER,2,0.012121212121212121
2,69,NO_ARF,163,0.9878787878787879
2,70,ARF_HYPER,2,0.012121212121212121
2,70,NO_ARF,163,0.9878787878787879
2,71,ARF_HYPER,2,0.012121212121212121
2,71,NO_ARF,163,0.9878787878787879
2,72,ARF_HYPER,2,0.012121212121212121
2,72,NO_ARF,163,0.9878787878787879
3,0,ARF_HYPER,1,0.015384615384615385
3,0,ARF_HYPOX,1,0.015384615384615385
3,0,ARF_MIXED,2,0.03076923076923077
3,0,NO_ARF,61,0.9384615384615385
3,1,ARF_HYPER,2,0.03076923076923077
3,1,ARF_HYPOX,2,0.03076923076923077
3,1,ARF_MIXED,3,0.046153846153846156
3,1,NO_ARF,58,0.8923076923076924
3,2,ARF_HYPER,2,0.03076923076923077
3,2,ARF_HYPOX,4,0.06153846153846154
3,2,ARF_MIXED,3,0.046153846153846156
3,2,NO_ARF,56,0.8615384615384616
3,3,ARF_HYPER,2,0.03076923076923077
3,3,ARF_HYPOX,4,0.06153846153846154
3,3,ARF_MIXED,4,0.06153846153846154
3,3,NO_ARF,55,0.8461538461538461
3,4,ARF_HYPER,2,0.03076923076923077
3,4,ARF_HYPOX,5,0.07692307692307693
3,4,ARF_MIXED,5,0.07692307692307693
3,4,NO_ARF,53,0.8153846153846154
3,5,ARF_HYPER,3,0.046153846153846156
3,5,ARF_HYPOX,6,0.09230769230769231
3,5,ARF_MIXED,5,0.07692307692307693
3,5,NO_ARF,51,0.7846153846153846
3,6,ARF_HYPER,2,0.03076923076923077
3,6,ARF_HYPOX,7,0.1076923076923077
3,6,ARF_MIXED,6,0.09230769230769231
3,6,NO_ARF,50,0.7692307692307693
3,7,ARF_HYPER,1,0.015384615384615385
3,7,ARF_HYPOX,7,0.1076923076923077
3,7,ARF_MIXED,4,0.06153846153846154
3,7,NO_ARF,53,0.8153846153846154
3,8,ARF_HYPER,1,0.015384615384615385
3,8,ARF_HYPOX,9,0.13846153846153847
3,8,ARF_MIXED,3,0.046153846153846156
3,8,NO_ARF,52,0.8
3,9,ARF_HYPER,1,0.015384615384615385
3,9,ARF_HYPOX,9,0.13846153846153847
3,9,ARF_MIXED,4,0.06153846153846154
3,9,NO_ARF,51,0.7846153846153846
3,10,ARF_HYPER,1,0.015384615384615385
3,10,ARF_HYPOX,8,0.12307692307692308
3,10,ARF_MIXED,4,0.06153846153846154
3,10,NO_ARF,52,0.8
3,11,ARF_HYPER,1,0.015384615384615385
3,11,ARF_HYPOX,8,0.12307692307692308
3,11,ARF_MIXED,4,0.06153846153846154
3,11,NO_ARF,52,0.8
3,12,ARF_HYPOX,9,0.13846153846153847
3,12,ARF_MIXED,4,0.06153846153846154
3,12,NO_ARF,52,0.8
3,13,ARF_HYPER,1,0.015384615384615385
3,13,ARF_HYPOX,9,0.13846153846153847
3,13,ARF_MIXED,4,0.06153846153846154
3,13,NO_ARF,51,0.7846153846153846
3,14,ARF_HYPER,1,0.015384615384615385
3,14,ARF_HYPOX,7,0.1076923076923077
3,14,ARF_MIXED,4,0.06153846153846154
3,14,NO_ARF,53,0.8153846153846154
3,15,ARF_HYPOX,6,0.09230769230769231
3,15,ARF_MIXED,3,0.046153846153846156
3,15,NO_ARF,56,0.8615384615384616
3,16,ARF_HYPER,1,0.015384615384615385
3,16,ARF_HYPOX,4,0.06153846153846154
3,16,ARF_MIXED,2,0.03076923076923077
3,16,NO_ARF,58,0.8923076923076924
3,17,ARF_HYPER,1,0.015384615384615385
3,17,ARF_HYPOX,4,0.06153846153846154
3,17,ARF_MIXED,1,0.015384615384615385
3,17,NO_ARF,59,0.9076923076923077
3,18,ARF_HYPER,1,0.015384615384615385
3,18,ARF_HYPOX,4,0.06153846153846154
3,18,ARF_MIXED,2,0.03076923076923077
3,18,NO_ARF,58,0.8923076923076924
3,19,ARF_HYPER,1,0.015384615384615385
3,19,ARF_HYPOX,3,0.046153846153846156
3,19,ARF_MIXED,2,0.03076923076923077
3,19,NO_ARF,59,0.9076923076923077
3,20,ARF_HYPER,1,0.015384615384615385
3,20,ARF_HYPOX,4,0.06153846153846154
3,20,ARF_MIXED,2,0.03076923076923077
3,20,NO_ARF,58,0.8923076923076924
3,21,ARF_HYPER,1,0.015384615384615385
3,21,ARF_HYPOX,6,0.09230769230769231
3,21,ARF_MIXED,2,0.03076923076923077
3,21,NO_ARF,56,0.8615384615384616
3,22,ARF_HYPER,1,0.015384615384615385
3,22,ARF_HYPOX,7,0.1076923076923077
3,22,ARF_MIXED,2,0.03076923076923077
3,22,NO_ARF,55,0.8461538461538461
