site_name,device_t0,traj_cluster_ra,n,device_total
UCSF,CPAP,3,1,1
UCSF,FACE MASK,1,13,45
UCSF,FACE MASK,2,19,45
UCSF,FACE MASK,3,10,45
UCSF,FACE MASK,4,3,45
UCSF,HIGH FLOW NC,1,3,43
UCSF,HIGH FLOW NC,2,6,43
UCSF,HIGH FLOW NC,3,32,43
UCSF,HIGH FLOW NC,4,2,43
UCSF,IMV,1,1,9
UCSF,IMV,2,2,9
UCSF,IMV,4,6,9
UCSF,NASAL CANNULA,1,31,131
UCSF,NASAL CANNULA,2,90,131
UCSF,NASAL CANNULA,3,7,131
UCSF,NASAL CANNULA,4,3,131
UCSF,NIPPV,2,16,26
UCSF,NIPPV,3,9,26
UCSF,NIPPV,4,1,26
UCSF,OTHER,2,1,3
UCSF,OTHER,3,2,3
UCSF,ROOM AIR,1,54,69
UCSF,ROOM AIR,2,12,69
UCSF,ROOM AIR,4,3,69
UCSF,TRACH COLLAR,2,4,4
UCSF,UNK,1,3,55
UCSF,UNK,2,15,55
UCSF,UNK,3,4,55
UCSF,UNK,4,33,55
UCSF,Unknown / missing,1,2,3
UCSF,Unknown / missing,4,1,3
