site_name,stratum,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75
umn,Q1,age_years,NA,continuous,256,68.6953125,9.082677841072305,69,62,75
umn,Q2,age_years,NA,continuous,256,69.9453125,10.079533597792093,72,63.75,77
umn,Q3,age_years,NA,continuous,256,70.61328125,10.315173450253928,71,64,77
umn,Q4,age_years,NA,continuous,255,68.83529411764705,10.57874156235398,69,61,76
umn,Q1,icu_los_hours,NA,continuous,256,93.46380208333333,108.29667593193142,53.458333333333336,26.095833333333335,108.92500000000001
umn,Q2,icu_los_hours,NA,continuous,256,95.925,110.55190980949733,63.81666666666666,30.066666666666666,112.04166666666667
umn,Q3,icu_los_hours,NA,continuous,256,94.211328125,118.03495462731313,57.25833333333333,24.275,114.7
umn,Q4,icu_los_hours,NA,continuous,255,93.6381045751634,142.9392983546154,49.81666666666667,22.950000000000003,97.66666666666667
umn,Q1,imv_hours_icu,NA,continuous,256,8.50390625,27.93746490764125,0,0,0
umn,Q2,imv_hours_icu,NA,continuous,256,14,45.96972575809551,0,0,0.25
umn,Q3,imv_hours_icu,NA,continuous,256,9.41015625,31.122650070751856,0,0,0
umn,Q4,imv_hours_icu,NA,continuous,255,12.619607843137254,38.00155933190941,0,0,2.5
umn,Q1,imv_hours_72h,NA,continuous,256,3.1328125,8.089083511673218,0,0,0
umn,Q2,imv_hours_72h,NA,continuous,256,4.76171875,10.23344475453489,0,0,0
umn,Q3,imv_hours_72h,NA,continuous,256,4.16015625,9.370465406599317,0,0,0
umn,Q4,imv_hours_72h,NA,continuous,255,4.141176470588236,9.255965866525159,0,0,0.5
umn,Q1,escalations_icu,NA,continuous,256,2.16015625,4.025620689567575,1,0,3
umn,Q2,escalations_icu,NA,continuous,256,1.57421875,2.267061537476626,1,0,2
umn,Q3,escalations_icu,NA,continuous,256,1.625,3.13737744858695,0,0,2
umn,Q4,escalations_icu,NA,continuous,255,1.4705882352941178,2.63496284227615,0,0,2
umn,Q1,deescalations_icu,NA,continuous,256,2.6171875,4.265908806007985,1,0,3
umn,Q2,deescalations_icu,NA,continuous,256,2.015625,2.4333769805379033,1,0,3
umn,Q3,deescalations_icu,NA,continuous,256,2.046875,3.1952400259650933,1,0,3
umn,Q4,deescalations_icu,NA,continuous,255,1.8,2.7008310182194624,1,0,2
umn,Q1,vaso_hours_72h,NA,continuous,256,4.30859375,11.484110266056364,0,0,0
umn,Q2,vaso_hours_72h,NA,continuous,256,6.70703125,14.847859467270153,0,0,4
umn,Q3,vaso_hours_72h,NA,continuous,256,5.78515625,12.332514587622493,0,0,5
umn,Q4,vaso_hours_72h,NA,continuous,255,6.188235294117647,13.242880230328009,0,0,4.5
umn,Q1,vaso_mean_72h,NA,continuous,256,0.23046875,0.4219578259290199,0,0,0
umn,Q2,vaso_mean_72h,NA,continuous,256,0.31640625,0.4659844891384766,0,0,1
umn,Q3,vaso_mean_72h,NA,continuous,256,0.328125,0.47045034744568387,0,0,1
umn,Q4,vaso_mean_72h,NA,continuous,255,0.3333333333333333,0.47233157089156386,0,0,1
umn,Q1,pm25_1y,NA,continuous,256,6.754846528172493,1.640512039041252,6.1863861083984375,5.745397210121155,7.690791606903076
umn,Q2,pm25_1y,NA,continuous,256,8.259071892127395,1.7960009212431456,7.051776885986328,6.767168998718262,10.489176750183105
umn,Q3,pm25_1y,NA,continuous,256,7.868901066482067,1.5548179521440793,7.61306095123291,6.7588677406311035,8.171156883239746
umn,Q4,pm25_1y,NA,continuous,255,7.831778337441238,0.6718243772446251,7.748569965362549,7.546275615692139,8.098234176635742
umn,Q1,pm25_3y,NA,continuous,256,6.330927701192288,0.9179623914932917,6.229918003082275,5.639095783233643,6.668626626332601
umn,Q2,pm25_3y,NA,continuous,256,7.566758663236503,0.8655001081371064,7.276031653086345,7.06043004989624,8.519459088643393
umn,Q3,pm25_3y,NA,continuous,256,7.422461127095708,0.8663992704700384,7.103878559259606,6.963863849639893,7.52437702814738
umn,Q4,pm25_3y,NA,continuous,255,7.620480294313118,0.43516639748036007,7.566544464432354,7.166177113850911,7.835939407348633
umn,Q1,pm25_5y,NA,continuous,256,6.077886360405333,0.7080162849495749,6.085560117815313,5.501249059267467,6.519940662384033
umn,Q2,pm25_5y,NA,continuous,256,7.261174823453373,0.5713151484035145,7.2483320603299335,6.885303599912456,7.767381572723389
umn,Q3,pm25_5y,NA,continuous,256,7.28539246591661,0.6498601890478574,7.1318421464297455,6.850111303175827,7.438324367127767
umn,Q4,pm25_5y,NA,continuous,255,7.574047864262631,0.38818739257967017,7.627609572890242,7.216877186219073,7.761852389491756
umn,Q1,no2_1y,NA,continuous,256,2.0990888233798772,0.686610632545012,2.074275016784668,1.5070337057113647,2.596930742263794
umn,Q2,no2_1y,NA,continuous,256,4.036243610021799,0.5622872342766528,3.8549435138702393,3.6189157962799072,4.438833236694336
umn,Q3,no2_1y,NA,continuous,256,5.2605074092994855,0.930744653357885,5.541841472616725,4.681580543518066,6.312636375427246
umn,Q4,no2_1y,NA,continuous,255,7.786451721214591,1.7953625111750562,7.496654987335205,6.794700622558594,9.148693141480752
umn,Q1,no2_3y,NA,continuous,256,2.4416213122433956,0.8146618543279435,2.4264699618021646,1.765204547429086,3.0652604330498963
umn,Q2,no2_3y,NA,continuous,256,4.398037283451599,0.49399085413486127,4.331190188725789,4.009060859680176,4.734624453859506
umn,Q3,no2_3y,NA,continuous,256,5.830251817961117,0.833214265177383,5.520978100020226,5.22988764444987,6.911522471571481
umn,Q4,no2_3y,NA,continuous,255,8.639693749150725,1.3954229809536904,8.412244504576721,7.377344131469727,9.673482313686723
umn,Q1,no2_5y,NA,continuous,256,2.7854248439455183,0.8416783551490835,2.7948089729639767,2.15690795743323,3.650477157385343
umn,Q2,no2_5y,NA,continuous,256,4.7073793948604825,0.44979330692774494,4.69478754011856,4.338881846632616,5.101529387261737
umn,Q3,no2_5y,NA,continuous,256,6.353517669413843,0.6523631569092434,6.64335892392791,5.613855913355623,7.012269899338783
umn,Q4,no2_5y,NA,continuous,255,9.228440694315626,1.0044811836806466,9.279841722820724,8.662360510190794,10.043371262836596
umn,Q1,charlson_score,NA,continuous,256,7.23828125,3.3632762060579107,8,4,10
umn,Q2,charlson_score,NA,continuous,256,7.328125,3.112553645494071,8,5,9
umn,Q3,charlson_score,NA,continuous,256,7.45703125,3.5043543467028133,8,4,10
umn,Q4,charlson_score,NA,continuous,255,7.447058823529412,3.3326323178258814,8,4,10
umn,Q1,sofa_total,NA,continuous,256,4.88671875,3.094406619762725,4,3,7
umn,Q2,sofa_total,NA,continuous,256,5.44921875,3.7684655657957435,4,3,8
umn,Q3,sofa_total,NA,continuous,256,5.3515625,3.634453528521226,5,3,7
umn,Q4,sofa_total,NA,continuous,255,5.349019607843137,3.6918388686259704,5,3,8
umn,Q1,sofa_resp,NA,continuous,256,2.13671875,1.286757352920168,2,2,3
umn,Q2,sofa_resp,NA,continuous,256,2.1875,1.2909944487358056,2,2,3
umn,Q3,sofa_resp,NA,continuous,256,2.0703125,1.2905909499140307,2,2,3
umn,Q4,sofa_resp,NA,continuous,255,2.074509803921569,1.2256836654447796,2,2,3
umn,Q1,sofa_cv,NA,continuous,256,1.09375,1.242625304369271,1,0,1
umn,Q2,sofa_cv,NA,continuous,256,1.2890625,1.4039291851310538,1,0,3
umn,Q3,sofa_cv,NA,continuous,256,1.3359375,1.3707152491008652,1,0,3
umn,Q4,sofa_cv,NA,continuous,255,1.4,1.4757888588499073,1,0,3
umn,Q1,sofa_renal,NA,continuous,256,0.32421875,0.6688879965740037,0,0,0
umn,Q2,sofa_renal,NA,continuous,256,0.44140625,0.8566260624008084,0,0,1
umn,Q3,sofa_renal,NA,continuous,256,0.30859375,0.6704434989573078,0,0,0
umn,Q4,sofa_renal,NA,continuous,255,0.4235294117647059,0.7893454467897835,0,0,1
umn,Q1,sofa_liver,NA,continuous,256,0.08203125,0.40233311605497973,0,0,0
umn,Q2,sofa_liver,NA,continuous,256,0.0859375,0.3966001344763598,0,0,0
umn,Q3,sofa_liver,NA,continuous,256,0.140625,0.534817176018783,0,0,0
