site_name,stratum,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75
umn,Overall,age_years,NA,continuous,1023,69.5229716520039,10.046234126450655,70,63,76
umn,Overall,icu_los_hours,NA,continuous,1023,94.31021505376344,120.54407400467477,55.4,25.549999999999997,111.35
umn,Overall,imv_hours_icu,NA,continuous,1023,11.131964809384165,36.43748076704078,0,0,0
umn,Overall,imv_hours_72h,NA,continuous,1023,4.048875855327468,9.27359508284153,0,0,0
umn,Overall,escalations_icu,NA,continuous,1023,1.70772238514174,3.094975568597061,1,0,2
umn,Overall,deescalations_icu,NA,continuous,1023,2.1202346041055717,3.2357184546109385,1,0,3
umn,Overall,vaso_hours_72h,NA,continuous,1023,5.746823069403715,13.047835638461756,0,0,4
umn,Overall,vaso_mean_72h,NA,continuous,1023,0.3020527859237537,0.4593725930081223,0,0,1
umn,Overall,pm25_1y,NA,continuous,1023,7.678499769954738,1.5826438816499948,7.564219951629639,6.750410079956055,8.171156883239746
umn,Overall,pm25_3y,NA,continuous,1023,7.234780286295324,0.9537828789397239,7.149895826975505,6.813978989919026,7.811018239973722
umn,Overall,pm25_5y,NA,continuous,1023,7.049112746558604,0.8243944541338467,7.1318421464297455,6.619254713051175,7.627609572890242
umn,Overall,no2_1y,NA,continuous,1023,4.792649255758767,2.3378634033594934,4.552052341458977,3.3397216796875,6.312636375427246
umn,Overall,no2_3y,NA,continuous,1023,5.3241632179173015,2.4467906977996665,5.109081586201985,3.893962303797404,6.9216030438741045
umn,Overall,no2_5y,NA,continuous,1023,5.7653086857817835,2.483532130543185,5.425072713512889,4.065722894668579,7.156339470899031
umn,Overall,charlson_score,NA,continuous,1023,7.367546432062561,3.3274936269101505,8,4,10
umn,Overall,sofa_total,NA,continuous,1023,5.259042033235581,3.5586164912632787,4,3,7
umn,Overall,sofa_resp,NA,continuous,1023,2.1173020527859236,1.272901270902598,2,2,3
umn,Overall,sofa_cv,NA,continuous,1023,1.2795698924731183,1.37849112423746,1,0,1
umn,Overall,sofa_renal,NA,continuous,1023,0.37438905180840665,0.7517813113370899,0,0,1
umn,Overall,sofa_liver,NA,continuous,1023,0.0967741935483871,0.43278029257646783,0,0,0
umn,Overall,sofa_coag,NA,continuous,1023,0.4780058651026393,0.9190605749755416,0,0,1
umn,Overall,sofa_cns,NA,continuous,1023,0.9130009775171065,1.3356679570119498,0,0,1
