county_code,traj_cluster_ra,n,county_total,prop_cluster_in_county,cluster_total,prop_county_in_cluster,n_suppressed,prop_cluster_in_county_suppressed,prop_county_in_cluster_suppressed,site_name
10003,1,1,1,1,2359,4.23908435777872e-4,NA,NA,NA,emory
11001,1,1,1,1,2359,4.23908435777872e-4,NA,NA,NA,emory
12011,2,1,1,1,1849,5.408328826392645e-4,NA,NA,NA,emory
12019,1,1,2,0.5,2359,4.23908435777872e-4,NA,NA,NA,emory
12019,5,1,2,0.5,1042,9.596928982725527e-4,NA,NA,NA,emory
12023,2,1,2,0.5,1849,5.408328826392645e-4,NA,NA,NA,emory
12023,5,1,2,0.5,1042,9.596928982725527e-4,NA,NA,NA,emory
12031,1,1,1,1,2359,4.23908435777872e-4,NA,NA,NA,emory
12033,1,1,1,1,2359,4.23908435777872e-4,NA,NA,NA,emory
12053,3,1,1,1,1466,6.821282401091405e-4,NA,NA,NA,emory
12057,2,1,1,1,1849,5.408328826392645e-4,NA,NA,NA,emory
12069,1,1,2,0.5,2359,4.23908435777872e-4,NA,NA,NA,emory
12069,5,1,2,0.5,1042,9.596928982725527e-4,NA,NA,NA,emory
12071,1,1,2,0.5,2359,4.23908435777872e-4,NA,NA,NA,emory
12071,4,1,2,0.5,1943,5.14668039114771e-4,NA,NA,NA,emory
12073,1,2,3,0.6666666666666666,2359,8.47816871555744e-4,NA,NA,NA,emory
12073,2,1,3,0.3333333333333333,1849,5.408328826392645e-4,NA,NA,NA,emory
12081,3,1,1,1,1466,6.821282401091405e-4,NA,NA,NA,emory
12086,1,2,5,0.4,2359,8.47816871555744e-4,NA,NA,NA,emory
12086,3,1,5,0.2,1466,6.821282401091405e-4,NA,NA,NA,emory
12086,4,2,5,0.4,1943,0.001029336078229542,NA,NA,NA,emory
12089,4,1,1,1,1943,5.14668039114771e-4,NA,NA,NA,emory
12095,2,2,2,1,1849,0.001081665765278529,NA,NA,NA,emory
12099,2,1,1,1,1849,5.408328826392645e-4,NA,NA,NA,emory
12101,1,1,1,1,2359,4.23908435777872e-4,NA,NA,NA,emory
12103,4,1,1,1,1943,5.14668039114771e-4,NA,NA,NA,emory
12105,2,1,1,1,1849,5.408328826392645e-4,NA,NA,NA,emory
12111,1,1,1,1,2359,4.23908435777872e-4,NA,NA,NA,emory
12113,3,1,1,1,1466,6.821282401091405e-4,NA,NA,NA,emory
12115,1,2,2,1,2359,8.47816871555744e-4,NA,NA,NA,emory
12117,1,1,1,1,2359,4.23908435777872e-4,NA,NA,NA,emory
12131,1,1,2,0.5,2359,4.23908435777872e-4,NA,NA,NA,emory
12131,5,1,2,0.5,1042,9.596928982725527e-4,NA,NA,NA,emory
12133,4,1,2,0.5,1943,5.14668039114771e-4,NA,NA,NA,emory
12133,5,1,2,0.5,1042,9.596928982725527e-4,NA,NA,NA,emory
13001,1,1,4,0.25,2359,4.23908435777872e-4,NA,NA,NA,emory
13001,2,1,4,0.25,1849,5.408328826392645e-4,NA,NA,NA,emory
13001,5,2,4,0.5,1042,0.0019193857965451055,NA,NA,NA,emory
13003,2,1,1,1,1849,5.408328826392645e-4,NA,NA,NA,emory
13005,4,1,3,0.3333333333333333,1943,5.14668039114771e-4,NA,NA,NA,emory
13005,5,2,3,0.6666666666666666,1042,0.0019193857965451055,NA,NA,NA,emory
13007,1,1,1,1,2359,4.23908435777872e-4,NA,NA,NA,emory
13009,1,3,6,0.5,2359,0.001271725307333616,NA,NA,NA,emory
13009,4,3,6,0.5,1943,0.001544004117344313,NA,NA,NA,emory
13011,1,1,3,0.3333333333333333,2359,4.23908435777872e-4,NA,NA,NA,emory
13011,3,1,3,0.3333333333333333,1466,6.821282401091405e-4,NA,NA,NA,emory
13011,4,1,3,0.3333333333333333,1943,5.14668039114771e-4,NA,NA,NA,emory
13013,1,3,20,0.15,2359,0.001271725307333616,NA,NA,NA,emory
13013,2,6,20,0.3,1849,0.003244997295835587,NA,NA,NA,emory
13013,3,2,20,0.1,1466,0.001364256480218281,NA,NA,NA,emory
13013,4,3,20,0.15,1943,0.001544004117344313,NA,NA,NA,emory
13013,5,6,20,0.3,1042,0.005758157389635317,NA,NA,NA,emory
13015,1,6,23,0.2608695652173913,2359,0.002543450614667232,NA,NA,NA,emory
13015,2,2,23,0.08695652173913043,1849,0.001081665765278529,NA,NA,NA,emory
13015,3,6,23,0.2608695652173913,1466,0.004092769440654843,NA,NA,NA,emory
13015,4,5,23,0.21739130434782608,1943,0.0025733401955738548,NA,NA,NA,emory
13015,5,4,23,0.17391304347826086,1042,0.003838771593090211,NA,NA,NA,emory
13017,1,2,8,0.25,2359,8.47816871555744e-4,NA,NA,NA,emory
13017,3,4,8,0.5,1466,0.002728512960436562,NA,NA,NA,emory
