county_code,site_name,county_total,dominant_cluster,dominant_cluster_prop,n_clusters_present,cluster_entropy,county_total_suppressed,dominant_cluster_prop_suppressed,dominant_cluster_suppressed,cluster_entropy_suppressed
10003,emory,1,1,1,1,-0,NA,NA,NA,NA
11001,emory,1,1,1,1,-0,NA,NA,NA,NA
12011,emory,1,2,1,1,-0,NA,NA,NA,NA
12019,emory,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
12023,emory,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
12031,emory,1,1,1,1,-0,NA,NA,NA,NA
12033,emory,1,1,1,1,-0,NA,NA,NA,NA
12053,emory,1,3,1,1,-0,NA,NA,NA,NA
12057,emory,1,2,1,1,-0,NA,NA,NA,NA
12069,emory,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
12071,emory,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
12073,emory,3,1,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
12081,emory,1,3,1,1,-0,NA,NA,NA,NA
12086,emory,5,1,0.4,3,1.0549201679861442,NA,NA,NA,NA
12089,emory,1,4,1,1,-0,NA,NA,NA,NA
12095,emory,2,2,1,1,-0,NA,NA,NA,NA
12099,emory,1,2,1,1,-0,NA,NA,NA,NA
12101,emory,1,1,1,1,-0,NA,NA,NA,NA
12103,emory,1,4,1,1,-0,NA,NA,NA,NA
12105,emory,1,2,1,1,-0,NA,NA,NA,NA
12111,emory,1,1,1,1,-0,NA,NA,NA,NA
12113,emory,1,3,1,1,-0,NA,NA,NA,NA
12115,emory,2,1,1,1,-0,NA,NA,NA,NA
12117,emory,1,1,1,1,-0,NA,NA,NA,NA
12131,emory,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
12133,emory,2,4,0.5,2,0.6931471805599453,NA,NA,NA,NA
13001,emory,4,5,0.5,3,1.0397207708399179,NA,NA,NA,NA
13003,emory,1,2,1,1,-0,NA,NA,NA,NA
13005,emory,3,5,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
13007,emory,1,1,1,1,-0,NA,NA,NA,NA
13009,emory,6,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
13011,emory,3,1,0.3333333333333333,3,1.0986122886681096,NA,NA,NA,NA
13013,emory,20,2,0.3,5,1.5217781873607306,20,0.3,2,1.5217781873607306
13015,emory,23,1,0.2608695652173913,5,1.549417042081036,23,0.2608695652173913,1,1.549417042081036
13017,emory,8,3,0.5,3,1.0397207708399179,NA,NA,NA,NA
13019,emory,5,1,0.6,2,0.6730116670092565,NA,NA,NA,NA
13021,emory,50,4,0.52,5,1.3346138057336574,50,0.52,4,1.3346138057336574
13023,emory,4,3,0.5,3,1.0397207708399179,NA,NA,NA,NA
13027,emory,2,4,0.5,2,0.6931471805599453,NA,NA,NA,NA
13029,emory,1,4,1,1,-0,NA,NA,NA,NA
