county_code,site_name,county_total,dominant_cluster,dominant_cluster_prop,n_clusters_present,cluster_entropy,county_total_suppressed,dominant_cluster_prop_suppressed,dominant_cluster_suppressed,cluster_entropy_suppressed
00000,Hopkins,1,1,1,1,-0,NA,NA,NA,NA
01089,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
01115,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
02000,Hopkins,1,5,1,1,-0,NA,NA,NA,NA
04013,Hopkins,23,4,0.8260869565217391,3,0.5825842452160127,23,0.8260869565217391,4,0.5825842452160127
06013,Hopkins,1,1,1,1,-0,NA,NA,NA,NA
06037,Hopkins,34,5,0.5,3,0.8050062185928623,34,0.5,5,0.8050062185928623
06059,Hopkins,3,1,0.3333333333333333,3,1.0986122886681096,NA,NA,NA,NA
06067,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
06071,Hopkins,1,1,1,1,-0,NA,NA,NA,NA
06087,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
06113,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
08005,Hopkins,1,5,1,1,-0,NA,NA,NA,NA
08069,Hopkins,18,4,0.8888888888888888,3,0.4258484492385814,18,0.8888888888888888,4,0.4258484492385814
09000,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
09001,Hopkins,17,1,0.9411764705882353,2,0.22371807606583377,17,0.9411764705882353,1,0.22371807606583377
09003,Hopkins,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
09007,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
09009,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
09011,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
10000,Hopkins,37,2,0.4594594594594595,4,0.9699571542920289,37,0.4594594594594595,2,0.9699571542920289
10001,Hopkins,14,1,0.2857142857142857,4,1.376055285260417,14,0.2857142857142857,1,1.376055285260417
10003,Hopkins,8,1,0.25,5,1.559581156259877,NA,NA,NA,NA
10005,Hopkins,55,5,0.34545454545454546,5,1.4964658411118401,55,0.34545454545454546,5,1.4964658411118401
11000,Hopkins,681,4,0.3788546255506608,5,1.4626937229226193,681,0.3788546255506608,4,1.4626937229226193
11001,Hopkins,2068,3,0.3994197292069632,5,1.448861506052333,2068,0.3994197292069632,3,1.448861506052333
12000,Hopkins,4,4,0.5,3,1.0397207708399179,NA,NA,NA,NA
12001,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
12009,Hopkins,1,5,1,1,-0,NA,NA,NA,NA
12011,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
12013,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
12021,Hopkins,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
12031,Hopkins,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
12035,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
12057,Hopkins,33,2,0.48484848484848486,3,0.8079366792945711,33,0.48484848484848486,2,0.8079366792945711
