site_name,stratum,variable,level,summary_type,n,denom,prop
Hopkins,Q1,sex_category,Female,categorical,4759,10648,0.4469383921863261
Hopkins,Q1,sex_category,Male,categorical,5873,10648,0.5515589782118707
Hopkins,Q1,sex_category,Unknown,categorical,16,10648,0.0015026296018031556
Hopkins,Q2,sex_category,Female,categorical,4839,10648,0.45445154019534184
Hopkins,Q2,sex_category,Male,categorical,5809,10648,0.5455484598046582
Hopkins,Q3,sex_category,Female,categorical,4867,10648,0.45708114199849736
Hopkins,Q3,sex_category,Male,categorical,5781,10648,0.5429188580015026
Hopkins,Q4,sex_category,Female,categorical,4561,10647,0.42838358222973605
Hopkins,Q4,sex_category,Male,categorical,6086,10647,0.571616417770264
Hopkins,NA,sex_category,Female,categorical,1035,2837,0.36482199506520974
Hopkins,NA,sex_category,Male,categorical,1786,2837,0.6295382446246035
Hopkins,NA,sex_category,Unknown,categorical,16,2837,0.005639760310186817
Hopkins,Q1,race_category,American Indian or Alaska Native,categorical,9,10648,8.452291510142749e-4
Hopkins,Q1,race_category,Asian,categorical,479,10648,0.04498497370398197
Hopkins,Q1,race_category,Black or African American,categorical,2468,10648,0.23178061607813674
Hopkins,Q1,race_category,Native Hawaiian or Other Pacific Islander,categorical,5,10648,4.695717505634861e-4
Hopkins,Q1,race_category,Other,categorical,772,10648,0.07250187828700225
Hopkins,Q1,race_category,Unknown,categorical,41,10648,0.003850488354620586
Hopkins,Q1,race_category,White,categorical,6874,10648,0.6455672426746807
Hopkins,Q2,race_category,American Indian or Alaska Native,categorical,12,10648,0.0011269722013523666
Hopkins,Q2,race_category,Asian,categorical,593,10648,0.055691209616829454
Hopkins,Q2,race_category,Black or African American,categorical,3014,10648,0.2830578512396694
Hopkins,Q2,race_category,Native Hawaiian or Other Pacific Islander,categorical,35,10648,0.0032870022539444026
Hopkins,Q2,race_category,Other,categorical,884,10648,0.08302028549962434
Hopkins,Q2,race_category,Unknown,categorical,51,10648,0.004789631855747558
Hopkins,Q2,race_category,White,categorical,6059,10648,0.5690270473328325
Hopkins,Q3,race_category,American Indian or Alaska Native,categorical,43,10648,0.004038317054845981
Hopkins,Q3,race_category,Asian,categorical,462,10648,0.04338842975206612
Hopkins,Q3,race_category,Black or African American,categorical,4980,10648,0.46769346356123215
Hopkins,Q3,race_category,Native Hawaiian or Other Pacific Islander,categorical,3,10648,2.8174305033809165e-4
Hopkins,Q3,race_category,Other,categorical,754,10648,0.0708114199849737
Hopkins,Q3,race_category,Unknown,categorical,22,10648,0.002066115702479339
Hopkins,Q3,race_category,White,categorical,4384,10648,0.41172051089406464
Hopkins,Q4,race_category,American Indian or Alaska Native,categorical,69,10647,0.006480698788391096
Hopkins,Q4,race_category,Asian,categorical,108,10647,0.01014370245139476
Hopkins,Q4,race_category,Black or African American,categorical,7027,10647,0.6599981215365831
Hopkins,Q4,race_category,Native Hawaiian or Other Pacific Islander,categorical,3,10647,2.817695125387433e-4
Hopkins,Q4,race_category,Other,categorical,523,10647,0.04912181835258758
Hopkins,Q4,race_category,Unknown,categorical,33,10647,0.0030994646379261764
Hopkins,Q4,race_category,White,categorical,2884,10647,0.27087442472057854
Hopkins,NA,race_category,American Indian or Alaska Native,categorical,1,2837,3.5248501938667606e-4
Hopkins,NA,race_category,Asian,categorical,109,2837,0.03842086711314769
Hopkins,NA,race_category,Black or African American,categorical,1119,2837,0.3944307366936905
Hopkins,NA,race_category,Other,categorical,269,2837,0.09481847021501587
Hopkins,NA,race_category,Unknown,categorical,25,2837,0.008812125484666901
Hopkins,NA,race_category,White,categorical,1314,2837,0.46316531547409234
Hopkins,Q1,ethnicity_category,Hispanic,categorical,491,10648,0.04611194590533434
Hopkins,Q1,ethnicity_category,Non-Hispanic,categorical,8417,10648,0.7904770848985725
Hopkins,Q1,ethnicity_category,Unknown,categorical,1740,10648,0.16341096919609316
Hopkins,Q2,ethnicity_category,Hispanic,categorical,678,10648,0.06367392937640871
Hopkins,Q2,ethnicity_category,Non-Hispanic,categorical,9801,10648,0.9204545454545454
Hopkins,Q2,ethnicity_category,Unknown,categorical,169,10648,0.01587152516904583
Hopkins,Q3,ethnicity_category,Hispanic,categorical,405,10648,0.038035311795642374
Hopkins,Q3,ethnicity_category,Non-Hispanic,categorical,9039,10648,0.8488918106686701
Hopkins,Q3,ethnicity_category,Unknown,categorical,1204,10648,0.11307287753568745
Hopkins,Q4,ethnicity_category,Hispanic,categorical,560,10647,0.05259697567389875
Hopkins,Q4,ethnicity_category,Non-Hispanic,categorical,9999,10647,0.9391377852916315
Hopkins,Q4,ethnicity_category,Unknown,categorical,88,10647,0.008265239034469804
Hopkins,NA,ethnicity_category,Hispanic,categorical,215,2837,0.07578427916813535
Hopkins,NA,ethnicity_category,Non-Hispanic,categorical,2291,2837,0.8075431794148749
Hopkins,NA,ethnicity_category,Unknown,categorical,331,2837,0.11667254141698978
Hopkins,Q1,device_t0,CPAP,categorical,4,10648,3.756574004507889e-4
Hopkins,Q1,device_t0,FACE MASK,categorical,624,10648,0.058602554470323066
Hopkins,Q1,device_t0,HIGH FLOW NC,categorical,669,10648,0.06282870022539444
Hopkins,Q1,device_t0,IMV,categorical,3126,10648,0.2935762584522915
Hopkins,Q1,device_t0,NASAL CANNULA,categorical,1629,10648,0.15298647633358378
Hopkins,Q1,device_t0,NIPPV,categorical,852,10648,0.08001502629601803
Hopkins,Q1,device_t0,ROOM AIR,categorical,902,10648,0.08471074380165289
Hopkins,Q1,device_t0,TRACH COLLAR,categorical,21,10648,0.0019722013523666418
Hopkins,Q1,device_t0,UNK,categorical,2682,10648,0.25187828700225395
Hopkins,Q1,device_t0,NA,categorical,139,10648,0.013054094665664914
Hopkins,Q2,device_t0,CPAP,categorical,6,10648,5.634861006761833e-4
Hopkins,Q2,device_t0,FACE MASK,categorical,784,10648,0.07362885048835462
