site_name,stratum,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75
Hopkins,Q1,age_years,NA,continuous,10648,59.93247558226897,18.46440873582777,62,47,74
Hopkins,Q2,age_years,NA,continuous,10648,61.19045830202855,17.427383588691455,63,50,74
Hopkins,Q3,age_years,NA,continuous,10648,59.710086401202105,17.31462359302594,61,49,73
Hopkins,Q4,age_years,NA,continuous,10647,58.741993049685355,16.650912553663897,60,47.5,70
Hopkins,NA,age_years,NA,continuous,2837,58.22805780754318,18.33577901730797,61,43,71
Hopkins,Q1,icu_los_hours,NA,continuous,10648,263.8187985224142,437.41720569499626,121.28333333333333,54.14583333333333,300.71666666666664
Hopkins,Q2,icu_los_hours,NA,continuous,10648,208.2183962559479,280.9906526844914,104.73333333333333,49.983333333333334,260.55
Hopkins,Q3,icu_los_hours,NA,continuous,10648,192.63764713248185,262.70302750759083,110.17500000000001,49.43333333333333,222.01666666666668
Hopkins,Q4,icu_los_hours,NA,continuous,10647,198.6190820575436,273.0646021105601,112.88333333333334,55.25,256.76666666666665
Hopkins,NA,icu_los_hours,NA,continuous,2837,234.0956291857596,423.26887662484825,111.05,44.3,253.68333333333334
Hopkins,Q1,imv_hours_icu,NA,continuous,10648,26.062077385424494,49.03470953766189,8,0,31
Hopkins,Q2,imv_hours_icu,NA,continuous,10648,21.466848234410218,38.19220507817806,5,0,27
Hopkins,Q3,imv_hours_icu,NA,continuous,10648,20.280522163786628,35.573754048604705,6,0,24
Hopkins,Q4,imv_hours_icu,NA,continuous,10647,19.513290128674743,35.69907031039289,7,0,23
Hopkins,NA,imv_hours_icu,NA,continuous,2837,25.27035600986958,51.04632854178012,6,0,27
Hopkins,Q1,imv_hours_72h,NA,continuous,10648,7.192806160781368,6.773427831900347,6,0,13
Hopkins,Q2,imv_hours_72h,NA,continuous,10648,6.269252441773103,6.6597530596261745,4,0,13
Hopkins,Q3,imv_hours_72h,NA,continuous,10648,6.858001502629602,7.111975213748079,5,0,14
Hopkins,Q4,imv_hours_72h,NA,continuous,10647,6.53141730064807,6.421224850814709,5,0,13
Hopkins,NA,imv_hours_72h,NA,continuous,2837,6.763835037010927,6.8734215901846545,5,0,13
Hopkins,Q1,escalations_icu,NA,continuous,10648,2.668200601051841,6.834906956672453,1,0,3
Hopkins,Q2,escalations_icu,NA,continuous,10648,2.013899323816679,4.653262790510146,1,0,2
