site_name,stratum,variable,level,summary_type,n,denom,prop
Hopkins,1,sex_category,Female,categorical,425,840,0.5059523809523809
Hopkins,1,sex_category,Male,categorical,415,840,0.49404761904761907
Hopkins,2,sex_category,Female,categorical,330,660,0.5
Hopkins,2,sex_category,Male,categorical,330,660,0.5
Hopkins,3,sex_category,Female,categorical,84,187,0.44919786096256686
Hopkins,3,sex_category,Male,categorical,103,187,0.5508021390374331
Hopkins,4,sex_category,Female,categorical,111,247,0.4493927125506073
Hopkins,4,sex_category,Male,categorical,136,247,0.5506072874493927
Hopkins,NA,sex_category,Female,categorical,6,8,0.75
Hopkins,NA,sex_category,Male,categorical,2,8,0.25
Hopkins,1,race_category,American Indian or Alaska Native,categorical,2,840,0.002380952380952381
Hopkins,1,race_category,Asian,categorical,49,840,0.058333333333333334
Hopkins,1,race_category,Black or African American,categorical,207,840,0.24642857142857144
Hopkins,1,race_category,Native Hawaiian or Other Pacific Islander,categorical,1,840,0.0011904761904761906
Hopkins,1,race_category,Other,categorical,30,840,0.03571428571428571
Hopkins,1,race_category,Unknown,categorical,6,840,0.007142857142857143
Hopkins,1,race_category,White,categorical,545,840,0.6488095238095238
Hopkins,2,race_category,American Indian or Alaska Native,categorical,4,660,0.006060606060606061
Hopkins,2,race_category,Asian,categorical,25,660,0.03787878787878788
Hopkins,2,race_category,Black or African American,categorical,145,660,0.2196969696969697
Hopkins,2,race_category,Native Hawaiian or Other Pacific Islander,categorical,3,660,0.004545454545454545
Hopkins,2,race_category,Other,categorical,20,660,0.030303030303030304
Hopkins,2,race_category,Unknown,categorical,3,660,0.004545454545454545
Hopkins,2,race_category,White,categorical,460,660,0.696969696969697
Hopkins,3,race_category,Asian,categorical,12,187,0.06417112299465241
Hopkins,3,race_category,Black or African American,categorical,40,187,0.21390374331550802
Hopkins,3,race_category,Native Hawaiian or Other Pacific Islander,categorical,3,187,0.016042780748663103
Hopkins,3,race_category,Other,categorical,15,187,0.08021390374331551
Hopkins,3,race_category,Unknown,categorical,2,187,0.0106951871657754
Hopkins,3,race_category,White,categorical,115,187,0.6149732620320856
Hopkins,4,race_category,Asian,categorical,19,247,0.07692307692307693
Hopkins,4,race_category,Black or African American,categorical,75,247,0.30364372469635625
Hopkins,4,race_category,Native Hawaiian or Other Pacific Islander,categorical,1,247,0.004048582995951417
Hopkins,4,race_category,Other,categorical,9,247,0.03643724696356275
Hopkins,4,race_category,White,categorical,143,247,0.5789473684210527
Hopkins,NA,race_category,Black or African American,categorical,4,8,0.5
Hopkins,NA,race_category,White,categorical,4,8,0.5
Hopkins,1,ethnicity_category,Hispanic,categorical,17,840,0.02023809523809524
Hopkins,1,ethnicity_category,Non-Hispanic,categorical,758,840,0.9023809523809524
Hopkins,1,ethnicity_category,Unknown,categorical,65,840,0.07738095238095238
Hopkins,2,ethnicity_category,Hispanic,categorical,9,660,0.013636363636363636
Hopkins,2,ethnicity_category,Non-Hispanic,categorical,609,660,0.9227272727272727
Hopkins,2,ethnicity_category,Unknown,categorical,42,660,0.06363636363636363
Hopkins,3,ethnicity_category,Hispanic,categorical,6,187,0.03208556149732621
Hopkins,3,ethnicity_category,Non-Hispanic,categorical,164,187,0.8770053475935828
Hopkins,3,ethnicity_category,Unknown,categorical,17,187,0.09090909090909091
Hopkins,4,ethnicity_category,Hispanic,categorical,3,247,0.012145748987854251
Hopkins,4,ethnicity_category,Non-Hispanic,categorical,230,247,0.9311740890688259
Hopkins,4,ethnicity_category,Unknown,categorical,14,247,0.05668016194331984
Hopkins,NA,ethnicity_category,Non-Hispanic,categorical,7,8,0.875
Hopkins,NA,ethnicity_category,Unknown,categorical,1,8,0.125
Hopkins,1,device_t0,FACE MASK,categorical,146,840,0.1738095238095238
Hopkins,1,device_t0,HIGH FLOW NC,categorical,2,840,0.002380952380952381
Hopkins,1,device_t0,IMV,categorical,26,840,0.030952380952380953
Hopkins,1,device_t0,NASAL CANNULA,categorical,271,840,0.32261904761904764
Hopkins,1,device_t0,NIPPV,categorical,17,840,0.02023809523809524
Hopkins,1,device_t0,ROOM AIR,categorical,325,840,0.3869047619047619
Hopkins,1,device_t0,UNK,categorical,28,840,0.03333333333333333
Hopkins,1,device_t0,NA,categorical,25,840,0.02976190476190476
Hopkins,2,device_t0,CPAP,categorical,1,660,0.0015151515151515152
Hopkins,2,device_t0,FACE MASK,categorical,92,660,0.1393939393939394
Hopkins,2,device_t0,HIGH FLOW NC,categorical,32,660,0.048484848484848485
Hopkins,2,device_t0,IMV,categorical,32,660,0.048484848484848485
Hopkins,2,device_t0,NASAL CANNULA,categorical,308,660,0.4666666666666667
Hopkins,2,device_t0,NIPPV,categorical,62,660,0.09393939393939393
Hopkins,2,device_t0,ROOM AIR,categorical,54,660,0.08181818181818182
Hopkins,2,device_t0,TRACH COLLAR,categorical,5,660,0.007575757575757576
Hopkins,2,device_t0,UNK,categorical,61,660,0.09242424242424242
Hopkins,2,device_t0,NA,categorical,13,660,0.019696969696969695
Hopkins,3,device_t0,FACE MASK,categorical,36,187,0.1925133689839572
Hopkins,3,device_t0,HIGH FLOW NC,categorical,57,187,0.3048128342245989
Hopkins,3,device_t0,IMV,categorical,7,187,0.0374331550802139
Hopkins,3,device_t0,NASAL CANNULA,categorical,21,187,0.11229946524064172
Hopkins,3,device_t0,NIPPV,categorical,54,187,0.2887700534759358
Hopkins,3,device_t0,ROOM AIR,categorical,2,187,0.0106951871657754
Hopkins,3,device_t0,UNK,categorical,10,187,0.053475935828877004
Hopkins,4,device_t0,FACE MASK,categorical,13,247,0.05263157894736842
Hopkins,4,device_t0,HIGH FLOW NC,categorical,8,247,0.032388663967611336
Hopkins,4,device_t0,IMV,categorical,103,247,0.41700404858299595
Hopkins,4,device_t0,NASAL CANNULA,categorical,20,247,0.08097165991902834
Hopkins,4,device_t0,NIPPV,categorical,17,247,0.06882591093117409
Hopkins,4,device_t0,ROOM AIR,categorical,10,247,0.04048582995951417
Hopkins,4,device_t0,TRACH COLLAR,categorical,1,247,0.004048582995951417
Hopkins,4,device_t0,UNK,categorical,74,247,0.29959514170040485
Hopkins,4,device_t0,NA,categorical,1,247,0.004048582995951417
Hopkins,NA,device_t0,UNK,categorical,3,8,0.375
Hopkins,NA,device_t0,NA,categorical,5,8,0.625
Hopkins,1,traj_cluster_ra,1,categorical,840,840,1
Hopkins,2,traj_cluster_ra,2,categorical,660,660,1
Hopkins,3,traj_cluster_ra,3,categorical,187,187,1
Hopkins,4,traj_cluster_ra,4,categorical,247,247,1
Hopkins,NA,traj_cluster_ra,NA,categorical,8,8,1
Hopkins,1,severity_rank,1,categorical,840,840,1
Hopkins,2,severity_rank,2,categorical,660,660,1
Hopkins,3,severity_rank,3,categorical,187,187,1
Hopkins,4,severity_rank,4,categorical,247,247,1
Hopkins,NA,severity_rank,NA,categorical,8,8,1
