site_name,stratum,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75
Michigan,Overall,age_years,NA,continuous,6437,60.14789498213454,17.156597880566476,63,49,72
Michigan,Overall,icu_los_hours,NA,continuous,6437,244.81919445739044,360.6186671334517,118.95,53.93333333333333,284.26666666666665
Michigan,Overall,imv_hours_icu,NA,continuous,6437,45.364144787944696,87.54634078266193,11,0,52
Michigan,Overall,imv_hours_72h,NA,continuous,6437,12.905080006214074,14.360216498411894,8,0,23
Michigan,Overall,escalations_icu,NA,continuous,6437,2.4853192480969395,4.7852883147815675,1,0,3
Michigan,Overall,deescalations_icu,NA,continuous,6437,3.3667857697685255,4.931712343323219,2,1,4
Michigan,Overall,vaso_hours_72h,NA,continuous,6437,13.660556159701724,20.22046494241432,0,0,22
Michigan,Overall,vaso_mean_72h,NA,continuous,6437,0.4994562684480348,0.5000385468266916,0,0,1
Michigan,Overall,pm25_1y,NA,continuous,6437,7.476040025703355,1.4135821044456232,7.222190856933594,6.534989356994629,8.482508659362793
Michigan,Overall,pm25_3y,NA,continuous,6437,7.173538049347305,1.0377426734567288,7.0657775554781646,6.603879610697429,8.087708632151285
Michigan,Overall,pm25_5y,NA,continuous,6437,7.148296402569927,0.9348473284833271,7.097737884521484,6.75300548837243,7.733484554290772
Michigan,Overall,no2_1y,NA,continuous,6437,4.633293344525431,2.1997458012281776,3.79795503616333,3.005903959274292,5.6907868344208286
Michigan,Overall,no2_3y,NA,continuous,6437,5.041078554654525,2.3778408252863983,4.350640961592146,3.2835542817735717,6.449519205742632
Michigan,Overall,no2_5y,NA,continuous,6437,5.45757498579173,2.5351530620749396,4.6800324955248875,3.7144127368927,6.94347347425981
Michigan,Overall,charlson_score,NA,continuous,6437,3.75656361659158,3.0193990360201726,3,1,6
Michigan,Overall,sofa_total,NA,continuous,6437,8.02998291129408,5.037756964132393,8,4,12
Michigan,Overall,sofa_resp,NA,continuous,6437,2.1120086997048313,1.7295480629631452,3,0,4
Michigan,Overall,sofa_cv,NA,continuous,6437,1.8688830200403914,1.597724904628199,1,0,4
Michigan,Overall,sofa_renal,NA,continuous,6437,0.9022836725182538,1.1560589993093286,0,0,2
Michigan,Overall,sofa_liver,NA,continuous,6437,0.41043964579773184,0.8685888679193029,0,0,0
Michigan,Overall,sofa_coag,NA,continuous,6437,0.6186111542644089,0.9995874213934184,0,0,1
Michigan,Overall,sofa_cns,NA,continuous,6437,2.1177567189684634,1.6254626155583134,3,0,4
