category,file_stub,description
clustering,cluster_silhouette_ra,Silhouette diagnostics for local cluster selection.
clustering,cluster_centroids_federated,Cluster-level centroids for central harmonization.
static_summary,cluster_static_summary,Static cluster summaries including vasoactive mean use.
static_summary,cluster_sofa_summary,SOFA summaries by cluster.
static_summary,cluster_charlson_summary,Charlson summaries by cluster.
trajectory_summary,cluster_signature_rs_hourly,Hourly respiratory support proportions by cluster.
trajectory_summary,cluster_signature_arf_hourly,Hourly ARF subtype proportions by cluster.
model_output,model_outputs_standardized,Standardized coefficient table for all models.
model_output,model_metadata,Model Ns and event counts.
model_output,mediation_style_decomposition_no2,Approximate mediation-style attenuation for NO2.
figure,traj_ra_seqrplot_discrete,Representative sequence figure.
figure,cluster_sofa_domain_signature,SOFA domain signature figure.
figure,sig_rs_area_by_cluster,Respiratory support signature figure.
figure,sig_arf_area_by_cluster,ARF signature figure.
figure,predicted_mortality_by_cluster_no2,Predicted mortality by NO2 and cluster figure.
figure,risk_difference_no2_by_cluster,Absolute NO2 risk difference by cluster figure.
