county_code,traj_cluster_ra,n,county_total,prop_cluster_in_county,cluster_total,prop_county_in_cluster,n_suppressed,prop_cluster_in_county_suppressed,prop_county_in_cluster_suppressed,site_name
01031,2,1,1,1,1351,7.401924500370096e-4,NA,NA,NA,umn
01081,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
02020,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
02170,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
04013,1,1,3,0.3333333333333333,4199,2.3815194093831864e-4,NA,NA,NA,umn
04013,2,1,3,0.3333333333333333,1351,7.401924500370096e-4,NA,NA,NA,umn
04013,3,1,3,0.3333333333333333,3180,3.1446540880503143e-4,NA,NA,NA,umn
04015,2,1,2,0.5,1351,7.401924500370096e-4,NA,NA,NA,umn
04015,5,1,2,0.5,1490,6.711409395973154e-4,NA,NA,NA,umn
04021,1,2,4,0.5,4199,4.763038818766373e-4,NA,NA,NA,umn
04021,4,1,4,0.25,3128,3.1969309462915604e-4,NA,NA,NA,umn
04021,5,1,4,0.25,1490,6.711409395973154e-4,NA,NA,NA,umn
04025,1,1,2,0.5,4199,2.3815194093831864e-4,NA,NA,NA,umn
04025,3,1,2,0.5,3180,3.1446540880503143e-4,NA,NA,NA,umn
05007,1,2,2,1,4199,4.763038818766373e-4,NA,NA,NA,umn
05051,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
05139,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
06013,1,1,2,0.5,4199,2.3815194093831864e-4,NA,NA,NA,umn
06013,3,1,2,0.5,3180,3.1446540880503143e-4,NA,NA,NA,umn
06037,1,1,2,0.5,4199,2.3815194093831864e-4,NA,NA,NA,umn
06037,4,1,2,0.5,3128,3.1969309462915604e-4,NA,NA,NA,umn
06059,2,1,2,0.5,1351,7.401924500370096e-4,NA,NA,NA,umn
06059,4,1,2,0.5,3128,3.1969309462915604e-4,NA,NA,NA,umn
06065,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
06081,2,1,1,1,1351,7.401924500370096e-4,NA,NA,NA,umn
06099,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
06107,2,1,1,1,1351,7.401924500370096e-4,NA,NA,NA,umn
08001,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
08013,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
08041,4,1,2,0.5,3128,3.1969309462915604e-4,NA,NA,NA,umn
08041,5,1,2,0.5,1490,6.711409395973154e-4,NA,NA,NA,umn
08069,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
08119,5,1,1,1,1490,6.711409395973154e-4,NA,NA,NA,umn
11001,3,1,2,0.5,3180,3.1446540880503143e-4,NA,NA,NA,umn
11001,4,1,2,0.5,3128,3.1969309462915604e-4,NA,NA,NA,umn
12021,1,2,2,1,4199,4.763038818766373e-4,NA,NA,NA,umn
12057,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
12071,4,1,2,0.5,3128,3.1969309462915604e-4,NA,NA,NA,umn
12071,5,1,2,0.5,1490,6.711409395973154e-4,NA,NA,NA,umn
12081,1,1,2,0.5,4199,2.3815194093831864e-4,NA,NA,NA,umn
12081,4,1,2,0.5,3128,3.1969309462915604e-4,NA,NA,NA,umn
12083,3,4,4,1,3180,0.0012578616352201257,NA,NA,NA,umn
12091,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
12099,1,1,2,0.5,4199,2.3815194093831864e-4,NA,NA,NA,umn
12099,3,1,2,0.5,3180,3.1446540880503143e-4,NA,NA,NA,umn
12103,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
12107,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
12115,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
12127,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
13063,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
13117,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
13139,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
13223,5,1,1,1,1490,6.711409395973154e-4,NA,NA,NA,umn
15009,5,1,1,1,1490,6.711409395973154e-4,NA,NA,NA,umn
17031,1,1,7,0.14285714285714285,4199,2.3815194093831864e-4,NA,NA,NA,umn
17031,3,2,7,0.2857142857142857,3180,6.289308176100629e-4,NA,NA,NA,umn
17031,4,3,7,0.42857142857142855,3128,9.590792838874681e-4,NA,NA,NA,umn
17031,5,1,7,0.14285714285714285,1490,6.711409395973154e-4,NA,NA,NA,umn
17043,1,1,2,0.5,4199,2.3815194093831864e-4,NA,NA,NA,umn
17043,4,1,2,0.5,3128,3.1969309462915604e-4,NA,NA,NA,umn
17143,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
17163,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
17167,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
17197,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
17201,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
18097,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
18149,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
18157,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
19013,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
19027,5,1,1,1,1490,6.711409395973154e-4,NA,NA,NA,umn
19033,1,2,8,0.25,4199,4.763038818766373e-4,NA,NA,NA,umn
19033,2,1,8,0.125,1351,7.401924500370096e-4,NA,NA,NA,umn
19033,3,3,8,0.375,3180,9.433962264150943e-4,NA,NA,NA,umn
19033,4,2,8,0.25,3128,6.393861892583121e-4,NA,NA,NA,umn
19037,1,2,2,1,4199,4.763038818766373e-4,NA,NA,NA,umn
19041,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
19049,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
19081,1,2,2,1,4199,4.763038818766373e-4,NA,NA,NA,umn
19091,3,1,1,1,3180,3.1446540880503143e-4,NA,NA,NA,umn
19143,1,1,1,1,4199,2.3815194093831864e-4,NA,NA,NA,umn
19151,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
19167,1,1,4,0.25,4199,2.3815194093831864e-4,NA,NA,NA,umn
19167,2,2,4,0.5,1351,0.0014803849000740192,NA,NA,NA,umn
