site_name,stratum,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75
umn,Overall,age_years,NA,continuous,13383,63.57617873421505,16.97933653624061,66,54,76
umn,Overall,icu_los_hours,NA,continuous,13383,150.85035368253256,226.6941648299124,77.53333333333333,38.05,170.775
umn,Overall,imv_hours_icu,NA,continuous,13383,32.57184487783008,75.21566097689463,0,0,30
umn,Overall,imv_hours_72h,NA,continuous,13383,9.672121347978779,13.026665421045001,0,0,21
umn,Overall,escalations_icu,NA,continuous,13383,2.048569080176343,3.7515545534644157,1,0,3
umn,Overall,deescalations_icu,NA,continuous,13383,2.7711275498767094,3.829948723550237,2,1,3
umn,Overall,vaso_hours_72h,NA,continuous,13383,9.399013674064111,17.026453230881994,0,0,12
umn,Overall,vaso_mean_72h,NA,continuous,13383,0.40140476724202345,0.49020091336486316,0,0,1
umn,Overall,pm25_1y,NA,continuous,13380,7.768344451208642,1.5389534067821624,7.61306095123291,6.767168998718262,8.204638481140137
umn,Overall,pm25_3y,NA,continuous,13380,7.304043263551321,0.9209987835188869,7.166177113850911,6.961209795874657,7.835939407348633
umn,Overall,pm25_5y,NA,continuous,13380,7.11034855571245,0.7910839313851121,7.192163753509521,6.832431997062147,7.627609572890242
umn,Overall,no2_1y,NA,continuous,13380,4.7839577238669335,2.1888558823993436,4.681580543518066,3.509647846221924,6.312636375427246
umn,Overall,no2_3y,NA,continuous,13380,5.334477188618341,2.348409793958428,5.121924940216318,3.895290295283,7.069247423784649
umn,Overall,no2_5y,NA,continuous,13380,5.861863544006824,2.4088065581272264,5.470484640398333,4.068783760070801,7.812821361900971
umn,Overall,charlson_score,NA,continuous,13383,3.359710079952178,2.8934441081499673,3,1,5
umn,Overall,sofa_total,NA,continuous,13383,7.3615033998356125,4.162563534406419,7,4,10
umn,Overall,sofa_resp,NA,continuous,13383,2.6881865052678773,1.0877575242264232,3,2,4
umn,Overall,sofa_cv,NA,continuous,13383,1.5720690428155122,1.5361980031566371,1,0,3
umn,Overall,sofa_renal,NA,continuous,13383,0.7271164910707614,1.0907632952375663,0,0,1
umn,Overall,sofa_liver,NA,continuous,13383,0.2475528655757304,0.6723201982591828,0,0,0
umn,Overall,sofa_coag,NA,continuous,13383,0.45236494059627885,0.8398684808554959,0,0,1
umn,Overall,sofa_cns,NA,continuous,13383,1.6742135545094523,1.6506582858634533,1,0,3
