county_code,site_name,county_total,dominant_cluster,dominant_cluster_prop,n_clusters_present,cluster_entropy,county_total_suppressed,dominant_cluster_prop_suppressed,dominant_cluster_suppressed,cluster_entropy_suppressed
01073,nu,1,2,1,1,-0,NA,NA,NA,NA
01081,nu,1,3,1,1,-0,NA,NA,NA,NA
01129,nu,1,3,1,1,-0,NA,NA,NA,NA
02090,nu,1,3,1,1,-0,NA,NA,NA,NA
04013,nu,8,2,0.25,4,1.3862943611198906,NA,NA,NA,NA
04015,nu,1,2,1,1,-0,NA,NA,NA,NA
04019,nu,2,3,1,1,-0,NA,NA,NA,NA
04027,nu,1,1,1,1,-0,NA,NA,NA,NA
05007,nu,1,3,1,1,-0,NA,NA,NA,NA
05093,nu,1,1,1,1,-0,NA,NA,NA,NA
05119,nu,1,4,1,1,-0,NA,NA,NA,NA
05131,nu,1,5,1,1,-0,NA,NA,NA,NA
05143,nu,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
06037,nu,3,2,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
06061,nu,1,5,1,1,-0,NA,NA,NA,NA
06073,nu,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
06075,nu,1,2,1,1,-0,NA,NA,NA,NA
06111,nu,1,1,1,1,-0,NA,NA,NA,NA
06113,nu,2,4,0.5,2,0.6931471805599453,NA,NA,NA,NA
08005,nu,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
08014,nu,1,1,1,1,-0,NA,NA,NA,NA
08031,nu,2,1,1,1,-0,NA,NA,NA,NA
08041,nu,1,2,1,1,-0,NA,NA,NA,NA
08069,nu,1,3,1,1,-0,NA,NA,NA,NA
08117,nu,1,3,1,1,-0,NA,NA,NA,NA
08123,nu,1,2,1,1,-0,NA,NA,NA,NA
09001,nu,1,3,1,1,-0,NA,NA,NA,NA
09190,nu,1,1,1,1,-0,NA,NA,NA,NA
10003,nu,1,4,1,1,-0,NA,NA,NA,NA
11001,nu,3,3,0.3333333333333333,3,1.0986122886681096,NA,NA,NA,NA
12011,nu,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
12015,nu,2,4,0.5,2,0.6931471805599453,NA,NA,NA,NA
12021,nu,6,4,0.3333333333333333,5,1.5607104090414063,NA,NA,NA,NA
12023,nu,1,4,1,1,-0,NA,NA,NA,NA
12031,nu,2,1,1,1,-0,NA,NA,NA,NA
12057,nu,3,4,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
12061,nu,1,1,1,1,-0,NA,NA,NA,NA
12069,nu,1,4,1,1,-0,NA,NA,NA,NA
12071,nu,9,2,0.4444444444444444,4,1.2730283365896256,NA,NA,NA,NA
12081,nu,1,4,1,1,-0,NA,NA,NA,NA
12083,nu,1,4,1,1,-0,NA,NA,NA,NA
12086,nu,4,3,0.5,3,1.0397207708399179,NA,NA,NA,NA
12091,nu,1,5,1,1,-0,NA,NA,NA,NA
12099,nu,1,1,1,1,-0,NA,NA,NA,NA
12101,nu,3,4,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
12103,nu,2,3,1,1,-0,NA,NA,NA,NA
12105,nu,5,1,0.4,3,1.0549201679861442,NA,NA,NA,NA
12109,nu,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
12111,nu,1,4,1,1,-0,NA,NA,NA,NA
12115,nu,9,2,0.5555555555555556,4,1.1490596969706202,NA,NA,NA,NA
12117,nu,1,4,1,1,-0,NA,NA,NA,NA
12119,nu,1,2,1,1,-0,NA,NA,NA,NA
12127,nu,2,4,0.5,2,0.6931471805599453,NA,NA,NA,NA
13051,nu,1,1,1,1,-0,NA,NA,NA,NA
13057,nu,1,3,1,1,-0,NA,NA,NA,NA
13059,nu,1,4,1,1,-0,NA,NA,NA,NA
13067,nu,3,2,0.3333333333333333,3,1.0986122886681096,NA,NA,NA,NA
13089,nu,2,2,1,1,-0,NA,NA,NA,NA
13121,nu,1,4,1,1,-0,NA,NA,NA,NA
15007,nu,1,5,1,1,-0,NA,NA,NA,NA
16019,nu,2,5,1,1,-0,NA,NA,NA,NA
17007,nu,24,1,0.2916666666666667,5,1.5125512105117327,24,0.2916666666666667,1,1.5125512105117327
17011,nu,5,1,0.4,4,1.3321790402101223,NA,NA,NA,NA
17019,nu,22,4,0.4090909090909091,5,1.3976017860180037,22,0.4090909090909091,4,1.3976017860180037
17021,nu,1,3,1,1,-0,NA,NA,NA,NA
17025,nu,1,1,1,1,-0,NA,NA,NA,NA
17029,nu,5,2,0.4,4,1.3321790402101223,NA,NA,NA,NA
17031,nu,6359,4,0.25192640352256646,5,1.5975107378577713,6359,0.25192640352256646,4,1.5975107378577713
17035,nu,1,1,1,1,-0,NA,NA,NA,NA
17037,nu,1508,2,0.3003978779840849,5,1.5659452410615973,1508,0.3003978779840849,2,1.5659452410615973
17039,nu,1,2,1,1,-0,NA,NA,NA,NA
17041,nu,2,5,1,1,-0,NA,NA,NA,NA
17043,nu,2470,3,0.2728744939271255,5,1.588135130804192,2470,0.2728744939271255,3,1.588135130804192
17053,nu,1,5,1,1,-0,NA,NA,NA,NA
17055,nu,3,2,1,1,-0,NA,NA,NA,NA
17057,nu,4,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
17063,nu,20,1,0.35,5,1.4964159349401391,20,0.35,1,1.4964159349401391
17073,nu,1,3,1,1,-0,NA,NA,NA,NA
17075,nu,5,3,0.4,4,1.3321790402101223,NA,NA,NA,NA
17077,nu,2,4,1,1,-0,NA,NA,NA,NA
17085,nu,1,4,1,1,-0,NA,NA,NA,NA
17089,nu,1590,3,0.2641509433962264,5,1.5905439580922547,1590,0.2641509433962264,3,1.5905439580922547
17091,nu,39,2,0.3076923076923077,5,1.5255280645866933,39,0.3076923076923077,2,1.5255280645866933
17093,nu,128,3,0.3125,5,1.5494080525887106,128,0.3125,3,1.5494080525887106
