site_name,stratum,variable,level,summary_type,n,denom,prop
nu,Q1,sex_category,Female,categorical,2025,4501,0.44990002221728503
nu,Q1,sex_category,Male,categorical,2476,4501,0.5500999777827149
nu,Q2,sex_category,Female,categorical,1975,4501,0.4387913796934015
nu,Q2,sex_category,Male,categorical,2526,4501,0.5612086203065986
nu,Q3,sex_category,Female,categorical,2010,4500,0.44666666666666666
nu,Q3,sex_category,Male,categorical,2490,4500,0.5533333333333333
nu,Q4,sex_category,Female,categorical,2030,4500,0.45111111111111113
nu,Q4,sex_category,Male,categorical,2469,4500,0.5486666666666666
nu,Q4,sex_category,Unknown,categorical,1,4500,2.2222222222222223e-4
nu,NA,sex_category,Male,categorical,3,3,1
nu,Q1,race_category,American Indian or Alaska Native,categorical,5,4501,0.001110864252388358
nu,Q1,race_category,Asian,categorical,66,4501,0.014663408131526327
nu,Q1,race_category,Black or African American,categorical,235,4501,0.05221061986225283
nu,Q1,race_category,Native Hawaiian or Other Pacific Islander,categorical,8,4501,0.001777382803821373
nu,Q1,race_category,Other,categorical,215,4501,0.0477671628526994
nu,Q1,race_category,Unknown,categorical,95,4501,0.021106420795378805
nu,Q1,race_category,White,categorical,3877,4501,0.861364141301933
nu,Q2,race_category,American Indian or Alaska Native,categorical,10,4501,0.002221728504776716
nu,Q2,race_category,Asian,categorical,113,4501,0.025105532103976893
nu,Q2,race_category,Black or African American,categorical,362,4501,0.08042657187291713
nu,Q2,race_category,Native Hawaiian or Other Pacific Islander,categorical,3,4501,6.665185514330149e-4
nu,Q2,race_category,Other,categorical,238,4501,0.05287713841368585
nu,Q2,race_category,Unknown,categorical,95,4501,0.021106420795378805
nu,Q2,race_category,White,categorical,3680,4501,0.8175960897578316
nu,Q3,race_category,American Indian or Alaska Native,categorical,5,4500,0.0011111111111111111
nu,Q3,race_category,Asian,categorical,273,4500,0.06066666666666667
nu,Q3,race_category,Black or African American,categorical,783,4500,0.174
nu,Q3,race_category,Native Hawaiian or Other Pacific Islander,categorical,6,4500,0.0013333333333333333
nu,Q3,race_category,Other,categorical,348,4500,0.07733333333333334
nu,Q3,race_category,Unknown,categorical,145,4500,0.03222222222222222
nu,Q3,race_category,White,categorical,2940,4500,0.6533333333333333
nu,Q4,race_category,American Indian or Alaska Native,categorical,21,4500,0.004666666666666667
nu,Q4,race_category,Asian,categorical,249,4500,0.05533333333333333
nu,Q4,race_category,Black or African American,categorical,1212,4500,0.2693333333333333
nu,Q4,race_category,Native Hawaiian or Other Pacific Islander,categorical,10,4500,0.0022222222222222222
nu,Q4,race_category,Other,categorical,423,4500,0.094
nu,Q4,race_category,Unknown,categorical,142,4500,0.03155555555555556
nu,Q4,race_category,White,categorical,2443,4500,0.5428888888888889
nu,NA,race_category,White,categorical,3,3,1
nu,Q1,ethnicity_category,Hispanic,categorical,287,4501,0.06376360808709176
nu,Q1,ethnicity_category,Non-Hispanic,categorical,4115,4501,0.9142412797156187
nu,Q1,ethnicity_category,Unknown,categorical,99,4501,0.02199511219728949
nu,Q2,ethnicity_category,Hispanic,categorical,436,4501,0.09686736280826483
nu,Q2,ethnicity_category,Non-Hispanic,categorical,3954,4501,0.8784714507887136
nu,Q2,ethnicity_category,Unknown,categorical,111,4501,0.024661186403021552
nu,Q3,ethnicity_category,Hispanic,categorical,397,4500,0.08822222222222222
nu,Q3,ethnicity_category,Non-Hispanic,categorical,3928,4500,0.8728888888888889
nu,Q3,ethnicity_category,Unknown,categorical,175,4500,0.03888888888888889
nu,Q4,ethnicity_category,Hispanic,categorical,615,4500,0.13666666666666666
nu,Q4,ethnicity_category,Non-Hispanic,categorical,3738,4500,0.8306666666666667
nu,Q4,ethnicity_category,Unknown,categorical,147,4500,0.03266666666666666
nu,NA,ethnicity_category,Non-Hispanic,categorical,3,3,1
nu,Q1,device_t0,CPAP,categorical,25,4501,0.00555432126194179
nu,Q1,device_t0,FACE MASK,categorical,184,4501,0.04087980448789158
nu,Q1,device_t0,HIGH FLOW NC,categorical,417,4501,0.09264607864918907
nu,Q1,device_t0,IMV,categorical,1456,4501,0.3234836702954899
nu,Q1,device_t0,NASAL CANNULA,categorical,951,4501,0.2112863808042657
nu,Q1,device_t0,NIPPV,categorical,464,4501,0.10308820262163963
nu,Q1,device_t0,OTHER,categorical,7,4501,0.0015552099533437014
nu,Q1,device_t0,ROOM AIR,categorical,255,4501,0.056654076871806264
nu,Q1,device_t0,TRACH COLLAR,categorical,13,4501,0.0028882470562097314
nu,Q1,device_t0,UNK,categorical,623,4501,0.13841368584758942
nu,Q1,device_t0,NA,categorical,106,4501,0.023550322150633192
nu,Q2,device_t0,CPAP,categorical,7,4501,0.0015552099533437014
nu,Q2,device_t0,FACE MASK,categorical,241,4501,0.05354365696511886
nu,Q2,device_t0,HIGH FLOW NC,categorical,512,4501,0.11375249944456788
nu,Q2,device_t0,IMV,categorical,1365,4501,0.30326594090202175
nu,Q2,device_t0,NASAL CANNULA,categorical,924,4501,0.2052877138413686
nu,Q2,device_t0,NIPPV,categorical,492,4501,0.10930904243501444
nu,Q2,device_t0,OTHER,categorical,12,4501,0.0026660742057320595
nu,Q2,device_t0,ROOM AIR,categorical,314,4501,0.06976227504998889
nu,Q2,device_t0,TRACH COLLAR,categorical,18,4501,0.003999111308598089
nu,Q2,device_t0,UNK,categorical,534,4501,0.11864030215507665
nu,Q2,device_t0,NA,categorical,82,4501,0.018218173739169074
nu,Q3,device_t0,CPAP,categorical,10,4500,0.0022222222222222222
nu,Q3,device_t0,FACE MASK,categorical,236,4500,0.052444444444444446
nu,Q3,device_t0,HIGH FLOW NC,categorical,448,4500,0.09955555555555555
nu,Q3,device_t0,IMV,categorical,1519,4500,0.33755555555555555
nu,Q3,device_t0,NASAL CANNULA,categorical,823,4500,0.18288888888888888
nu,Q3,device_t0,NIPPV,categorical,558,4500,0.124
nu,Q3,device_t0,OTHER,categorical,12,4500,0.0026666666666666666
nu,Q3,device_t0,ROOM AIR,categorical,310,4500,0.06888888888888889
nu,Q3,device_t0,TRACH COLLAR,categorical,13,4500,0.0028888888888888888
nu,Q3,device_t0,UNK,categorical,530,4500,0.11777777777777777
nu,Q3,device_t0,NA,categorical,41,4500,0.009111111111111111
nu,Q4,device_t0,CPAP,categorical,6,4500,0.0013333333333333333
nu,Q4,device_t0,FACE MASK,categorical,297,4500,0.066
nu,Q4,device_t0,HIGH FLOW NC,categorical,631,4500,0.14022222222222222
nu,Q4,device_t0,IMV,categorical,1531,4500,0.3402222222222222
nu,Q4,device_t0,NASAL CANNULA,categorical,683,4500,0.1517777777777778
nu,Q4,device_t0,NIPPV,categorical,502,4500,0.11155555555555556
nu,Q4,device_t0,OTHER,categorical,10,4500,0.0022222222222222222
nu,Q4,device_t0,ROOM AIR,categorical,291,4500,0.06466666666666666
nu,Q4,device_t0,TRACH COLLAR,categorical,22,4500,0.004888888888888889
nu,Q4,device_t0,UNK,categorical,481,4500,0.1068888888888889
nu,Q4,device_t0,NA,categorical,46,4500,0.010222222222222223
nu,NA,device_t0,IMV,categorical,1,3,0.3333333333333333
nu,NA,device_t0,ROOM AIR,categorical,2,3,0.6666666666666666
nu,Q1,traj_cluster_ra,1,categorical,820,4501,0.18218173739169075
nu,Q1,traj_cluster_ra,2,categorical,946,4501,0.21017551655187736
nu,Q1,traj_cluster_ra,3,categorical,954,4501,0.21195289935569872
nu,Q1,traj_cluster_ra,4,categorical,1052,4501,0.23372583870251054
nu,Q1,traj_cluster_ra,5,categorical,687,4501,0.1526327482781604
nu,Q1,traj_cluster_ra,NA,categorical,42,4501,0.00933125972006221
nu,Q2,traj_cluster_ra,1,categorical,817,4501,0.18151521884025773
nu,Q2,traj_cluster_ra,2,categorical,930,4501,0.20662075094423463
nu,Q2,traj_cluster_ra,3,categorical,902,4501,0.2003999111308598
nu,Q2,traj_cluster_ra,4,categorical,1078,4501,0.23950233281493002
nu,Q2,traj_cluster_ra,5,categorical,740,4501,0.16440790935347702
nu,Q2,traj_cluster_ra,NA,categorical,34,4501,0.007553876916240835
nu,Q3,traj_cluster_ra,1,categorical,809,4500,0.1797777777777778
nu,Q3,traj_cluster_ra,2,categorical,673,4500,0.14955555555555555
nu,Q3,traj_cluster_ra,3,categorical,1078,4500,0.23955555555555555
nu,Q3,traj_cluster_ra,4,categorical,1144,4500,0.25422222222222224
nu,Q3,traj_cluster_ra,5,categorical,770,4500,0.1711111111111111
nu,Q3,traj_cluster_ra,NA,categorical,26,4500,0.0057777777777777775
nu,Q4,traj_cluster_ra,1,categorical,1056,4500,0.23466666666666666
nu,Q4,traj_cluster_ra,2,categorical,801,4500,0.178
nu,Q4,traj_cluster_ra,3,categorical,835,4500,0.18555555555555556
nu,Q4,traj_cluster_ra,4,categorical,1015,4500,0.22555555555555556
nu,Q4,traj_cluster_ra,5,categorical,772,4500,0.17155555555555554
nu,Q4,traj_cluster_ra,NA,categorical,21,4500,0.004666666666666667
nu,NA,traj_cluster_ra,1,categorical,1,3,0.3333333333333333
nu,NA,traj_cluster_ra,3,categorical,1,3,0.3333333333333333
nu,NA,traj_cluster_ra,5,categorical,1,3,0.3333333333333333
nu,Q1,severity_rank,1,categorical,1052,4501,0.23372583870251054
nu,Q1,severity_rank,2,categorical,687,4501,0.1526327482781604
nu,Q1,severity_rank,3,categorical,946,4501,0.21017551655187736
nu,Q1,severity_rank,4,categorical,820,4501,0.18218173739169075
nu,Q1,severity_rank,5,categorical,954,4501,0.21195289935569872
nu,Q1,severity_rank,NA,categorical,42,4501,0.00933125972006221
nu,Q2,severity_rank,1,categorical,1078,4501,0.23950233281493002
nu,Q2,severity_rank,2,categorical,740,4501,0.16440790935347702
nu,Q2,severity_rank,3,categorical,930,4501,0.20662075094423463
nu,Q2,severity_rank,4,categorical,817,4501,0.18151521884025773
nu,Q2,severity_rank,5,categorical,902,4501,0.2003999111308598
nu,Q2,severity_rank,NA,categorical,34,4501,0.007553876916240835
nu,Q3,severity_rank,1,categorical,1144,4500,0.25422222222222224
nu,Q3,severity_rank,2,categorical,770,4500,0.1711111111111111
nu,Q3,severity_rank,3,categorical,673,4500,0.14955555555555555
nu,Q3,severity_rank,4,categorical,809,4500,0.1797777777777778
nu,Q3,severity_rank,5,categorical,1078,4500,0.23955555555555555
nu,Q3,severity_rank,NA,categorical,26,4500,0.0057777777777777775
nu,Q4,severity_rank,1,categorical,1015,4500,0.22555555555555556
nu,Q4,severity_rank,2,categorical,772,4500,0.17155555555555554
nu,Q4,severity_rank,3,categorical,801,4500,0.178
nu,Q4,severity_rank,4,categorical,1056,4500,0.23466666666666666
nu,Q4,severity_rank,5,categorical,835,4500,0.18555555555555556
nu,Q4,severity_rank,NA,categorical,21,4500,0.004666666666666667
nu,NA,severity_rank,2,categorical,1,3,0.3333333333333333
nu,NA,severity_rank,4,categorical,1,3,0.3333333333333333
nu,NA,severity_rank,5,categorical,1,3,0.3333333333333333
nu,Q1,death_in_hosp,0,categorical,3503,4501,0.7782714952232838
nu,Q1,death_in_hosp,1,categorical,998,4501,0.2217285047767163
nu,Q2,death_in_hosp,0,categorical,3576,4501,0.7944901133081538
nu,Q2,death_in_hosp,1,categorical,925,4501,0.20550988669184625
nu,Q3,death_in_hosp,0,categorical,3343,4500,0.7428888888888889
nu,Q3,death_in_hosp,1,categorical,1157,4500,0.2571111111111111
nu,Q4,death_in_hosp,0,categorical,3388,4500,0.7528888888888889
nu,Q4,death_in_hosp,1,categorical,1112,4500,0.24711111111111111
nu,NA,death_in_hosp,0,categorical,3,3,1
nu,Q1,hospice_discharge,0,categorical,4081,4501,0.9066874027993779
nu,Q1,hospice_discharge,1,categorical,420,4501,0.09331259720062209
nu,Q2,hospice_discharge,0,categorical,4068,4501,0.9037991557431682
nu,Q2,hospice_discharge,1,categorical,433,4501,0.09620084425683181
nu,Q3,hospice_discharge,0,categorical,4184,4500,0.9297777777777778
nu,Q3,hospice_discharge,1,categorical,316,4500,0.07022222222222223
nu,Q4,hospice_discharge,0,categorical,4266,4500,0.948
nu,Q4,hospice_discharge,1,categorical,234,4500,0.052
nu,NA,hospice_discharge,0,categorical,3,3,1
nu,Q1,death_or_hospice,0,categorical,3083,4501,0.6849588980226616
nu,Q1,death_or_hospice,1,categorical,1418,4501,0.31504110197733837
nu,Q2,death_or_hospice,0,categorical,3143,4501,0.6982892690513219
nu,Q2,death_or_hospice,1,categorical,1358,4501,0.30171073094867806
nu,Q3,death_or_hospice,0,categorical,3027,4500,0.6726666666666666
nu,Q3,death_or_hospice,1,categorical,1473,4500,0.3273333333333333
nu,Q4,death_or_hospice,0,categorical,3154,4500,0.7008888888888889
nu,Q4,death_or_hospice,1,categorical,1346,4500,0.2991111111111111
nu,NA,death_or_hospice,0,categorical,3,3,1
nu,Q1,any_imv_icu,0,categorical,2190,4501,0.48655854254610087
nu,Q1,any_imv_icu,1,categorical,2311,4501,0.5134414574538991
nu,Q2,any_imv_icu,0,categorical,2287,4501,0.508109309042435
nu,Q2,any_imv_icu,1,categorical,2214,4501,0.491890690957565
nu,Q3,any_imv_icu,0,categorical,2087,4500,0.4637777777777778
nu,Q3,any_imv_icu,1,categorical,2413,4500,0.5362222222222223
nu,Q4,any_imv_icu,0,categorical,2056,4500,0.4568888888888889
nu,Q4,any_imv_icu,1,categorical,2444,4500,0.5431111111111111
nu,NA,any_imv_icu,0,categorical,1,3,0.3333333333333333
nu,NA,any_imv_icu,1,categorical,2,3,0.6666666666666666
nu,Q1,any_imv_72h,0,categorical,2319,4501,0.5152188402577205
nu,Q1,any_imv_72h,1,categorical,2182,4501,0.4847811597422795
nu,Q2,any_imv_72h,0,categorical,2438,4501,0.5416574094645634
nu,Q2,any_imv_72h,1,categorical,2063,4501,0.4583425905354366
nu,Q3,any_imv_72h,0,categorical,2232,4500,0.496
nu,Q3,any_imv_72h,1,categorical,2268,4500,0.504
nu,Q4,any_imv_72h,0,categorical,2228,4500,0.4951111111111111
nu,Q4,any_imv_72h,1,categorical,2272,4500,0.5048888888888889
nu,NA,any_imv_72h,0,categorical,1,3,0.3333333333333333
