site_name,stratum,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75
nu,Q1,age_years,NA,continuous,4501,65.41924016885136,16.314777853231906,68,56,77
nu,Q2,age_years,NA,continuous,4501,65.00044434570094,16.55242177051989,67,55,77
nu,Q3,age_years,NA,continuous,4500,65.84044444444446,16.45268049627719,68,57,78
nu,Q4,age_years,NA,continuous,4500,64.13155555555555,17.437470410873765,66,54,77
nu,NA,age_years,NA,continuous,3,50.666666666666664,15.17673658377628,48,42.5,57.5
nu,Q1,icu_los_hours,NA,continuous,4501,141.20255128489964,242.89633985668354,74.45,35.46666666666667,155.51666666666668
nu,Q2,icu_los_hours,NA,continuous,4501,165.04626009035027,302.1243023571188,82.28333333333333,38.583333333333336,179.63333333333333
nu,Q3,icu_los_hours,NA,continuous,4500,157.7947074074074,268.0464030546058,74.30833333333334,35.35,172.35
nu,Q4,icu_los_hours,NA,continuous,4500,178.09202962962962,308.8537263265838,72.7,33.083333333333336,192.56250000000003
nu,NA,icu_los_hours,NA,continuous,3,147.67222222222222,181.72962925221674,50.05,42.83333333333333,203.70000000000002
nu,Q1,imv_hours_icu,NA,continuous,4501,37.15263274827827,113.67941877764308,1,0,32
nu,Q2,imv_hours_icu,NA,continuous,4501,45.88735836480814,140.18554362835124,0,0,36
nu,Q3,imv_hours_icu,NA,continuous,4500,49.72533333333314,132.3566971879728,3,0,42.25
nu,Q4,imv_hours_icu,NA,continuous,4500,61.56400000000049,159.13977227241259,4,0,56
nu,NA,imv_hours_icu,NA,continuous,3,25,24.515301344262525,26,13,37.5
nu,Q1,imv_hours_72h,NA,continuous,4501,11.9817818262608,17.055012336617427,0,0,22
nu,Q2,imv_hours_72h,NA,continuous,4501,12.639413463674734,18.359204582452502,0,0,24
nu,Q3,imv_hours_72h,NA,continuous,4500,14.366666666666676,19.844152737423357,1,0,26
nu,Q4,imv_hours_72h,NA,continuous,4500,15.494444444444435,20.171529726174104,1,0,31
nu,NA,imv_hours_72h,NA,continuous,3,22.333333333333332,20.744477176668816,26,13,33.5
nu,Q1,escalations_icu,NA,continuous,4501,2.133525883137079,6.780474433486302,1,0,2
nu,Q2,escalations_icu,NA,continuous,4501,2.2761608531437503,5.599042220863252,1,0,3
nu,Q3,escalations_icu,NA,continuous,4500,1.9071111111111116,4.297380078346948,1,0,2
nu,Q4,escalations_icu,NA,continuous,4500,1.8335555555555547,4.255935622401916,1,0,2
nu,NA,escalations_icu,NA,continuous,3,2.666666666666667,4.618802153517007,0,0,4
nu,Q1,deescalations_icu,NA,continuous,4501,2.773383692512776,6.829720205207083,2,1,3
nu,Q2,deescalations_icu,NA,continuous,4501,2.92290602088425,5.531249575301888,2,1,3
nu,Q3,deescalations_icu,NA,continuous,4500,2.6364444444444453,4.366903122198231,2,1,3
nu,Q4,deescalations_icu,NA,continuous,4500,2.6006666666666676,4.3528878187644,2,1,3
nu,NA,deescalations_icu,NA,continuous,3,3.666666666666667,4.725815626252609,2,1,5.5
nu,Q1,vaso_hours_72h,NA,continuous,4501,7.4681181959564675,13.616678294251471,0,0,9
nu,Q2,vaso_hours_72h,NA,continuous,4501,6.84825594312375,14.119374858754934,0,0,7
nu,Q3,vaso_hours_72h,NA,continuous,4500,9.83399999999999,16.060696982160596,0,0,15
nu,Q4,vaso_hours_72h,NA,continuous,4500,8.38888888888887,15.744581687375138,0,0,10
nu,NA,vaso_hours_72h,NA,continuous,3,24.333333333333332,10.066445913694333,23,19,29
nu,Q1,vaso_mean_72h,NA,continuous,4501,0.42568318151521933,0.4945011008226907,0,0,1
nu,Q2,vaso_mean_72h,NA,continuous,4501,0.35236614085758716,0.4777603538269535,0,0,1
nu,Q3,vaso_mean_72h,NA,continuous,4500,0.4737777777777783,0.4993674099604883,0,0,1
nu,Q4,vaso_mean_72h,NA,continuous,4500,0.3806666666666661,0.4856047345454376,0,0,1
nu,NA,vaso_mean_72h,NA,continuous,3,1,0,1,1,1
nu,Q1,pm25_1y,NA,continuous,4501,7.854972893067171,1.292646365601881,7.603724002838135,6.493521690368652,8.99613094329834
nu,Q2,pm25_1y,NA,continuous,4501,7.272676954479176,1.0960321454492064,7.1148762702941895,6.522176742553711,7.670168399810791
nu,Q3,pm25_1y,NA,continuous,4500,9.989613249354898,0.9285882064281628,10.45326328277588,9.088109016418455,10.45326328277588
nu,Q4,pm25_1y,NA,continuous,4500,8.394944887691086,0.584803049854912,8.759417533874512,7.912075042724609,8.911922454833984
nu,NA,pm25_1y,NA,continuous,0,NA,NA,NA,NA,NA
nu,Q1,pm25_3y,NA,continuous,4501,7.19093314062712,0.8251331351480932,7.061268965403239,6.410701751708984,8.059454282124838
nu,Q2,pm25_3y,NA,continuous,4501,7.229925934778384,0.6014093389743917,7.1208367347717285,6.9265431829386594,7.33050330858382
nu,Q3,pm25_3y,NA,continuous,4500,9.309966552963884,0.6665583413611251,9.374867757161459,8.575471560160318,9.888648033142092
nu,Q4,pm25_3y,NA,continuous,4500,8.296633400940523,0.13875029320034224,8.28287258041039,8.160907109578451,8.417857916995546
nu,NA,pm25_3y,NA,continuous,0,NA,NA,NA,NA,NA
nu,Q1,pm25_5y,NA,continuous,4501,6.971088772365007,0.4889677926606441,6.891179466247559,6.594556305674906,7.440443229675293
nu,Q2,pm25_5y,NA,continuous,4501,7.265596316321796,0.435535795896994,7.2151392920482795,7.114079075875367,7.497687538716042
nu,Q3,pm25_5y,NA,continuous,4500,8.846125312088391,0.37525765717968185,8.735817337036133,8.591687011718749,9.239969730377197
nu,Q4,pm25_5y,NA,continuous,4500,8.436201677089802,0.2617757419789716,8.43081226348877,8.276504458738177,8.581469299518046
nu,NA,pm25_5y,NA,continuous,0,NA,NA,NA,NA,NA
nu,Q1,no2_1y,NA,continuous,4501,3.4181499994605025,0.6626038528105891,3.430058240890503,2.965754508972168,3.835726261138916
nu,Q2,no2_1y,NA,continuous,4501,5.320470803335111,1.3711457673700518,5.4875807762146,4.190179347991943,6.38206148147583
nu,Q3,no2_1y,NA,continuous,4500,9.159208005448207,0.7087759552226327,9.507168769836426,8.658557891845703,9.894152641296388
nu,Q4,no2_1y,NA,continuous,4500,10.221439109465077,1.070811799324001,10.177943229675291,9.67707347869873,10.2174072265625
nu,NA,no2_1y,NA,continuous,0,NA,NA,NA,NA,NA
nu,Q1,no2_3y,NA,continuous,4501,3.5205566410710416,0.6246741325032128,3.6155908902486162,2.9821693897247314,3.6444731553395586
nu,Q2,no2_3y,NA,continuous,4501,5.94650262803156,1.099968227485752,6.063958962758382,4.799018163645654,6.458690484364827
nu,Q3,no2_3y,NA,continuous,4500,9.373348120854036,0.674601993633487,9.79650592803955,8.4995067914327,10.020097414652506
nu,Q4,no2_3y,NA,continuous,4500,10.918676998300883,1.0953094264221936,10.92268235203605,10.024141311645508,12.08834632795895
nu,NA,no2_3y,NA,continuous,0,NA,NA,NA,NA,NA
nu,Q1,no2_5y,NA,continuous,4501,3.9135202134480616,0.6995938108387256,4.019482051828139,3.4985504150390625,4.596498973990548
nu,Q2,no2_5y,NA,continuous,4501,6.419542093241917,0.9191209469672988,6.322085380554199,5.6079650203106715,7.144815016207263
nu,Q3,no2_5y,NA,continuous,4500,9.56283434787357,0.5853582627568805,9.848906898498536,9.475526384255934,9.99095458984375
nu,Q4,no2_5y,NA,continuous,4500,11.665966021123806,0.9390994338778771,11.532407933230214,10.805323205422543,12.637901972374825
nu,NA,no2_5y,NA,continuous,0,NA,NA,NA,NA,NA
nu,Q1,charlson_score,NA,continuous,4501,3.96089757831593,3.1854222805282193,3,1,6
nu,Q2,charlson_score,NA,continuous,4501,3.9246834036880687,3.1769820645753217,3,1,6
nu,Q3,charlson_score,NA,continuous,4500,4.262,3.2666929687019595,4,2,6
nu,Q4,charlson_score,NA,continuous,4500,3.966222222222233,3.243776532376014,3,1,6
nu,NA,charlson_score,NA,continuous,3,1.3333333333333335,2.309401076758503,0,0,2
nu,Q1,sofa_total,NA,continuous,4501,6.937347256165293,4.32440957887093,7,4,10
nu,Q2,sofa_total,NA,continuous,4501,6.5367696067540555,4.387486362880518,6,3,10
nu,Q3,sofa_total,NA,continuous,4500,7.592888888888893,4.5022079107062165,7,4,11
nu,Q4,sofa_total,NA,continuous,4500,7.023555555555554,4.449501874193671,6,4,10
nu,NA,sofa_total,NA,continuous,3,10.666666666666666,3.2145502536643185,12,9.5,12.5
nu,Q1,sofa_resp,NA,continuous,4501,2.0882026216396383,1.5726823200583822,2,0,4
nu,Q2,sofa_resp,NA,continuous,4501,2.038213730282158,1.5580206273339978,2,0,3
nu,Q3,sofa_resp,NA,continuous,4500,2.1702222222222196,1.4909976415321335,2,0,3
nu,Q4,sofa_resp,NA,continuous,4500,2.190222222222224,1.4271343851953562,2,1,3
nu,NA,sofa_resp,NA,continuous,3,2.6666666666666665,2.3094010767585034,4,2,4
