site_name,stratum,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75
nu,Overall,age_years,NA,continuous,18005,65.09552901971676,16.70609222877898,67,56,77
nu,Overall,icu_los_hours,NA,continuous,18005,160.53092104045163,282.0168847177821,75.6,35.35,171.53333333333333
nu,Overall,imv_hours_icu,NA,continuous,18005,48.57761732852026,137.56890595952697,2,0,40
nu,Overall,imv_hours_72h,NA,continuous,18005,13.621882810330469,18.947802131923975,0,0,26
nu,Overall,escalations_icu,NA,continuous,18005,2.037711746736997,5.338671225033748,1,0,2
nu,Overall,deescalations_icu,NA,continuous,18005,2.7335184670924586,5.368851125579448,2,1,3
nu,Overall,vaso_hours_72h,NA,continuous,18005,8.137406276034364,14.96302941674785,0,0,10
nu,Overall,vaso_mean_72h,NA,continuous,18005,0.40821993890586006,0.49151789216264985,0,0,1
nu,Overall,pm25_1y,NA,continuous,18002,8.377961536524463,1.4290716718305618,8.759417533874512,7.161788463592529,9.408472061157228
nu,Overall,pm25_3y,NA,continuous,18002,8.00677627435674,1.0674073606471133,8.155468622843424,7.1208367347717285,8.564001520474752
nu,Overall,pm25_5y,NA,continuous,18002,7.879668427701428,0.878143618002639,8.134114118997523,7.116804714592136,8.581469299518046
nu,Overall,no2_1y,NA,continuous,18002,7.029521400427383,2.943471691697925,7.995176792144775,3.835726261138916,9.894152641296388
nu,Overall,no2_3y,NA,continuous,18002,7.439470436975237,3.028532652298181,8.257914131887361,4.568728446960449,10.020097414652506
nu,Overall,no2_5y,NA,continuous,18002,7.890163043156306,3.065588552052984,8.189165415937392,5.104641586802742,10.01906548530505
nu,Overall,charlson_score,NA,continuous,18005,4.027992224382113,3.2210453046892336,3,1,6
nu,Overall,sofa_total,NA,continuous,18005,7.023215773396289,4.432103348463763,7,4,10
nu,Overall,sofa_resp,NA,continuous,18005,2.121799500138849,1.5145354701365412,2,0,3
nu,Overall,sofa_cv,NA,continuous,18005,1.602388225492921,1.5713161710326067,1,0,3
nu,Overall,sofa_renal,NA,continuous,18005,0.8435990002777007,1.1509483060303083,0,0,1
nu,Overall,sofa_liver,NA,continuous,18005,0.23104693140794053,0.6336507411770577,0,0,0
nu,Overall,sofa_coag,NA,continuous,18005,0.41960566509302927,0.8058908583369196,0,0,1
nu,Overall,sofa_cns,NA,continuous,18005,1.8047764509858375,1.5949680166301938,2,0,3
