county_code,site_name,county_total,dominant_cluster,dominant_cluster_prop,n_clusters_present,cluster_entropy,county_total_suppressed,dominant_cluster_prop_suppressed,dominant_cluster_suppressed,cluster_entropy_suppressed
02020,ohsu,1,4,1,1,-0,NA,NA,NA,NA
02110,ohsu,1,3,1,1,-0,NA,NA,NA,NA
02130,ohsu,1,3,1,1,-0,NA,NA,NA,NA
02170,ohsu,1,4,1,1,-0,NA,NA,NA,NA
04013,ohsu,3,1,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
04027,ohsu,1,1,1,1,-0,NA,NA,NA,NA
05139,ohsu,1,4,1,1,-0,NA,NA,NA,NA
06001,ohsu,1,3,1,1,-0,NA,NA,NA,NA
06015,ohsu,6,1,0.5,3,1.0114042647073518,NA,NA,NA,NA
06023,ohsu,2,1,1,1,-0,NA,NA,NA,NA
06037,ohsu,3,3,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
06049,ohsu,4,4,0.5,3,1.0397207708399179,NA,NA,NA,NA
06059,ohsu,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
06067,ohsu,3,1,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
06075,ohsu,1,5,1,1,-0,NA,NA,NA,NA
06077,ohsu,1,3,1,1,-0,NA,NA,NA,NA
06085,ohsu,1,1,1,1,-0,NA,NA,NA,NA
06087,ohsu,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
06093,ohsu,6,3,0.3333333333333333,3,1.0986122886681096,NA,NA,NA,NA
06107,ohsu,1,1,1,1,-0,NA,NA,NA,NA
08041,ohsu,1,3,1,1,-0,NA,NA,NA,NA
15003,ohsu,1,2,1,1,-0,NA,NA,NA,NA
16027,ohsu,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
16039,ohsu,1,4,1,1,-0,NA,NA,NA,NA
16055,ohsu,2,4,1,1,-0,NA,NA,NA,NA
16075,ohsu,1,3,1,1,-0,NA,NA,NA,NA
17031,ohsu,1,2,1,1,-0,NA,NA,NA,NA
18019,ohsu,1,3,1,1,-0,NA,NA,NA,NA
19193,ohsu,1,3,1,1,-0,NA,NA,NA,NA
22015,ohsu,1,5,1,1,-0,NA,NA,NA,NA
22051,ohsu,1,5,1,1,-0,NA,NA,NA,NA
23001,ohsu,1,1,1,1,-0,NA,NA,NA,NA
23005,ohsu,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
26161,ohsu,1,3,1,1,-0,NA,NA,NA,NA
29225,ohsu,1,1,1,1,-0,NA,NA,NA,NA
30029,ohsu,1,5,1,1,-0,NA,NA,NA,NA
30031,ohsu,1,5,1,1,-0,NA,NA,NA,NA
30053,ohsu,1,1,1,1,-0,NA,NA,NA,NA
34035,ohsu,1,1,1,1,-0,NA,NA,NA,NA
35049,ohsu,1,1,1,1,-0,NA,NA,NA,NA
36013,ohsu,1,5,1,1,-0,NA,NA,NA,NA
36047,ohsu,1,2,1,1,-0,NA,NA,NA,NA
36111,ohsu,1,4,1,1,-0,NA,NA,NA,NA
37119,ohsu,1,1,1,1,-0,NA,NA,NA,NA
41001,ohsu,1,1,1,1,-0,NA,NA,NA,NA
41003,ohsu,25,1,0.44,4,1.2211217392753921,25,0.44,1,1.2211217392753921
41005,ohsu,275,1,0.38545454545454544,5,1.4147480659633853,275,0.38545454545454544,1,1.4147480659633853
41007,ohsu,91,3,0.31868131868131866,5,1.4552325568917985,91,0.31868131868131866,3,1.4552325568917985
41009,ohsu,68,1,0.36764705882352944,5,1.5090971070127635,68,0.36764705882352944,1,1.5090971070127635
41011,ohsu,120,1,0.36666666666666664,5,1.444139453803437,120,0.36666666666666664,1,1.444139453803437
41013,ohsu,9,1,0.3333333333333333,4,1.310783678099714,NA,NA,NA,NA
41015,ohsu,20,5,0.25,5,1.596804335473315,20,0.25,5,1.596804335473315
41017,ohsu,32,1,0.4375,5,1.373169233311358,32,0.4375,1,1.373169233311358
41019,ohsu,65,3,0.38461538461538464,5,1.4165085701429654,65,0.38461538461538464,3,1.4165085701429654
41021,ohsu,3,1,0.3333333333333333,3,1.0986122886681096,NA,NA,NA,NA
41023,ohsu,2,3,1,1,-0,NA,NA,NA,NA
41025,ohsu,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
41027,ohsu,13,1,0.6923076923076923,4,0.937155853065701,13,0.6923076923076923,1,0.937155853065701
41029,ohsu,42,3,0.42857142857142855,5,1.3727590248298478,42,0.42857142857142855,3,1.3727590248298478
41031,ohsu,8,1,0.375,4,1.3208883431493221,NA,NA,NA,NA
41033,ohsu,38,3,0.3157894736842105,5,1.5106574889629654,38,0.3157894736842105,3,1.5106574889629654
41035,ohsu,34,1,0.4117647058823529,5,1.4066756043591768,34,0.4117647058823529,1,1.4066756043591768
41037,ohsu,3,3,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
