site_name,stratum,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75
ohsu,Overall,age_years,NA,continuous,3814,59.26376507603566,17.528506266996615,62,48,72
ohsu,Overall,icu_los_hours,NA,continuous,3814,179.7710409019402,362.80743173392375,85.48333333333333,38.5,209.26250000000002
ohsu,Overall,imv_hours_icu,NA,continuous,3814,37.77320398531725,88.794802038109,4,0,39
ohsu,Overall,imv_hours_72h,NA,continuous,3814,13.509176717357105,17.919064908062534,2,0,27
ohsu,Overall,escalations_icu,NA,continuous,3814,1.9184583114840064,3.718512900919059,1,0,2
ohsu,Overall,deescalations_icu,NA,continuous,3814,2.624016780283167,3.7686450570382948,2,0,3
ohsu,Overall,vaso_hours_72h,NA,continuous,3814,11.290770844257997,18.721393319661242,0,0,16
ohsu,Overall,vaso_mean_72h,NA,continuous,3814,0.4693235448348191,0.4991235052281118,0,0,1
ohsu,Overall,pm25_1y,NA,continuous,3804,6.520707613035457,2.5777085543856195,6.062122344970703,5.398346424102783,6.805980682373047
ohsu,Overall,pm25_3y,NA,continuous,3804,6.490133104139068,1.5962968409448433,6.283087094624837,5.511185460366383,6.800452629725139
ohsu,Overall,pm25_5y,NA,continuous,3804,6.525404631802843,1.3851195489111137,6.106641892122111,5.617017635146588,7.183822441101074
ohsu,Overall,no2_1y,NA,continuous,3804,3.156517688593488,1.388434703104144,3.1445605754852295,1.958919681458817,4.653800964355469
ohsu,Overall,no2_3y,NA,continuous,3804,3.260153931162324,1.4358618373980647,3.2639783223470054,2.134662598539915,4.859439531962077
ohsu,Overall,no2_5y,NA,continuous,3804,3.343021374080067,1.4782495427682323,3.2863760471343992,2.1875421762466427,4.851093196868897
ohsu,Overall,charlson_score,NA,continuous,3814,3.3371788148925012,3.1307878703664573,2,1,5
ohsu,Overall,sofa_total,NA,continuous,3814,6.813581541688516,4.410857799711857,6,3,10
ohsu,Overall,sofa_resp,NA,continuous,3814,1.6945464079706345,1.5125271607764572,2,0,3
ohsu,Overall,sofa_cv,NA,continuous,3814,1.7168327215521761,1.54078901004623,1,0,3
ohsu,Overall,sofa_renal,NA,continuous,3814,0.8159412690089145,1.1927738071655185,0,0,1
ohsu,Overall,sofa_liver,NA,continuous,3814,0.2960146827477714,0.7387231460349294,0,0,0
ohsu,Overall,sofa_coag,NA,continuous,3814,0.5618772941793393,0.9590209622448781,0,0,1
ohsu,Overall,sofa_cns,NA,continuous,3814,1.72836916622968,1.6661098301019117,1,0,3
