traj_cluster_ra,h,rs,n,prop
1,0,IMV,635,0.09097421203438395
1,0,LOW_O2,3715,0.5322349570200573
1,0,NIV,2279,0.32650429799426933
1,0,OTHER,25,0.0035816618911174787
1,0,ROOM AIR,326,0.04670487106017192
1,1,IMV,627,0.08982808022922636
1,1,LOW_O2,3765,0.5393982808022922
1,1,NIV,2244,0.3214899713467049
1,1,OTHER,31,0.004441260744985674
1,1,ROOM AIR,313,0.04484240687679083
1,2,IMV,626,0.08968481375358166
1,2,LOW_O2,3857,0.5525787965616046
1,2,NIV,2182,0.3126074498567335
1,2,OTHER,25,0.0035816618911174787
1,2,ROOM AIR,290,0.04154727793696275
1,3,IMV,607,0.08696275071633237
1,3,LOW_O2,3918,0.5613180515759313
1,3,NIV,2135,0.30587392550143266
1,3,OTHER,32,0.004584527220630372
1,3,ROOM AIR,288,0.04126074498567335
1,4,IMV,595,0.08524355300859598
1,4,LOW_O2,4021,0.5760744985673353
1,4,NIV,2066,0.2959885386819484
1,4,OTHER,25,0.0035816618911174787
1,4,ROOM AIR,273,0.03911174785100287
1,5,IMV,587,0.0840974212034384
1,5,LOW_O2,4055,0.580945558739255
1,5,NIV,2023,0.28982808022922635
1,5,OTHER,27,0.0038681948424068766
1,5,ROOM AIR,288,0.04126074498567335
1,6,IMV,570,0.08166189111747851
1,6,LOW_O2,4153,0.5949856733524356
1,6,NIV,1942,0.2782234957020057
1,6,OTHER,30,0.004297994269340974
1,6,ROOM AIR,285,0.04083094555873926
1,7,IMV,549,0.07865329512893983
1,7,LOW_O2,4216,0.6040114613180516
1,7,NIV,1907,0.27320916905444126
1,7,OTHER,29,0.004154727793696275
1,7,ROOM AIR,279,0.03997134670487106
1,8,IMV,531,0.07607449856733524
1,8,LOW_O2,4283,0.6136103151862464
1,8,NIV,1853,0.2654727793696275
1,8,OTHER,32,0.004584527220630372
1,8,ROOM AIR,281,0.040257879656160456
1,9,IMV,510,0.07306590257879657
1,9,LOW_O2,4364,0.625214899713467
1,9,NIV,1783,0.25544412607449857
1,9,OTHER,34,0.004871060171919771
1,9,ROOM AIR,289,0.04140401146131805
1,10,IMV,490,0.07020057306590258
1,10,LOW_O2,4445,0.6368194842406877
1,10,NIV,1720,0.24641833810888253
1,10,OTHER,31,0.004441260744985674
1,10,ROOM AIR,294,0.042120343839541545
1,11,IMV,476,0.06819484240687679
1,11,LOW_O2,4523,0.6479942693409743
1,11,NIV,1638,0.23467048710601718
1,11,OTHER,28,0.0040114613180515755
1,11,ROOM AIR,315,0.04512893982808023
1,12,IMV,454,0.06504297994269341
1,12,LOW_O2,4611,0.6606017191977077
1,12,NIV,1556,0.22292263610315186
1,12,OTHER,29,0.004154727793696275
1,12,ROOM AIR,330,0.04727793696275072
1,13,IMV,437,0.06260744985673353
1,13,LOW_O2,4672,0.6693409742120344
1,13,NIV,1495,0.2141833810888252
1,13,OTHER,27,0.0038681948424068766
1,13,ROOM AIR,349,0.05
1,14,IMV,414,0.05931232091690544
1,14,LOW_O2,4769,0.6832378223495702
1,14,NIV,1438,0.20601719197707735
1,14,OTHER,26,0.0037249283667621777
1,14,ROOM AIR,333,0.04770773638968481
1,15,IMV,389,0.055730659025787964
1,15,LOW_O2,4869,0.6975644699140401
1,15,NIV,1354,0.19398280802292264
1,15,OTHER,30,0.004297994269340974
1,15,ROOM AIR,338,0.04842406876790831
1,16,IMV,376,0.053868194842406875
1,16,LOW_O2,4944,0.7083094555873926
1,16,NIV,1281,0.1835243553008596
1,16,OTHER,31,0.004441260744985674
1,16,ROOM AIR,348,0.0498567335243553
1,17,IMV,352,0.0504297994269341
1,17,LOW_O2,4985,0.7141833810888252
1,17,NIV,1243,0.17808022922636102
1,17,OTHER,35,0.00501432664756447
1,17,ROOM AIR,365,0.052292263610315186
1,18,IMV,326,0.04670487106017192
1,18,LOW_O2,5059,0.724785100286533
1,18,NIV,1201,0.17206303724928368
1,18,OTHER,33,0.0047277936962750716
1,18,ROOM AIR,361,0.05171919770773639
1,19,IMV,291,0.04169054441260745
1,19,LOW_O2,5082,0.7280802292263611
1,19,NIV,1203,0.17234957020057307
1,19,OTHER,27,0.0038681948424068766
1,19,ROOM AIR,377,0.054011461318051575
1,20,IMV,268,0.038395415472779366
1,20,LOW_O2,5129,0.7348137535816619
1,20,NIV,1193,0.17091690544412608
1,20,OTHER,21,0.003008595988538682
1,20,ROOM AIR,369,0.05286532951289398
1,21,IMV,241,0.034527220630372495
1,21,LOW_O2,5167,0.7402578796561604
1,21,NIV,1170,0.167621776504298
1,21,OTHER,24,0.0034383954154727794
1,21,ROOM AIR,378,0.054154727793696275
1,22,IMV,205,0.029369627507163324
1,22,LOW_O2,5228,0.7489971346704871
1,22,NIV,1144,0.16389684813753583
1,22,OTHER,26,0.0037249283667621777
1,22,ROOM AIR,377,0.054011461318051575
1,23,IMV,183,0.026217765042979943
1,23,LOW_O2,5288,0.757593123209169
1,23,NIV,1120,0.16045845272206305
1,23,OTHER,28,0.0040114613180515755
1,23,ROOM AIR,361,0.05171919770773639
1,24,IMV,162,0.023209169054441262
1,24,LOW_O2,5345,0.7657593123209169
1,24,NIV,1093,0.15659025787965616
1,24,OTHER,26,0.0037249283667621777
1,24,ROOM AIR,354,0.0507163323782235
1,25,IMV,152,0.02177650429799427
1,25,LOW_O2,5358,0.767621776504298
1,25,NIV,1099,0.15744985673352435
1,25,OTHER,31,0.004441260744985674
1,25,ROOM AIR,340,0.04871060171919771
1,26,IMV,133,0.019054441260744986
1,26,LOW_O2,5397,0.7732091690544413
1,26,NIV,1085,0.15544412607449856
1,26,OTHER,26,0.0037249283667621777
1,26,ROOM AIR,339,0.04856733524355301
1,27,IMV,121,0.017335243553008597
1,27,LOW_O2,5421,0.776647564469914
1,27,NIV,1065,0.15257879656160458
1,27,OTHER,27,0.0038681948424068766
1,27,ROOM AIR,346,0.0495702005730659
1,28,IMV,110,0.015759312320916905
1,28,LOW_O2,5457,0.7818051575931232
1,28,NIV,1036,0.1484240687679083
1,28,OTHER,30,0.004297994269340974
1,28,ROOM AIR,347,0.0497134670487106
1,29,IMV,105,0.01504297994269341
1,29,LOW_O2,5467,0.7832378223495702
1,29,NIV,1018,0.14584527220630372
1,29,OTHER,32,0.004584527220630372
1,29,ROOM AIR,358,0.05128939828080229
1,30,IMV,91,0.013037249283667621
1,30,LOW_O2,5534,0.792836676217765
1,30,NIV,997,0.14283667621776505
1,30,OTHER,31,0.004441260744985674
1,30,ROOM AIR,327,0.04684813753581662
1,31,IMV,82,0.01174785100286533
1,31,LOW_O2,5564,0.7971346704871061
1,31,NIV,979,0.14025787965616046
1,31,OTHER,38,0.0054441260744985676
1,31,ROOM AIR,317,0.04541547277936963
1,32,IMV,80,0.011461318051575931
1,32,LOW_O2,5586,0.8002865329512894
1,32,NIV,959,0.13739255014326648
1,32,OTHER,41,0.005873925501432665
1,32,ROOM AIR,314,0.04498567335243553
1,33,IMV,74,0.010601719197707736
1,33,LOW_O2,5606,0.8031518624641834
1,33,NIV,922,0.1320916905444126
1,33,OTHER,36,0.005157593123209169
1,33,ROOM AIR,342,0.04899713467048711
1,34,IMV,70,0.01002865329512894
1,34,LOW_O2,5634,0.807163323782235
1,34,NIV,893,0.12793696275071634
1,34,OTHER,43,0.006160458452722063
1,34,ROOM AIR,340,0.04871060171919771
1,35,IMV,62,0.008882521489971347
1,35,LOW_O2,5678,0.8134670487106017
1,35,NIV,845,0.12106017191977077
1,35,OTHER,39,0.005587392550143266
1,35,ROOM AIR,356,0.05100286532951289
1,36,IMV,56,0.008022922636103151
1,36,LOW_O2,5742,0.8226361031518624
1,36,NIV,788,0.11289398280802292
1,36,OTHER,37,0.005300859598853868
1,36,ROOM AIR,357,0.05114613180515759
1,37,IMV,49,0.007020057306590258
1,37,LOW_O2,5772,0.8269340974212034
1,37,NIV,756,0.10830945558739255
1,37,OTHER,33,0.0047277936962750716
1,37,ROOM AIR,370,0.05300859598853868
1,38,IMV,43,0.006160458452722063
1,38,LOW_O2,5796,0.8303724928366762
1,38,NIV,708,0.101432664756447
1,38,OTHER,44,0.006303724928366762
1,38,ROOM AIR,389,0.055730659025787964
1,39,IMV,35,0.00501432664756447
1,39,LOW_O2,5863,0.8399713467048711
1,39,NIV,653,0.09355300859598854
1,39,OTHER,38,0.0054441260744985676
1,39,ROOM AIR,391,0.056017191977077364
1,40,IMV,28,0.0040114613180515755
1,40,LOW_O2,5889,0.8436962750716333
1,40,NIV,644,0.09226361031518625
1,40,OTHER,42,0.006017191977077364
1,40,ROOM AIR,377,0.054011461318051575
1,41,IMV,25,0.0035816618911174787
1,41,LOW_O2,5913,0.847134670487106
1,41,NIV,638,0.09140401146131805
1,41,OTHER,37,0.005300859598853868
1,41,ROOM AIR,367,0.052578796561604586
1,42,IMV,19,0.0027220630372492838
1,42,LOW_O2,5931,0.8497134670487106
1,42,NIV,613,0.08782234957020058
1,42,OTHER,27,0.0038681948424068766
1,42,ROOM AIR,390,0.055873925501432664
1,43,IMV,16,0.002292263610315186
1,43,LOW_O2,5920,0.8481375358166189
1,43,NIV,592,0.08481375358166189
1,43,OTHER,30,0.004297994269340974
1,43,ROOM AIR,422,0.06045845272206304
1,44,IMV,17,0.0024355300859598855
1,44,LOW_O2,5911,0.8468481375358167
1,44,NIV,577,0.08266475644699141
1,44,OTHER,25,0.0035816618911174787
1,44,ROOM AIR,450,0.06446991404011461
1,45,IMV,13,0.0018624641833810888
1,45,LOW_O2,5913,0.847134670487106
1,45,NIV,549,0.07865329512893983
1,45,OTHER,30,0.004297994269340974
1,45,ROOM AIR,475,0.0680515759312321
1,46,IMV,13,0.0018624641833810888
1,46,LOW_O2,5887,0.8434097421203438
1,46,NIV,547,0.07836676217765043
1,46,OTHER,34,0.004871060171919771
1,46,ROOM AIR,499,0.07148997134670487
1,47,IMV,15,0.002148997134670487
1,47,LOW_O2,5853,0.8385386819484241
1,47,NIV,550,0.07879656160458452
1,47,OTHER,29,0.004154727793696275
1,47,ROOM AIR,533,0.07636103151862464
1,48,IMV,13,0.0018624641833810888
1,48,LOW_O2,5806,0.8318051575931232
1,48,NIV,575,0.08237822349570201
1,48,OTHER,38,0.0054441260744985676
1,48,ROOM AIR,548,0.07851002865329514
1,49,IMV,11,0.0015759312320916905
1,49,LOW_O2,5801,0.8310888252148997
1,49,NIV,584,0.0836676217765043
1,49,OTHER,29,0.004154727793696275
1,49,ROOM AIR,555,0.07951289398280802
1,50,IMV,11,0.0015759312320916905
1,50,LOW_O2,5788,0.8292263610315186
1,50,NIV,578,0.0828080229226361
1,50,OTHER,30,0.004297994269340974
1,50,ROOM AIR,573,0.08209169054441261
1,51,IMV,14,0.0020057306590257878
1,51,LOW_O2,5753,0.8242120343839542
