site_name,stratum,variable,level,summary_type,n,denom,prop
Penn,Q1,sex_category,female,categorical,2278,5596,0.40707648320228734
Penn,Q1,sex_category,male,categorical,3317,5596,0.5927448177269479
Penn,Q1,sex_category,unknown,categorical,1,5596,1.7869907076483203e-4
Penn,Q2,sex_category,female,categorical,2490,5596,0.44496068620443174
Penn,Q2,sex_category,male,categorical,3106,5596,0.5550393137955683
Penn,Q3,sex_category,female,categorical,2668,5596,0.4767691208005718
Penn,Q3,sex_category,male,categorical,2928,5596,0.5232308791994281
Penn,Q4,sex_category,female,categorical,2777,5595,0.4963360142984808
Penn,Q4,sex_category,male,categorical,2818,5595,0.5036639857015193
Penn,NA,sex_category,female,categorical,437,1029,0.42468415937803694
Penn,NA,sex_category,male,categorical,592,1029,0.5753158406219631
Penn,Q1,race_category,american indian or alaska native,categorical,10,5596,0.0017869907076483202
Penn,Q1,race_category,asian,categorical,127,5596,0.022694781987133667
Penn,Q1,race_category,black or african american,categorical,608,5596,0.10864903502501787
Penn,Q1,race_category,native hawaiian or other pacific islander,categorical,7,5596,0.0012508934953538242
Penn,Q1,race_category,other,categorical,212,5596,0.03788420300214439
Penn,Q1,race_category,unknown,categorical,535,5596,0.09560400285918513
Penn,Q1,race_category,white,categorical,4097,5596,0.7321300929235168
Penn,Q2,race_category,american indian or alaska native,categorical,17,5596,0.0030378842030021444
Penn,Q2,race_category,asian,categorical,389,5596,0.06951393852751965
Penn,Q2,race_category,black or african american,categorical,801,5596,0.14313795568263046
Penn,Q2,race_category,native hawaiian or other pacific islander,categorical,11,5596,0.001965689778413152
Penn,Q2,race_category,other,categorical,259,5596,0.04628305932809149
Penn,Q2,race_category,unknown,categorical,296,5596,0.05289492494639028
Penn,Q2,race_category,white,categorical,3823,5596,0.6831665475339528
Penn,Q3,race_category,american indian or alaska native,categorical,17,5596,0.0030378842030021444
Penn,Q3,race_category,asian,categorical,229,5596,0.040922087205146535
Penn,Q3,race_category,black or african american,categorical,3279,5596,0.5859542530378842
Penn,Q3,race_category,native hawaiian or other pacific islander,categorical,12,5596,0.002144388849177984
Penn,Q3,race_category,other,categorical,183,5596,0.03270192994996426
Penn,Q3,race_category,unknown,categorical,195,5596,0.03484631879914225
Penn,Q3,race_category,white,categorical,1681,5596,0.3003931379556826
Penn,Q4,race_category,american indian or alaska native,categorical,8,5595,0.0014298480786416443
Penn,Q4,race_category,asian,categorical,152,5595,0.027167113494191243
Penn,Q4,race_category,black or african american,categorical,3728,5595,0.6663092046470063
Penn,Q4,race_category,native hawaiian or other pacific islander,categorical,7,5595,0.0012511170688114387
Penn,Q4,race_category,other,categorical,132,5595,0.02359249329758713
Penn,Q4,race_category,unknown,categorical,195,5595,0.03485254691689008
Penn,Q4,race_category,white,categorical,1373,5595,0.24539767649687222
Penn,NA,race_category,american indian or alaska native,categorical,3,1029,0.0029154518950437317
Penn,NA,race_category,asian,categorical,48,1029,0.04664723032069971
Penn,NA,race_category,black or african american,categorical,262,1029,0.25461613216715256
Penn,NA,race_category,native hawaiian or other pacific islander,categorical,3,1029,0.0029154518950437317
Penn,NA,race_category,other,categorical,48,1029,0.04664723032069971
Penn,NA,race_category,unknown,categorical,91,1029,0.08843537414965986
Penn,NA,race_category,white,categorical,574,1029,0.5578231292517006
Penn,Q1,ethnicity_category,hispanic,categorical,217,5596,0.038777698355968546
Penn,Q1,ethnicity_category,non-hispanic,categorical,5111,5596,0.9133309506790565
Penn,Q1,ethnicity_category,unknown,categorical,268,5596,0.04789135096497498
Penn,Q2,ethnicity_category,hispanic,categorical,196,5596,0.035025017869907075
Penn,Q2,ethnicity_category,non-hispanic,categorical,5242,5596,0.9367405289492494
Penn,Q2,ethnicity_category,unknown,categorical,158,5596,0.028234453180843458
Penn,Q3,ethnicity_category,hispanic,categorical,178,5596,0.0318084345961401
Penn,Q3,ethnicity_category,non-hispanic,categorical,5325,5596,0.9515725518227305
Penn,Q3,ethnicity_category,unknown,categorical,93,5596,0.01661901358112938
Penn,Q4,ethnicity_category,hispanic,categorical,176,5595,0.031456657730116175
Penn,Q4,ethnicity_category,non-hispanic,categorical,5359,5595,0.9578194816800715
Penn,Q4,ethnicity_category,unknown,categorical,60,5595,0.010723860589812333
Penn,NA,ethnicity_category,hispanic,categorical,41,1029,0.03984450923226433
Penn,NA,ethnicity_category,non-hispanic,categorical,950,1029,0.923226433430515
Penn,NA,ethnicity_category,unknown,categorical,38,1029,0.0369290573372206
Penn,Q1,device_t0,CPAP,categorical,1,5596,1.7869907076483203e-4
Penn,Q1,device_t0,FACE MASK,categorical,410,5596,0.07326661901358113
Penn,Q1,device_t0,HIGH FLOW NC,categorical,627,5596,0.11204431736954967
Penn,Q1,device_t0,IMV,categorical,2027,5596,0.3622230164403145
Penn,Q1,device_t0,NASAL CANNULA,categorical,1325,5596,0.23677626876340244
Penn,Q1,device_t0,NIPPV,categorical,508,5596,0.09077912794853467
Penn,Q1,device_t0,OTHER,categorical,18,5596,0.0032165832737669764
Penn,Q1,device_t0,ROOM AIR,categorical,406,5596,0.0725518227305218
Penn,Q1,device_t0,TRACH COLLAR,categorical,32,5596,0.005718370264474625
Penn,Q1,device_t0,UNK,categorical,196,5596,0.035025017869907075
Penn,Q1,device_t0,NA,categorical,46,5596,0.008220157255182273
Penn,Q2,device_t0,CPAP,categorical,2,5596,3.5739814152966406e-4
Penn,Q2,device_t0,FACE MASK,categorical,522,5596,0.09328091493924232
Penn,Q2,device_t0,HIGH FLOW NC,categorical,510,5596,0.09113652609006433
Penn,Q2,device_t0,IMV,categorical,1897,5596,0.33899213724088634
Penn,Q2,device_t0,NASAL CANNULA,categorical,1261,5596,0.2253395282344532
Penn,Q2,device_t0,NIPPV,categorical,608,5596,0.10864903502501787
Penn,Q2,device_t0,OTHER,categorical,30,5596,0.005360972122944961
Penn,Q2,device_t0,ROOM AIR,categorical,436,5596,0.07791279485346676
Penn,Q2,device_t0,TRACH COLLAR,categorical,26,5596,0.004646175839885632
Penn,Q2,device_t0,UNK,categorical,216,5596,0.03859899928520372
Penn,Q2,device_t0,NA,categorical,88,5596,0.015725518227305217
Penn,Q3,device_t0,CPAP,categorical,1,5596,1.7869907076483203e-4
Penn,Q3,device_t0,FACE MASK,categorical,448,5596,0.08005718370264475
Penn,Q3,device_t0,HIGH FLOW NC,categorical,403,5596,0.07201572551822731
Penn,Q3,device_t0,IMV,categorical,2021,5596,0.3611508220157255
Penn,Q3,device_t0,NASAL CANNULA,categorical,1257,5596,0.22462473195139385
Penn,Q3,device_t0,NIPPV,categorical,757,5596,0.13527519656897785
Penn,Q3,device_t0,OTHER,categorical,15,5596,0.0026804860614724805
Penn,Q3,device_t0,ROOM AIR,categorical,432,5596,0.07719799857040743
Penn,Q3,device_t0,TRACH COLLAR,categorical,31,5596,0.0055396711937097925
Penn,Q3,device_t0,UNK,categorical,171,5596,0.030557541100786276
Penn,Q3,device_t0,NA,categorical,60,5596,0.010721944245889922
Penn,Q4,device_t0,CPAP,categorical,8,5595,0.0014298480786416443
Penn,Q4,device_t0,FACE MASK,categorical,431,5595,0.07703306523681859
Penn,Q4,device_t0,HIGH FLOW NC,categorical,454,5595,0.08114387846291332
Penn,Q4,device_t0,IMV,categorical,2019,5595,0.360857908847185
Penn,Q4,device_t0,NASAL CANNULA,categorical,1337,5595,0.2389633601429848
Penn,Q4,device_t0,NIPPV,categorical,649,5595,0.1159964253798034
Penn,Q4,device_t0,OTHER,categorical,15,5595,0.002680965147453083
Penn,Q4,device_t0,ROOM AIR,categorical,467,5595,0.08346738159070599
Penn,Q4,device_t0,TRACH COLLAR,categorical,35,5595,0.006255585344057194
Penn,Q4,device_t0,UNK,categorical,127,5595,0.022698838248436104
Penn,Q4,device_t0,NA,categorical,53,5595,0.009472743521000894
Penn,NA,device_t0,FACE MASK,categorical,66,1029,0.0641399416909621
Penn,NA,device_t0,HIGH FLOW NC,categorical,62,1029,0.06025267249757046
Penn,NA,device_t0,IMV,categorical,437,1029,0.42468415937803694
Penn,NA,device_t0,NASAL CANNULA,categorical,216,1029,0.2099125364431487
Penn,NA,device_t0,NIPPV,categorical,96,1029,0.09329446064139942
Penn,NA,device_t0,OTHER,categorical,7,1029,0.006802721088435374
Penn,NA,device_t0,ROOM AIR,categorical,87,1029,0.08454810495626822
Penn,NA,device_t0,TRACH COLLAR,categorical,4,1029,0.003887269193391642
Penn,NA,device_t0,UNK,categorical,41,1029,0.03984450923226433
Penn,NA,device_t0,NA,categorical,13,1029,0.012633624878522837
Penn,Q1,traj_cluster_ra,1,categorical,1656,5596,0.29592566118656183
Penn,Q1,traj_cluster_ra,2,categorical,1447,5596,0.25857755539671196
Penn,Q1,traj_cluster_ra,3,categorical,918,5596,0.1640457469621158
Penn,Q1,traj_cluster_ra,4,categorical,922,5596,0.1647605432451751
Penn,Q1,traj_cluster_ra,5,categorical,638,5596,0.11401000714796283
Penn,Q1,traj_cluster_ra,NA,categorical,15,5596,0.0026804860614724805
Penn,Q2,traj_cluster_ra,1,categorical,1754,5596,0.31343817012151537
Penn,Q2,traj_cluster_ra,2,categorical,1212,5596,0.21658327376697642
Penn,Q2,traj_cluster_ra,3,categorical,1012,5596,0.18084345961401
Penn,Q2,traj_cluster_ra,4,categorical,999,5596,0.1785203716940672
Penn,Q2,traj_cluster_ra,5,categorical,589,5596,0.10525375268048606
Penn,Q2,traj_cluster_ra,NA,categorical,30,5596,0.005360972122944961
Penn,Q3,traj_cluster_ra,1,categorical,1650,5596,0.2948534667619728
Penn,Q3,traj_cluster_ra,2,categorical,1253,5596,0.22390993566833453
Penn,Q3,traj_cluster_ra,3,categorical,1041,5596,0.18602573266619013
Penn,Q3,traj_cluster_ra,4,categorical,1231,5596,0.2199785561115082
Penn,Q3,traj_cluster_ra,5,categorical,400,5596,0.07147962830593281
Penn,Q3,traj_cluster_ra,NA,categorical,21,5596,0.0037526804860614723
Penn,Q4,traj_cluster_ra,1,categorical,1661,5595,0.2968722073279714
Penn,Q4,traj_cluster_ra,2,categorical,1328,5595,0.23735478105451296
Penn,Q4,traj_cluster_ra,3,categorical,834,5595,0.14906166219839143
Penn,Q4,traj_cluster_ra,4,categorical,1163,5595,0.20786416443252903
Penn,Q4,traj_cluster_ra,5,categorical,596,5595,0.1065236818588025
Penn,Q4,traj_cluster_ra,NA,categorical,13,5595,0.002323503127792672
Penn,NA,traj_cluster_ra,1,categorical,259,1029,0.25170068027210885
Penn,NA,traj_cluster_ra,2,categorical,270,1029,0.26239067055393583
Penn,NA,traj_cluster_ra,3,categorical,230,1029,0.22351797862001943
Penn,NA,traj_cluster_ra,4,categorical,194,1029,0.18853255587949466
Penn,NA,traj_cluster_ra,5,categorical,71,1029,0.06899902818270165
Penn,NA,traj_cluster_ra,NA,categorical,5,1029,0.004859086491739553
Penn,Q1,severity_rank,1,categorical,922,5596,0.1647605432451751
Penn,Q1,severity_rank,2,categorical,1656,5596,0.29592566118656183
Penn,Q1,severity_rank,3,categorical,638,5596,0.11401000714796283
Penn,Q1,severity_rank,4,categorical,1447,5596,0.25857755539671196
Penn,Q1,severity_rank,5,categorical,918,5596,0.1640457469621158
Penn,Q1,severity_rank,NA,categorical,15,5596,0.0026804860614724805
Penn,Q2,severity_rank,1,categorical,999,5596,0.1785203716940672
Penn,Q2,severity_rank,2,categorical,1754,5596,0.31343817012151537
Penn,Q2,severity_rank,3,categorical,589,5596,0.10525375268048606
Penn,Q2,severity_rank,4,categorical,1212,5596,0.21658327376697642
Penn,Q2,severity_rank,5,categorical,1012,5596,0.18084345961401
Penn,Q2,severity_rank,NA,categorical,30,5596,0.005360972122944961
Penn,Q3,severity_rank,1,categorical,1231,5596,0.2199785561115082
Penn,Q3,severity_rank,2,categorical,1650,5596,0.2948534667619728
Penn,Q3,severity_rank,3,categorical,400,5596,0.07147962830593281
Penn,Q3,severity_rank,4,categorical,1253,5596,0.22390993566833453
Penn,Q3,severity_rank,5,categorical,1041,5596,0.18602573266619013
Penn,Q3,severity_rank,NA,categorical,21,5596,0.0037526804860614723
Penn,Q4,severity_rank,1,categorical,1163,5595,0.20786416443252903
Penn,Q4,severity_rank,2,categorical,1661,5595,0.2968722073279714
Penn,Q4,severity_rank,3,categorical,596,5595,0.1065236818588025
Penn,Q4,severity_rank,4,categorical,1328,5595,0.23735478105451296
Penn,Q4,severity_rank,5,categorical,834,5595,0.14906166219839143
Penn,Q4,severity_rank,NA,categorical,13,5595,0.002323503127792672
Penn,NA,severity_rank,1,categorical,194,1029,0.18853255587949466
Penn,NA,severity_rank,2,categorical,259,1029,0.25170068027210885
Penn,NA,severity_rank,3,categorical,71,1029,0.06899902818270165
Penn,NA,severity_rank,4,categorical,270,1029,0.26239067055393583
Penn,NA,severity_rank,5,categorical,230,1029,0.22351797862001943
Penn,NA,severity_rank,NA,categorical,5,1029,0.004859086491739553
Penn,Q1,death_in_hosp,0,categorical,3990,5596,0.7130092923516798
Penn,Q1,death_in_hosp,1,categorical,1606,5596,0.28699070764832024
Penn,Q2,death_in_hosp,0,categorical,4157,5596,0.7428520371694067
Penn,Q2,death_in_hosp,1,categorical,1439,5596,0.25714796283059327
Penn,Q3,death_in_hosp,0,categorical,4281,5596,0.7650107219442459
Penn,Q3,death_in_hosp,1,categorical,1315,5596,0.23498927805575412
Penn,Q4,death_in_hosp,0,categorical,4461,5595,0.797319034852547
Penn,Q4,death_in_hosp,1,categorical,1134,5595,0.2026809651474531
Penn,NA,death_in_hosp,0,categorical,680,1029,0.6608357628765792
Penn,NA,death_in_hosp,1,categorical,349,1029,0.3391642371234208
Penn,Q1,hospice_discharge,0,categorical,5238,5596,0.9360257326661902
Penn,Q1,hospice_discharge,1,categorical,358,5596,0.06397426733380987
Penn,Q2,hospice_discharge,0,categorical,5191,5596,0.927626876340243
Penn,Q2,hospice_discharge,1,categorical,405,5596,0.07237312365975697
Penn,Q3,hospice_discharge,0,categorical,5311,5596,0.9490707648320229
Penn,Q3,hospice_discharge,1,categorical,285,5596,0.05092923516797713
Penn,Q4,hospice_discharge,0,categorical,5210,5595,0.9311885612153709
Penn,Q4,hospice_discharge,1,categorical,385,5595,0.06881143878462913
Penn,NA,hospice_discharge,0,categorical,956,1029,0.9290573372206026
Penn,NA,hospice_discharge,1,categorical,73,1029,0.07094266277939747
Penn,Q1,death_or_hospice,0,categorical,3632,5596,0.6490350250178699
Penn,Q1,death_or_hospice,1,categorical,1964,5596,0.3509649749821301
Penn,Q2,death_or_hospice,0,categorical,3752,5596,0.6704789135096497
Penn,Q2,death_or_hospice,1,categorical,1844,5596,0.3295210864903502
Penn,Q3,death_or_hospice,0,categorical,3996,5596,0.7140814867762688
Penn,Q3,death_or_hospice,1,categorical,1600,5596,0.28591851322373124
Penn,Q4,death_or_hospice,0,categorical,4076,5595,0.7285075960679178
Penn,Q4,death_or_hospice,1,categorical,1519,5595,0.27149240393208224
Penn,NA,death_or_hospice,0,categorical,607,1029,0.5898931000971818
Penn,NA,death_or_hospice,1,categorical,422,1029,0.4101068999028183
Penn,Q1,any_imv_icu,0,categorical,2585,5596,0.46193709792709076
Penn,Q1,any_imv_icu,1,categorical,3011,5596,0.5380629020729092
Penn,Q2,any_imv_icu,0,categorical,2781,5596,0.49696211579699784
Penn,Q2,any_imv_icu,1,categorical,2815,5596,0.5030378842030021
Penn,Q3,any_imv_icu,0,categorical,2753,5596,0.4919585418155826
Penn,Q3,any_imv_icu,1,categorical,2843,5596,0.5080414581844175
Penn,Q4,any_imv_icu,0,categorical,2833,5595,0.5063449508489722
Penn,Q4,any_imv_icu,1,categorical,2762,5595,0.4936550491510277
Penn,NA,any_imv_icu,0,categorical,420,1029,0.40816326530612246
Penn,NA,any_imv_icu,1,categorical,609,1029,0.5918367346938775
Penn,Q1,any_imv_72h,0,categorical,2844,5596,0.5082201572551823
Penn,Q1,any_imv_72h,1,categorical,2752,5596,0.49177984274481773
Penn,Q2,any_imv_72h,0,categorical,3013,5596,0.5384203002144389
Penn,Q2,any_imv_72h,1,categorical,2583,5596,0.4615796997855611
Penn,Q3,any_imv_72h,0,categorical,2899,5596,0.518048606147248
Penn,Q3,any_imv_72h,1,categorical,2697,5596,0.481951393852752
Penn,Q4,any_imv_72h,0,categorical,3018,5595,0.5394101876675603
Penn,Q4,any_imv_72h,1,categorical,2577,5595,0.4605898123324397
Penn,NA,any_imv_72h,0,categorical,462,1029,0.4489795918367347
Penn,NA,any_imv_72h,1,categorical,567,1029,0.5510204081632653
Penn,Q1,vaso_any_72h,0,categorical,3197,5596,0.571300929235168
Penn,Q1,vaso_any_72h,1,categorical,2399,5596,0.42869907076483205
Penn,Q2,vaso_any_72h,0,categorical,3394,5596,0.6065046461758399
Penn,Q2,vaso_any_72h,1,categorical,2202,5596,0.3934953538241601
Penn,Q3,vaso_any_72h,0,categorical,3411,5596,0.609542530378842
Penn,Q3,vaso_any_72h,1,categorical,2185,5596,0.39045746962115796
Penn,Q4,vaso_any_72h,0,categorical,3799,5595,0.6789991063449509
Penn,Q4,vaso_any_72h,1,categorical,1796,5595,0.32100089365504914
Penn,NA,vaso_any_72h,0,categorical,593,1029,0.576287657920311
Penn,NA,vaso_any_72h,1,categorical,436,1029,0.423712342079689
Penn,Q1,advanced_cancer_any_poa,0,categorical,4445,5596,0.7943173695496784
Penn,Q1,advanced_cancer_any_poa,1,categorical,1151,5596,0.20568263045032165
Penn,Q2,advanced_cancer_any_poa,0,categorical,4281,5596,0.7650107219442459
Penn,Q2,advanced_cancer_any_poa,1,categorical,1315,5596,0.23498927805575412
Penn,Q3,advanced_cancer_any_poa,0,categorical,4507,5596,0.8053967119370979
Penn,Q3,advanced_cancer_any_poa,1,categorical,1089,5596,0.19460328806290209
Penn,Q4,advanced_cancer_any_poa,0,categorical,4590,5595,0.8203753351206434
Penn,Q4,advanced_cancer_any_poa,1,categorical,1005,5595,0.17962466487935658
Penn,NA,advanced_cancer_any_poa,0,categorical,816,1029,0.793002915451895
Penn,NA,advanced_cancer_any_poa,1,categorical,213,1029,0.20699708454810495
Penn,Q1,metastatic_cancer_poa,0,categorical,4848,5596,0.8663330950679057
Penn,Q1,metastatic_cancer_poa,1,categorical,748,5596,0.13366690493209435
Penn,Q2,metastatic_cancer_poa,0,categorical,4716,5596,0.8427448177269479
Penn,Q2,metastatic_cancer_poa,1,categorical,880,5596,0.15725518227305219
Penn,Q3,metastatic_cancer_poa,0,categorical,4972,5596,0.8884917798427449
Penn,Q3,metastatic_cancer_poa,1,categorical,624,5596,0.11150822015725519
Penn,Q4,metastatic_cancer_poa,0,categorical,4974,5595,0.8890080428954423
Penn,Q4,metastatic_cancer_poa,1,categorical,621,5595,0.11099195710455764
Penn,NA,metastatic_cancer_poa,0,categorical,905,1029,0.8794946550048591
Penn,NA,metastatic_cancer_poa,1,categorical,124,1029,0.12050534499514091
Penn,Q1,malignant_pleural_effusion_poa,0,categorical,5333,5596,0.9530021443888492
Penn,Q1,malignant_pleural_effusion_poa,1,categorical,263,5596,0.04699785561115082
Penn,Q2,malignant_pleural_effusion_poa,0,categorical,5271,5596,0.9419228020014296
Penn,Q2,malignant_pleural_effusion_poa,1,categorical,325,5596,0.058077197998570404
Penn,Q3,malignant_pleural_effusion_poa,0,categorical,5355,5596,0.9569335239456754
Penn,Q3,malignant_pleural_effusion_poa,1,categorical,241,5596,0.043066476054324516
Penn,Q4,malignant_pleural_effusion_poa,0,categorical,5418,5595,0.9683646112600536
Penn,Q4,malignant_pleural_effusion_poa,1,categorical,177,5595,0.03163538873994638
Penn,NA,malignant_pleural_effusion_poa,0,categorical,989,1029,0.9611273080660836
Penn,NA,malignant_pleural_effusion_poa,1,categorical,40,1029,0.038872691933916424
Penn,Q1,cachexia_poa,0,categorical,5188,5596,0.9270907791279486
Penn,Q1,cachexia_poa,1,categorical,408,5596,0.07290922087205147
Penn,Q2,cachexia_poa,0,categorical,5170,5596,0.9238741958541815
Penn,Q2,cachexia_poa,1,categorical,426,5596,0.07612580414581845
Penn,Q3,cachexia_poa,0,categorical,5050,5596,0.9024303073624017
Penn,Q3,cachexia_poa,1,categorical,546,5596,0.09756969263759828
Penn,Q4,cachexia_poa,0,categorical,5153,5595,0.9210008936550491
Penn,Q4,cachexia_poa,1,categorical,442,5595,0.07899910634495085
Penn,NA,cachexia_poa,0,categorical,940,1029,0.9135082604470359
Penn,NA,cachexia_poa,1,categorical,89,1029,0.08649173955296405
