site_name,stratum,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75
Penn,Q1,age_years,NA,continuous,5596,64.65918758398857,16.048565451352044,66.987671,56.1924655,75.85547975
Penn,Q2,age_years,NA,continuous,5596,65.76130699678342,16.791712549738435,67.91917799999999,56.493835250000004,77.549315000000007
Penn,Q3,age_years,NA,continuous,5596,63.44703799821301,17.002221680223588,65.128767,53.93972625000001,74.9068495
Penn,Q4,age_years,NA,continuous,5595,62.34680377837355,16.737827325112853,64.057534,53.086301500000005,73.90137
Penn,NA,age_years,NA,continuous,1029,64.8505052186589,17.655748934050703,66.556164,54.189041,77.156164
Penn,Q1,icu_los_hours,NA,continuous,5596,238.86374493685966,431.86137907621963,107.775,46.54583333333333,259.9708333333333
Penn,Q2,icu_los_hours,NA,continuous,5596,218.6987401715511,449.16731889781755,104.225,47.99583333333334,228.91666666666666
Penn,Q3,icu_los_hours,NA,continuous,5596,189.6424380509888,296.6044524819253,88.125,39.17916666666666,210.2625
Penn,Q4,icu_los_hours,NA,continuous,5595,199.94978850163838,343.8180232094676,95.13333333333334,42.65833333333333,231.91666666666666
Penn,NA,icu_los_hours,NA,continuous,1029,218.2945902170392,327.9167520347512,107.15,43.45,250.26666666666668
Penn,Q1,imv_hours_icu,NA,continuous,5596,102.66404574696212,284.0344906009464,7,0,94
Penn,Q2,imv_hours_icu,NA,continuous,5596,82.80253752680485,261.5093635786584,1,0,64
Penn,Q3,imv_hours_icu,NA,continuous,5596,74.2433881343817,175.75538616222616,1,0,68
Penn,Q4,imv_hours_icu,NA,continuous,5595,83.21108132260947,237.83347125414198,0,0,74
Penn,NA,imv_hours_icu,NA,continuous,1029,94.28862973760933,225.49148930286322,13,0,101
Penn,Q1,imv_hours_72h,NA,continuous,5596,21.536454610436024,27.59065507071846,0,0,47
Penn,Q2,imv_hours_72h,NA,continuous,5596,17.893674052894927,25.164792830931013,0,0,34
Penn,Q3,imv_hours_72h,NA,continuous,5596,20.48784846318799,27.004187189623146,0,0,42
Penn,Q4,imv_hours_72h,NA,continuous,5595,20.430920464700627,27.265396901727378,0,0,44
Penn,NA,imv_hours_72h,NA,continuous,1029,23.104956268221574,27.328358311807055,7,0,47
