county_code,traj_cluster_ra,n,county_total,prop_cluster_in_county,cluster_total,prop_county_in_cluster,n_suppressed,prop_cluster_in_county_suppressed,prop_county_in_cluster_suppressed,site_name
01039,2,1,1,1,686,0.0014577259475218659,NA,NA,NA,RUSH
01089,1,1,1,1,1275,7.84313725490196e-4,NA,NA,NA,RUSH
05115,1,3,3,1,1275,0.002352941176470588,NA,NA,NA,RUSH
06037,3,1,1,1,1240,8.064516129032258e-4,NA,NA,NA,RUSH
12011,3,1,1,1,1240,8.064516129032258e-4,NA,NA,NA,RUSH
12031,5,1,1,1,322,0.003105590062111801,NA,NA,NA,RUSH
12033,2,1,1,1,686,0.0014577259475218659,NA,NA,NA,RUSH
12071,3,1,1,1,1240,8.064516129032258e-4,NA,NA,NA,RUSH
12086,1,1,1,1,1275,7.84313725490196e-4,NA,NA,NA,RUSH
12095,3,2,2,1,1240,0.0016129032258064516,NA,NA,NA,RUSH
13051,3,1,1,1,1240,8.064516129032258e-4,NA,NA,NA,RUSH
17001,2,1,1,1,686,0.0014577259475218659,NA,NA,NA,RUSH
17011,1,1,1,1,1275,7.84313725490196e-4,NA,NA,NA,RUSH
17031,1,1038,3019,0.34382245776747267,1275,0.8141176470588235,1038,0.34382245776747267,0.8141176470588235,RUSH
17031,2,512,3019,0.1695925803246108,686,0.7463556851311953,512,0.1695925803246108,0.7463556851311953,RUSH
17031,3,1040,3019,0.3444849287843657,1240,0.8387096774193549,1040,0.3444849287843657,0.8387096774193549,RUSH
17031,4,143,3019,0.04736667770785028,194,0.7371134020618557,143,0.04736667770785028,0.7371134020618557,RUSH
17031,5,286,3019,0.09473335541570056,322,0.8881987577639752,286,0.09473335541570056,0.8881987577639752,RUSH
17037,1,3,4,0.75,1275,0.002352941176470588,NA,NA,NA,RUSH
17037,3,1,4,0.25,1240,8.064516129032258e-4,NA,NA,NA,RUSH
17039,2,1,1,1,686,0.0014577259475218659,NA,NA,NA,RUSH
17043,1,28,84,0.3333333333333333,1275,0.02196078431372549,28,0.3333333333333333,0.02196078431372549,RUSH
17043,2,20,84,0.23809523809523808,686,0.029154518950437316,20,0.23809523809523808,0.029154518950437316,RUSH
17043,3,26,84,0.30952380952380953,1240,0.020967741935483872,26,0.30952380952380953,0.020967741935483872,RUSH
17043,4,5,84,0.05952380952380952,194,0.02577319587628866,NA,NA,NA,RUSH
17043,5,5,84,0.05952380952380952,322,0.015527950310559006,NA,NA,NA,RUSH
17053,3,1,1,1,1240,8.064516129032258e-4,NA,NA,NA,RUSH
17063,1,1,4,0.25,1275,7.84313725490196e-4,NA,NA,NA,RUSH
17063,3,2,4,0.5,1240,0.0016129032258064516,NA,NA,NA,RUSH
17063,5,1,4,0.25,322,0.003105590062111801,NA,NA,NA,RUSH
17073,2,1,1,1,686,0.0014577259475218659,NA,NA,NA,RUSH
17075,2,2,5,0.4,686,0.0029154518950437317,NA,NA,NA,RUSH
17075,3,3,5,0.6,1240,0.0024193548387096775,NA,NA,NA,RUSH
17077,1,1,2,0.5,1275,7.84313725490196e-4,NA,NA,NA,RUSH
17077,2,1,2,0.5,686,0.0014577259475218659,NA,NA,NA,RUSH
17089,1,23,73,0.3150684931506849,1275,0.01803921568627451,23,0.3150684931506849,0.01803921568627451,RUSH
17089,2,20,73,0.273972602739726,686,0.029154518950437316,20,0.273972602739726,0.029154518950437316,RUSH
17089,3,17,73,0.2328767123287671,1240,0.013709677419354839,17,0.2328767123287671,0.013709677419354839,RUSH
17089,4,9,73,0.1232876712328767,194,0.04639175257731959,NA,NA,NA,RUSH
17089,5,4,73,0.0547945205479452,322,0.012422360248447204,NA,NA,NA,RUSH
17091,1,8,30,0.26666666666666666,1275,0.006274509803921568,NA,NA,NA,RUSH
17091,2,9,30,0.3,686,0.013119533527696793,NA,NA,NA,RUSH
17091,3,8,30,0.26666666666666666,1240,0.0064516129032258064,NA,NA,NA,RUSH
17091,4,2,30,0.06666666666666667,194,0.010309278350515464,NA,NA,NA,RUSH
17091,5,3,30,0.1,322,0.009316770186335404,NA,NA,NA,RUSH
