county_code,site_name,county_total,dominant_cluster,dominant_cluster_prop,n_clusters_present,cluster_entropy,county_total_suppressed,dominant_cluster_prop_suppressed,dominant_cluster_suppressed,cluster_entropy_suppressed
01039,RUSH,1,2,1,1,-0,NA,NA,NA,NA
01089,RUSH,1,1,1,1,-0,NA,NA,NA,NA
05115,RUSH,3,1,1,1,-0,NA,NA,NA,NA
06037,RUSH,1,3,1,1,-0,NA,NA,NA,NA
12011,RUSH,1,3,1,1,-0,NA,NA,NA,NA
12031,RUSH,1,5,1,1,-0,NA,NA,NA,NA
12033,RUSH,1,2,1,1,-0,NA,NA,NA,NA
12071,RUSH,1,3,1,1,-0,NA,NA,NA,NA
12086,RUSH,1,1,1,1,-0,NA,NA,NA,NA
12095,RUSH,2,3,1,1,-0,NA,NA,NA,NA
13051,RUSH,1,3,1,1,-0,NA,NA,NA,NA
17001,RUSH,1,2,1,1,-0,NA,NA,NA,NA
17011,RUSH,1,1,1,1,-0,NA,NA,NA,NA
17031,RUSH,3019,3,0.3444849287843657,5,1.4028297591171988,3019,0.3444849287843657,3,1.4028297591171988
17037,RUSH,4,1,0.75,2,0.5623351446188083,NA,NA,NA,NA
17039,RUSH,1,2,1,1,-0,NA,NA,NA,NA
17043,RUSH,84,1,0.3333333333333333,5,1.4067541694518246,84,0.3333333333333333,1,1.4067541694518246
17053,RUSH,1,3,1,1,-0,NA,NA,NA,NA
17063,RUSH,4,3,0.5,3,1.0397207708399179,NA,NA,NA,NA
17073,RUSH,1,2,1,1,-0,NA,NA,NA,NA
17075,RUSH,5,3,0.6,2,0.6730116670092565,NA,NA,NA,NA
17077,RUSH,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
17089,RUSH,73,1,0.3150684931506849,5,1.4751739900948093,73,0.3150684931506849,1,1.4751739900948093
17091,RUSH,30,2,0.3,5,1.4769234786612364,30,0.3,2,1.4769234786612364
17093,RUSH,56,1,0.32142857142857145,5,1.4718703877323875,56,0.32142857142857145,1,1.4718703877323875
17095,RUSH,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
17097,RUSH,56,1,0.35714285714285715,5,1.3701429636589664,56,0.35714285714285715,1,1.3701429636589664
17099,RUSH,8,2,0.375,3,1.0821955300387673,NA,NA,NA,NA
17103,RUSH,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
17105,RUSH,1,2,1,1,-0,NA,NA,NA,NA
17111,RUSH,18,1,0.3888888888888889,4,1.276257364236179,18,0.3888888888888889,1,1.276257364236179
17113,RUSH,4,1,0.5,3,1.0397207708399179,NA,NA,NA,NA
17115,RUSH,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
17139,RUSH,1,4,1,1,-0,NA,NA,NA,NA
17141,RUSH,9,3,0.4444444444444444,4,1.2148896539491203,NA,NA,NA,NA
17143,RUSH,1,1,1,1,-0,NA,NA,NA,NA
17145,RUSH,1,3,1,1,-0,NA,NA,NA,NA
17157,RUSH,1,1,1,1,-0,NA,NA,NA,NA
17161,RUSH,2,2,1,1,-0,NA,NA,NA,NA
17163,RUSH,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
17165,RUSH,1,2,1,1,-0,NA,NA,NA,NA
17167,RUSH,1,3,1,1,-0,NA,NA,NA,NA
17177,RUSH,1,3,1,1,-0,NA,NA,NA,NA
17179,RUSH,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
17183,RUSH,1,3,1,1,-0,NA,NA,NA,NA
17195,RUSH,4,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
17197,RUSH,127,1,0.3543307086614173,5,1.3832201129315473,127,0.3543307086614173,1,1.3832201129315473
17201,RUSH,7,1,0.2857142857142857,4,1.351783994289646,NA,NA,NA,NA
17203,RUSH,1,2,1,1,-0,NA,NA,NA,NA
18017,RUSH,1,1,1,1,-0,NA,NA,NA,NA
18027,RUSH,1,2,1,1,-0,NA,NA,NA,NA
18057,RUSH,1,1,1,1,-0,NA,NA,NA,NA
18059,RUSH,1,3,1,1,-0,NA,NA,NA,NA
18073,RUSH,1,3,1,1,-0,NA,NA,NA,NA
18089,RUSH,88,3,0.3522727272727273,5,1.3573071541099357,88,0.3522727272727273,3,1.3573071541099357
18091,RUSH,12,1,0.5,5,1.3143738430069454,12,0.5,1,1.3143738430069454
18097,RUSH,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
18111,RUSH,3,1,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
18127,RUSH,16,2,0.3125,5,1.4740568252732047,16,0.3125,2,1.4740568252732047
18141,RUSH,4,3,0.5,3,1.0397207708399179,NA,NA,NA,NA
18149,RUSH,4,2,0.5,3,1.0397207708399179,NA,NA,NA,NA
19015,RUSH,1,1,1,1,-0,NA,NA,NA,NA
19163,RUSH,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
20085,RUSH,1,1,1,1,-0,NA,NA,NA,NA
20173,RUSH,1,1,1,1,-0,NA,NA,NA,NA
21111,RUSH,1,1,1,1,-0,NA,NA,NA,NA
24025,RUSH,1,2,1,1,-0,NA,NA,NA,NA
26009,RUSH,1,4,1,1,-0,NA,NA,NA,NA
26021,RUSH,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
26161,RUSH,2,1,1,1,-0,NA,NA,NA,NA
26163,RUSH,1,4,1,1,-0,NA,NA,NA,NA
28083,RUSH,1,1,1,1,-0,NA,NA,NA,NA
29019,RUSH,1,1,1,1,-0,NA,NA,NA,NA
29095,RUSH,1,5,1,1,-0,NA,NA,NA,NA
32003,RUSH,1,1,1,1,-0,NA,NA,NA,NA
36021,RUSH,1,2,1,1,-0,NA,NA,NA,NA
36103,RUSH,1,1,1,1,-0,NA,NA,NA,NA
39061,RUSH,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
42091,RUSH,1,1,1,1,-0,NA,NA,NA,NA
45013,RUSH,2,1,1,1,-0,NA,NA,NA,NA
47065,RUSH,1,5,1,1,-0,NA,NA,NA,NA
47125,RUSH,1,1,1,1,-0,NA,NA,NA,NA
49035,RUSH,1,2,1,1,-0,NA,NA,NA,NA
55009,RUSH,1,3,1,1,-0,NA,NA,NA,NA
55073,RUSH,1,2,1,1,-0,NA,NA,NA,NA
55079,RUSH,1,1,1,1,-0,NA,NA,NA,NA
55097,RUSH,1,1,1,1,-0,NA,NA,NA,NA
55105,RUSH,1,3,1,1,-0,NA,NA,NA,NA
