site_name,stratum,variable,level,summary_type,n_nonmissing,mean,sd,median,p25,p75
RUSH,1,age_years,NA,continuous,1275,59.578823529411764,17.314045174663196,62,49,72
RUSH,2,age_years,NA,continuous,686,58.11078717201166,16.499837653478124,60,46,71
RUSH,3,age_years,NA,continuous,1240,62.95,16.07395388643317,65,53,74
RUSH,4,age_years,NA,continuous,194,59.51546391752577,15.503710672039718,62,49,70
RUSH,5,age_years,NA,continuous,322,59.15527950310559,15.966889028509513,61,49,69
RUSH,NA,age_years,NA,continuous,1,66,NA,66,66,66
RUSH,1,icu_los_hours,NA,continuous,1275,91.11533333333334,130.98591105685787,51.416666666666664,32.11666666666667,91.71666666666667
RUSH,2,icu_los_hours,NA,continuous,686,337.29497084548103,448.1468962071528,226.35000000000002,120.14583333333333,429.19999999999993
RUSH,3,icu_los_hours,NA,continuous,1240,122.54259408602151,164.97071837812743,71.125,39.4625,134.20833333333334
RUSH,4,icu_los_hours,NA,continuous,194,174.83419243986253,206.7017416454397,114.70833333333334,75.04583333333333,185.6125
RUSH,5,icu_los_hours,NA,continuous,322,233.02380952380952,294.5463868662658,166.00833333333333,106.01666666666668,245.01666666666668
RUSH,NA,icu_los_hours,NA,continuous,1,5.933333333333334,NA,5.933333333333334,5.933333333333334,5.933333333333334
RUSH,1,imv_hours_icu,NA,continuous,1275,2.3874509803921566,8.489193389711241,0,0,0
RUSH,2,imv_hours_icu,NA,continuous,686,57.38921282798834,70.20985311698011,36,20,73.75
RUSH,3,imv_hours_icu,NA,continuous,1240,2.557258064516129,14.200397142231974,0,0,0
RUSH,4,imv_hours_icu,NA,continuous,194,13.45360824742268,11.974083082623443,11,8,15
RUSH,5,imv_hours_icu,NA,continuous,322,9.096273291925465,29.30609834827214,0,0,0
RUSH,NA,imv_hours_icu,NA,continuous,1,0,NA,0,0,0
RUSH,1,imv_hours_72h,NA,continuous,1275,1.507450980392157,3.502486133804551,0,0,0
RUSH,2,imv_hours_72h,NA,continuous,686,19.09475218658892,6.261321554011776,20,17,23
RUSH,3,imv_hours_72h,NA,continuous,1240,0.18548387096774194,1.095643552405848,0,0,0
RUSH,4,imv_hours_72h,NA,continuous,194,10.489690721649485,4.519663074610359,10.5,7,13
RUSH,5,imv_hours_72h,NA,continuous,322,0.9875776397515528,3.061137323796025,0,0,0
RUSH,NA,imv_hours_72h,NA,continuous,1,0,NA,0,0,0
RUSH,1,escalations_icu,NA,continuous,1275,1.32,2.581092949958705,1,0,2
RUSH,2,escalations_icu,NA,continuous,686,2.4825072886297375,3.8700214238573256,1,0,3
RUSH,3,escalations_icu,NA,continuous,1240,2.2395161290322583,4.296878731811946,1,0,3
RUSH,4,escalations_icu,NA,continuous,194,2.4381443298969074,2.904131175721355,2,0,3
RUSH,5,escalations_icu,NA,continuous,322,3.6801242236024843,4.484675462417767,2,1,5
RUSH,NA,escalations_icu,NA,continuous,1,0,NA,0,0,0
RUSH,1,deescalations_icu,NA,continuous,1275,2.179607843137255,2.5966210690800757,2,1,3
RUSH,2,deescalations_icu,NA,continuous,686,3.2259475218658893,4.086291509176989,2,1,4
RUSH,3,deescalations_icu,NA,continuous,1240,2.664516129032258,4.278862844196936,2,0,3
RUSH,4,deescalations_icu,NA,continuous,194,3.783505154639175,3.0951300679097464,3,2,5
RUSH,5,deescalations_icu,NA,continuous,322,4.24223602484472,4.387430925359861,3,1,5
RUSH,NA,deescalations_icu,NA,continuous,1,0,NA,0,0,0
RUSH,1,vaso_hours_72h,NA,continuous,1275,1.4447058823529413,4.7236712903157025,0,0,0
RUSH,2,vaso_hours_72h,NA,continuous,686,13.957725947521865,15.429603457326214,8,0,25.75
RUSH,3,vaso_hours_72h,NA,continuous,1240,1.645967741935484,5.3451931170164375,0,0,0
RUSH,4,vaso_hours_72h,NA,continuous,194,7.438144329896907,11.257181411268595,0,0,12
RUSH,5,vaso_hours_72h,NA,continuous,322,2.0248447204968945,6.3588928193975525,0,0,0
RUSH,NA,vaso_hours_72h,NA,continuous,1,0,NA,0,0,0
RUSH,1,vaso_mean_72h,NA,continuous,1275,0.14901960784313725,0.35624753105515217,0,0,0
RUSH,2,vaso_mean_72h,NA,continuous,686,0.6545189504373178,0.47587183340699807,1,0,1
RUSH,3,vaso_mean_72h,NA,continuous,1240,0.14596774193548387,0.3532163283089867,0,0,0
RUSH,4,vaso_mean_72h,NA,continuous,194,0.4793814432989691,0.5008672570527479,0,0,1
RUSH,5,vaso_mean_72h,NA,continuous,322,0.15838509316770186,0.36566995762290233,0,0,0
RUSH,NA,vaso_mean_72h,NA,continuous,1,0,NA,0,0,0
RUSH,1,pm25_1y,NA,continuous,1275,9.500733652675853,1.0985885387619587,9.711938858032228,8.759417533874512,10.45326328277588
RUSH,2,pm25_1y,NA,continuous,686,9.532711013065484,1.102592971710665,10.45326328277588,8.759417533874512,10.45326328277588
RUSH,3,pm25_1y,NA,continuous,1240,9.425638336904589,1.0959803809799258,9.469734668731688,8.759417533874512,10.45326328277588
