site_name,stratum,variable,level,summary_type,n,denom,prop
RUSH,Q1,sex_category,Female,categorical,397,930,0.4268817204301075
RUSH,Q1,sex_category,Male,categorical,533,930,0.5731182795698925
RUSH,Q2,sex_category,Female,categorical,433,930,0.46559139784946235
RUSH,Q2,sex_category,Male,categorical,497,930,0.5344086021505376
RUSH,Q3,sex_category,Female,categorical,463,929,0.4983853606027987
RUSH,Q3,sex_category,Male,categorical,466,929,0.5016146393972013
RUSH,Q4,sex_category,Female,categorical,481,929,0.5177610333692142
RUSH,Q4,sex_category,Male,categorical,448,929,0.4822389666307858
RUSH,Q1,race_category,American Indian or Alaska Native,categorical,2,930,0.002150537634408602
RUSH,Q1,race_category,Asian,categorical,31,930,0.03333333333333333
RUSH,Q1,race_category,Black or African American,categorical,211,930,0.22688172043010751
RUSH,Q1,race_category,Other,categorical,123,930,0.13225806451612904
RUSH,Q1,race_category,Unknown,categorical,25,930,0.026881720430107527
RUSH,Q1,race_category,White,categorical,538,930,0.578494623655914
RUSH,Q2,race_category,American Indian or Alaska Native,categorical,4,930,0.004301075268817204
RUSH,Q2,race_category,Asian,categorical,49,930,0.05268817204301075
RUSH,Q2,race_category,Black or African American,categorical,429,930,0.4612903225806452
RUSH,Q2,race_category,Other,categorical,176,930,0.18924731182795698
RUSH,Q2,race_category,Unknown,categorical,25,930,0.026881720430107527
RUSH,Q2,race_category,White,categorical,247,930,0.26559139784946234
RUSH,Q3,race_category,American Indian or Alaska Native,categorical,2,929,0.002152852529601722
RUSH,Q3,race_category,Asian,categorical,39,929,0.04198062432723358
RUSH,Q3,race_category,Black or African American,categorical,435,929,0.4682454251883746
RUSH,Q3,race_category,Native Hawaiian or Other Pacific Islander,categorical,3,929,0.0032292787944025836
RUSH,Q3,race_category,Other,categorical,184,929,0.19806243272335844
RUSH,Q3,race_category,Unknown,categorical,11,929,0.011840688912809472
RUSH,Q3,race_category,White,categorical,255,929,0.2744886975242196
RUSH,Q4,race_category,American Indian or Alaska Native,categorical,1,929,0.001076426264800861
RUSH,Q4,race_category,Asian,categorical,19,929,0.02045209903121636
RUSH,Q4,race_category,Black or African American,categorical,468,929,0.503767491926803
RUSH,Q4,race_category,Native Hawaiian or Other Pacific Islander,categorical,1,929,0.001076426264800861
RUSH,Q4,race_category,Other,categorical,187,929,0.20129171151776104
RUSH,Q4,race_category,Unknown,categorical,4,929,0.004305705059203444
RUSH,Q4,race_category,White,categorical,249,929,0.2680301399354144
RUSH,Q1,ethnicity_category,Hispanic,categorical,131,930,0.14086021505376345
RUSH,Q1,ethnicity_category,Non-Hispanic,categorical,777,930,0.8354838709677419
RUSH,Q1,ethnicity_category,Unknown,categorical,22,930,0.023655913978494623
RUSH,Q2,ethnicity_category,Hispanic,categorical,184,930,0.1978494623655914
RUSH,Q2,ethnicity_category,Non-Hispanic,categorical,726,930,0.7806451612903226
RUSH,Q2,ethnicity_category,Unknown,categorical,20,930,0.021505376344086023
RUSH,Q3,ethnicity_category,Hispanic,categorical,207,929,0.22282023681377824
RUSH,Q3,ethnicity_category,Non-Hispanic,categorical,712,929,0.7664155005382132
RUSH,Q3,ethnicity_category,Unknown,categorical,10,929,0.010764262648008612
RUSH,Q4,ethnicity_category,Hispanic,categorical,230,929,0.24757804090419805
RUSH,Q4,ethnicity_category,Non-Hispanic,categorical,697,929,0.7502691065662002
RUSH,Q4,ethnicity_category,Unknown,categorical,2,929,0.002152852529601722
RUSH,Q1,device_t0,FACE MASK,categorical,53,930,0.05698924731182796
RUSH,Q1,device_t0,HIGH FLOW NC,categorical,26,930,0.02795698924731183
RUSH,Q1,device_t0,IMV,categorical,139,930,0.14946236559139786
RUSH,Q1,device_t0,NASAL CANNULA,categorical,274,930,0.2946236559139785
RUSH,Q1,device_t0,NIPPV,categorical,27,930,0.02903225806451613
RUSH,Q1,device_t0,ROOM AIR,categorical,113,930,0.12150537634408602
RUSH,Q1,device_t0,TRACH COLLAR,categorical,8,930,0.008602150537634409
RUSH,Q1,device_t0,UNK,categorical,289,930,0.310752688172043
RUSH,Q1,device_t0,NA,categorical,1,930,0.001075268817204301
RUSH,Q2,device_t0,CPAP,categorical,3,930,0.0032258064516129032
RUSH,Q2,device_t0,FACE MASK,categorical,46,930,0.04946236559139785
RUSH,Q2,device_t0,HIGH FLOW NC,categorical,36,930,0.03870967741935484
RUSH,Q2,device_t0,IMV,categorical,127,930,0.13655913978494624
RUSH,Q2,device_t0,NASAL CANNULA,categorical,302,930,0.3247311827956989
RUSH,Q2,device_t0,NIPPV,categorical,49,930,0.05268817204301075
RUSH,Q2,device_t0,ROOM AIR,categorical,100,930,0.10752688172043011
RUSH,Q2,device_t0,TRACH COLLAR,categorical,2,930,0.002150537634408602
RUSH,Q2,device_t0,UNK,categorical,263,930,0.28279569892473116
RUSH,Q2,device_t0,NA,categorical,2,930,0.002150537634408602
RUSH,Q3,device_t0,CPAP,categorical,1,929,0.001076426264800861
RUSH,Q3,device_t0,FACE MASK,categorical,41,929,0.04413347685683531
RUSH,Q3,device_t0,HIGH FLOW NC,categorical,29,929,0.031216361679224973
RUSH,Q3,device_t0,IMV,categorical,107,929,0.11517761033369214
RUSH,Q3,device_t0,NASAL CANNULA,categorical,350,929,0.3767491926803014
RUSH,Q3,device_t0,NIPPV,categorical,62,929,0.06673842841765339
RUSH,Q3,device_t0,ROOM AIR,categorical,92,929,0.09903121636167922
RUSH,Q3,device_t0,TRACH COLLAR,categorical,2,929,0.002152852529601722
RUSH,Q3,device_t0,UNK,categorical,245,929,0.263724434876211
RUSH,Q4,device_t0,FACE MASK,categorical,59,929,0.06350914962325081
RUSH,Q4,device_t0,HIGH FLOW NC,categorical,48,929,0.05166846071044134
RUSH,Q4,device_t0,IMV,categorical,70,929,0.07534983853606028
RUSH,Q4,device_t0,NASAL CANNULA,categorical,370,929,0.3982777179763186
RUSH,Q4,device_t0,NIPPV,categorical,40,929,0.04305705059203445
RUSH,Q4,device_t0,ROOM AIR,categorical,74,929,0.07965554359526372
RUSH,Q4,device_t0,TRACH COLLAR,categorical,3,929,0.0032292787944025836
RUSH,Q4,device_t0,UNK,categorical,264,929,0.28417653390742736
RUSH,Q4,device_t0,NA,categorical,1,929,0.001076426264800861
RUSH,Q1,traj_cluster_ra,1,categorical,318,930,0.3419354838709677
RUSH,Q1,traj_cluster_ra,2,categorical,207,930,0.22258064516129034
RUSH,Q1,traj_cluster_ra,3,categorical,290,930,0.3118279569892473
RUSH,Q1,traj_cluster_ra,4,categorical,61,930,0.06559139784946237
RUSH,Q1,traj_cluster_ra,5,categorical,54,930,0.05806451612903226
RUSH,Q2,traj_cluster_ra,1,categorical,343,930,0.3688172043010753
RUSH,Q2,traj_cluster_ra,2,categorical,196,930,0.210752688172043
RUSH,Q2,traj_cluster_ra,3,categorical,280,930,0.3010752688172043
RUSH,Q2,traj_cluster_ra,4,categorical,45,930,0.04838709677419355
RUSH,Q2,traj_cluster_ra,5,categorical,65,930,0.06989247311827956
RUSH,Q2,traj_cluster_ra,NA,categorical,1,930,0.001075268817204301
RUSH,Q3,traj_cluster_ra,1,categorical,326,929,0.35091496232508074
RUSH,Q3,traj_cluster_ra,2,categorical,155,929,0.1668460710441335
RUSH,Q3,traj_cluster_ra,3,categorical,347,929,0.37351991388589884
RUSH,Q3,traj_cluster_ra,4,categorical,45,929,0.04843918191603875
RUSH,Q3,traj_cluster_ra,5,categorical,56,929,0.060279870828848225
RUSH,Q4,traj_cluster_ra,1,categorical,288,929,0.310010764262648
RUSH,Q4,traj_cluster_ra,2,categorical,128,929,0.1377825618945102
RUSH,Q4,traj_cluster_ra,3,categorical,323,929,0.34768568353067814
RUSH,Q4,traj_cluster_ra,4,categorical,43,929,0.04628632938643703
RUSH,Q4,traj_cluster_ra,5,categorical,147,929,0.15823466092572658
RUSH,Q1,severity_rank,1,categorical,290,930,0.3118279569892473
RUSH,Q1,severity_rank,2,categorical,318,930,0.3419354838709677
RUSH,Q1,severity_rank,3,categorical,54,930,0.05806451612903226
RUSH,Q1,severity_rank,4,categorical,61,930,0.06559139784946237
RUSH,Q1,severity_rank,5,categorical,207,930,0.22258064516129034
RUSH,Q2,severity_rank,1,categorical,280,930,0.3010752688172043
RUSH,Q2,severity_rank,2,categorical,343,930,0.3688172043010753
RUSH,Q2,severity_rank,3,categorical,65,930,0.06989247311827956
RUSH,Q2,severity_rank,4,categorical,45,930,0.04838709677419355
RUSH,Q2,severity_rank,5,categorical,196,930,0.210752688172043
RUSH,Q2,severity_rank,NA,categorical,1,930,0.001075268817204301
RUSH,Q3,severity_rank,1,categorical,347,929,0.37351991388589884
RUSH,Q3,severity_rank,2,categorical,326,929,0.35091496232508074
RUSH,Q3,severity_rank,3,categorical,56,929,0.060279870828848225
RUSH,Q3,severity_rank,4,categorical,45,929,0.04843918191603875
RUSH,Q3,severity_rank,5,categorical,155,929,0.1668460710441335
RUSH,Q4,severity_rank,1,categorical,323,929,0.34768568353067814
RUSH,Q4,severity_rank,2,categorical,288,929,0.310010764262648
RUSH,Q4,severity_rank,3,categorical,147,929,0.15823466092572658
RUSH,Q4,severity_rank,4,categorical,43,929,0.04628632938643703
RUSH,Q4,severity_rank,5,categorical,128,929,0.1377825618945102
RUSH,Q1,death_in_hosp,0,categorical,804,930,0.864516129032258
RUSH,Q1,death_in_hosp,1,categorical,126,930,0.13548387096774195
RUSH,Q2,death_in_hosp,0,categorical,773,930,0.8311827956989247
RUSH,Q2,death_in_hosp,1,categorical,157,930,0.16881720430107527
RUSH,Q3,death_in_hosp,0,categorical,848,929,0.9128094725511302
RUSH,Q3,death_in_hosp,1,categorical,81,929,0.08719052744886975
RUSH,Q4,death_in_hosp,0,categorical,929,929,1
RUSH,Q1,hospice_discharge,0,categorical,879,930,0.9451612903225807
RUSH,Q1,hospice_discharge,1,categorical,51,930,0.054838709677419356
RUSH,Q2,hospice_discharge,0,categorical,858,930,0.9225806451612903
RUSH,Q2,hospice_discharge,1,categorical,72,930,0.07741935483870968
RUSH,Q3,hospice_discharge,0,categorical,900,929,0.9687836383207751
RUSH,Q3,hospice_discharge,1,categorical,29,929,0.031216361679224973
RUSH,Q4,hospice_discharge,0,categorical,929,929,1
RUSH,Q1,death_or_hospice,0,categorical,753,930,0.8096774193548387
RUSH,Q1,death_or_hospice,1,categorical,177,930,0.19032258064516128
RUSH,Q2,death_or_hospice,0,categorical,701,930,0.7537634408602151
RUSH,Q2,death_or_hospice,1,categorical,229,930,0.24623655913978496
RUSH,Q3,death_or_hospice,0,categorical,819,929,0.8815931108719053
RUSH,Q3,death_or_hospice,1,categorical,110,929,0.11840688912809473
RUSH,Q4,death_or_hospice,0,categorical,929,929,1
RUSH,Q1,any_imv_icu,0,categorical,510,930,0.5483870967741935
RUSH,Q1,any_imv_icu,1,categorical,420,930,0.45161290322580644
RUSH,Q2,any_imv_icu,0,categorical,566,930,0.6086021505376344
RUSH,Q2,any_imv_icu,1,categorical,364,930,0.3913978494623656
RUSH,Q3,any_imv_icu,0,categorical,633,929,0.6813778256189451
RUSH,Q3,any_imv_icu,1,categorical,296,929,0.3186221743810549
RUSH,Q4,any_imv_icu,0,categorical,648,929,0.697524219590958
RUSH,Q4,any_imv_icu,1,categorical,281,929,0.302475780409042
RUSH,Q1,any_imv_72h,0,categorical,544,930,0.5849462365591398
RUSH,Q1,any_imv_72h,1,categorical,386,930,0.4150537634408602
RUSH,Q2,any_imv_72h,0,categorical,607,930,0.6526881720430108
RUSH,Q2,any_imv_72h,1,categorical,323,930,0.3473118279569892
RUSH,Q3,any_imv_72h,0,categorical,663,929,0.7136706135629709
RUSH,Q3,any_imv_72h,1,categorical,266,929,0.28632938643702904
RUSH,Q4,any_imv_72h,0,categorical,677,929,0.728740581270183
RUSH,Q4,any_imv_72h,1,categorical,252,929,0.271259418729817
RUSH,Q1,vaso_any_72h,0,categorical,650,930,0.6989247311827957
RUSH,Q1,vaso_any_72h,1,categorical,280,930,0.3010752688172043
RUSH,Q2,vaso_any_72h,0,categorical,629,930,0.6763440860215054
RUSH,Q2,vaso_any_72h,1,categorical,301,930,0.32365591397849464
RUSH,Q3,vaso_any_72h,0,categorical,694,929,0.7470398277717977
RUSH,Q3,vaso_any_72h,1,categorical,235,929,0.2529601722282024
RUSH,Q4,vaso_any_72h,0,categorical,781,929,0.8406889128094726
RUSH,Q4,vaso_any_72h,1,categorical,148,929,0.15931108719052745
RUSH,Q1,advanced_cancer_any_poa,0,categorical,723,930,0.7774193548387097
RUSH,Q1,advanced_cancer_any_poa,1,categorical,207,930,0.22258064516129034
RUSH,Q2,advanced_cancer_any_poa,0,categorical,707,930,0.7602150537634409
RUSH,Q2,advanced_cancer_any_poa,1,categorical,223,930,0.23978494623655913
RUSH,Q3,advanced_cancer_any_poa,0,categorical,766,929,0.8245425188374597
RUSH,Q3,advanced_cancer_any_poa,1,categorical,163,929,0.17545748116254037
RUSH,Q4,advanced_cancer_any_poa,0,categorical,860,929,0.9257265877287406
RUSH,Q4,advanced_cancer_any_poa,1,categorical,69,929,0.07427341227125941
RUSH,Q1,metastatic_cancer_poa,0,categorical,769,930,0.8268817204301075
RUSH,Q1,metastatic_cancer_poa,1,categorical,161,930,0.17311827956989248
RUSH,Q2,metastatic_cancer_poa,0,categorical,765,930,0.8225806451612904
RUSH,Q2,metastatic_cancer_poa,1,categorical,165,930,0.1774193548387097
RUSH,Q3,metastatic_cancer_poa,0,categorical,812,929,0.8740581270182992
RUSH,Q3,metastatic_cancer_poa,1,categorical,117,929,0.12594187298170076
RUSH,Q4,metastatic_cancer_poa,0,categorical,884,929,0.9515608180839612
RUSH,Q4,metastatic_cancer_poa,1,categorical,45,929,0.04843918191603875
RUSH,Q1,malignant_pleural_effusion_poa,0,categorical,895,930,0.9623655913978495
RUSH,Q1,malignant_pleural_effusion_poa,1,categorical,35,930,0.03763440860215054
RUSH,Q2,malignant_pleural_effusion_poa,0,categorical,875,930,0.9408602150537635
RUSH,Q2,malignant_pleural_effusion_poa,1,categorical,55,930,0.05913978494623656
RUSH,Q3,malignant_pleural_effusion_poa,0,categorical,894,929,0.9623250807319699
RUSH,Q3,malignant_pleural_effusion_poa,1,categorical,35,929,0.03767491926803014
RUSH,Q4,malignant_pleural_effusion_poa,0,categorical,911,929,0.9806243272335845
RUSH,Q4,malignant_pleural_effusion_poa,1,categorical,18,929,0.0193756727664155
RUSH,Q1,cachexia_poa,0,categorical,885,930,0.9516129032258065
RUSH,Q1,cachexia_poa,1,categorical,45,930,0.04838709677419355
RUSH,Q2,cachexia_poa,0,categorical,867,930,0.932258064516129
RUSH,Q2,cachexia_poa,1,categorical,63,930,0.06774193548387097
RUSH,Q3,cachexia_poa,0,categorical,888,929,0.9558665231431647
RUSH,Q3,cachexia_poa,1,categorical,41,929,0.04413347685683531
RUSH,Q4,cachexia_poa,0,categorical,914,929,0.9838536060279871
RUSH,Q4,cachexia_poa,1,categorical,15,929,0.016146393972012917
